,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.0210794967851,0.0106258006455,0.0113137851774,0.0199918202563,0.0188670842636,0.028713323509,0.0161929278467,0.025378604054,0.025245472045,0.0487712601054
1-SPFN,0.0109524880779,0.00548458216916,0.0057740337668,0.00990504303438,0.010237099052,0.0142497453766,0.00875170603418,0.0121997270176,0.0123987076956,0.0257262218547
SP-Score,0.0160159924315,0.00805519140732,0.0085439094721,0.0149484316453,0.0145520916578,0.0214815344428,0.0124723169405,0.0187891655358,0.0188220898703,0.0372487409801
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.021079496785085167,0.010625800645476741,0.011313785177411986,0.01999182025630412,0.01886708426362049,0.028713323509025928,0.016192927846744656,0.025378604053970504,0.025245472045034214,0.04877126010539241
Compression,2.3450460829493087,2.161510225485055,2.186770428015564,2.3558739255014327,2.0893451720310767,2.438949938949939,2.25531914893617,2.197887715397443,2.2422469280280866,2.3211169284467714
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,4071,4122,3934,4111,3765,3995,4134,3954,3832,3990
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
