,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.715849183536,0.461709777634,0.270421996966,0.565868325857,0.783503972973,0.800710377131,0.713852280617,0.792806332806,0.77504823088,0.778214822183
1-SPFN,0.711666494397,0.459849428499,0.269228576584,0.55917360123,0.781448138834,0.799588122096,0.713586117431,0.792263260053,0.772615123873,0.776073883153
SP-Score,0.713757838967,0.460779603066,0.269825286775,0.562520963543,0.782476055903,0.800149249614,0.713719199024,0.79253479643,0.773831677377,0.777144352668
TC,0.012232415902140673,7.78816199376947E-4,8.210180623973727E-4,0.007535795026375283,0.012048192771084338,0.014249790444258172,0.016733067729083666,0.004118616144975288,0.008183306055646482,0.006255585344057194
Modeler,0.7158491835361751,0.46170977763387394,0.270421996966165,0.5658683258567319,0.7835039729729124,0.8007103771308816,0.7138522806167428,0.7928063328064143,0.7750482308804738,0.7782148221826306
Compression,1.119815668202765,0.9800734137388568,1.0250138966092273,1.2722063037249283,1.1714761376248612,1.1556776556776556,1.0752864157119477,1.1056142301278489,1.1983616149795202,1.2018615474112857
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,1944,1869,1844,2220,2111,1893,1971,1989,2048,2066
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
