,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.125299579461,0.124763591047,0.111184536926,0.131754995499,0.106702501082,0.12019276902,0.144689001129,0.080864658126,0.151817045938,0.168176850791
1-SPFN,0.126610162278,0.126473761748,0.112968813311,0.133850180822,0.108124396541,0.12117140813,0.146771652133,0.0819134415831,0.153556689061,0.169919497662
SP-Score,0.125954870869,0.125618676397,0.112076675118,0.13280258816,0.107413448811,0.120682088575,0.145730326631,0.0813890498545,0.152686867499,0.169048174226
TC,0.0,0.0,0.0,0.0052750565184626974,0.00321285140562249,8.382229673093043E-4,0.0,0.0016474464579901153,0.010638297872340425,0.0160857908847185
Modeler,0.12529957946053735,0.12476359104673816,0.11118453692566561,0.13175499549904424,0.10670250108158508,0.12019276902039586,0.1446890011287746,0.08086465812600467,0.15181704593789877,0.16817685079098102
Compression,0.6094470046082949,0.5500786575773466,0.5764313507504168,0.6074498567335244,0.58157602663707,0.6379731379731379,0.5728314238952537,0.5764313507504168,0.609713282621416,0.6148923792902851
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
