,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.0507430887312,0.0348365618227,0.0312447151124,0.0544683614885,0.0529409194293,0.0409147940404,0.0637756257787,0.0526807186058,0.0537215139042,0.0522100584874
1-SPFN,0.0225129860786,0.0161938531877,0.0138923767348,0.0271826035903,0.0243552191133,0.0180109009972,0.0320876892411,0.0244194035304,0.027251653066,0.0245563658187
SP-Score,0.0366280374049,0.0255152075052,0.0225685459236,0.0408254825394,0.0386480692713,0.0294628475188,0.0479316575099,0.0385500610681,0.0404865834851,0.0383832121531
TC,0.016055045871559634,0.002336448598130841,0.010673234811165846,0.008289374529012811,0.020080321285140562,0.004191114836546521,0.009561752988047808,0.006589785831960461,0.0032733224222585926,0.002680965147453083
Modeler,0.05074308873119895,0.03483656182272319,0.03124471511238888,0.05446836148845303,0.052940919429325814,0.04091479404041282,0.06377562577868388,0.05268071860579093,0.053721513904226484,0.052210058487448044
Compression,5.299539170506913,5.186156266386996,5.855475264035575,4.731805157593123,5.06992230854606,5.6581196581196584,4.585379159847245,5.115063924402445,4.7396138092451725,5.380453752181501
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,9200,9890,10534,8257,9136,9268,8405,9202,8100,9249
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
