,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.0490704184526,0.0348147602033,0.0307512404647,0.0530357049242,0.0512891099677,0.0408141355683,0.0636567655397,0.0502604735821,0.0530735309619,0.0512200820506
1-SPFN,0.0222324908343,0.0165043434087,0.0138096219865,0.0274292715345,0.0240230184974,0.0185045679467,0.032495753486,0.0239685042255,0.02748835826,0.0249618261263
SP-Score,0.0356514546434,0.025659551806,0.0222804312256,0.0402324882294,0.0376560642326,0.0296593517575,0.0480762595129,0.0371144889038,0.0402809446109,0.0380909540885
TC,0.016819571865443424,0.003115264797507788,0.010673234811165846,0.006782215523737754,0.02248995983935743,0.004191114836546521,0.009561752988047808,0.006589785831960461,0.004091653027823241,0.0
Modeler,0.049070418452603015,0.03481476020327685,0.030751240464744867,0.053035704924223166,0.05128910996766333,0.0408141355682787,0.06365676553972457,0.05026047358212217,0.053073530961854014,0.05122008205061211
Compression,5.235023041474655,5.099108547456738,5.80544747081712,4.64756446991404,5.012763596004439,5.5989010989010985,4.506819421713039,5.052807115063924,4.675833820947923,5.286212914485166
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,9088,9724,10444,8110,9033,9171,8261,9090,7991,9087
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
