,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.0491773198227,0.0344383726621,0.0312408653445,0.0544041164579,0.0536328939952,0.0414464010279,0.0632005723825,0.0528153545182,0.0535716504392,0.0520920888521
1-SPFN,0.0223788185557,0.0161302514605,0.0139328346117,0.0271061569134,0.0240175359689,0.0182888941433,0.0318748038544,0.0245220009344,0.0272280232876,0.0250905857912
SP-Score,0.0357780691892,0.0252843120613,0.0225868499781,0.0407551366856,0.0388252149821,0.0298676475856,0.0475376881185,0.0386686777263,0.0403998368634,0.0385913373217
TC,0.020642201834862386,0.003115264797507788,0.009852216748768473,0.011303692539562924,0.02248995983935743,0.00586756077116513,0.008764940239043825,0.006589785831960461,0.004909983633387889,0.0
Modeler,0.04917731982270868,0.034438372662055274,0.031240865344525987,0.05440411645785283,0.0536328939952289,0.0414464010279217,0.06320057238254233,0.052815354518167636,0.05357165043920946,0.05209208885213454
Compression,5.328341013824885,5.186156266386996,5.864924958310172,4.736389684813753,5.09322974472808,5.642246642246643,4.57392253136934,5.112284602556976,4.7530719719134,5.356020942408377
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,9250,9890,10551,8265,9178,9242,8384,9197,8123,9207
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
