,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.0498509593144,0.0346213053787,0.0313519413734,0.0544180213451,0.0534040901552,0.0412626018285,0.0625820247501,0.0525345310923,0.0534742992945,0.0506419385735
1-SPFN,0.022211007817,0.0162418084836,0.013839045897,0.0272272484497,0.024139166879,0.0182556978921,0.0317355939075,0.0243880543237,0.0273363943403,0.0243729190061
SP-Score,0.0360309835657,0.0254315569312,0.0225954936352,0.0408226348974,0.0387716285171,0.0297591498603,0.0471588093288,0.038461292708,0.0404053468174,0.0375074287898
TC,0.016819571865443424,0.003115264797507788,0.011494252873563218,0.01281085154483798,0.024899598393574297,0.005029337803855826,0.009561752988047808,0.006589785831960461,0.004909983633387889,0.0
Modeler,0.049850959314371904,0.03462130537871195,0.03135194137342501,0.0544180213450981,0.0534040901552002,0.0412626018284821,0.06258202475010294,0.052534531092344114,0.05347429929445293,0.05064193857351035
Compression,5.32258064516129,5.157839538542213,5.847137298499166,4.720916905444126,5.066592674805771,5.655677655677656,4.545008183306056,5.093385214007782,4.7372732592159155,5.33566026759744
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,9240,9836,10519,8238,9130,9264,8331,9163,8096,9172
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
