,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.921955590914,0.90668240698,0.92414935823,0.946286575579,0.934590735339,0.961689697125,0.948820965996,0.931226048383,0.927979442372,0.931262672845
1-SPFN,0.92213656231,0.907011541085,0.923875945441,0.946465763277,0.934698701299,0.961893791403,0.949069399677,0.930833477241,0.927582079673,0.931482243501
SP-Score,0.922046076612,0.906846974033,0.924012651836,0.946376169428,0.934644718319,0.961791744264,0.948945182837,0.931029762812,0.927780761022,0.931372458173
TC,0.13470533208606175,0.06483126110124333,0.1265004616805171,0.2009132420091324,0.13839285714285715,0.28598306679209784,0.2529358626919603,0.12398921832884097,0.1280373831775701,0.06950880444856349
Modeler,0.9219555909143731,0.9066824069802885,0.9241493582301789,0.9462865755788026,0.9345907353385993,0.96168969712524,0.9488209659963284,0.9312260483834088,0.9279794423716915,0.9312626728448301
Compression,0.9954268292682927,0.9985358711566618,0.9887218045112782,0.9910641754670999,0.9948453608247423,0.9918367346938776,0.9944794952681388,1.0080941869021338,0.9976762199845082,0.9938556067588326
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,1306,1364,1315,1220,1351,1215,1261,1370,1288,1294
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
