,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.930747049356,0.920216277004,0.941719894487,0.958345646506,0.95070958791,0.971533815675,0.961099450873,0.944890479667,0.948978086827,0.944299972273
1-SPFN,0.930688419859,0.920649356499,0.941857759935,0.958390283351,0.951050267173,0.971753810448,0.961334270724,0.94512621517,0.948417591409,0.944438596388
SP-Score,0.930717734608,0.920432816752,0.941788827211,0.958367964928,0.950879927542,0.971643813061,0.961216860798,0.945008347418,0.948697839118,0.94436928433
TC,0.17212347988774557,0.1341030195381883,0.23268698060941828,0.28949771689497716,0.2642857142857143,0.367826904985889,0.33423667570009036,0.20934411500449238,0.2261682242990654,0.15940685820203893
Modeler,0.9307470493562232,0.9202162770040664,0.9417198944869019,0.958345646506147,0.9507095879101142,0.9715338156747562,0.9610994508730115,0.9448904796666029,0.9489780868270675,0.9442999722727434
Compression,0.9939024390243902,1.0058565153733527,0.9947368421052631,0.9926888708367181,1.0014727540500736,0.9926530612244898,0.9952681388012619,1.0,0.9914794732765299,0.9923195084485407
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,1304,1374,1323,1222,1360,1216,1262,1359,1280,1292
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
