,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.156816893475,0.206642004837,0.147675987685,0.22263755886,0.368239809487,0.441235194114,0.361993410218,0.159774758763,0.299845609807,0.1399402232
1-SPFN,0.133391787079,0.176658932932,0.127345444091,0.192783944651,0.329607929085,0.401905797836,0.328890094222,0.136337372896,0.266758303394,0.117323670398
SP-Score,0.145104340277,0.191650468885,0.137510715888,0.207710751756,0.348923869286,0.421570495975,0.34544175222,0.148056065829,0.283301956601,0.128631946799
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.1568168934748194,0.20664200483699924,0.1476759876848403,0.22263755886034486,0.36823980948721546,0.4412351941138764,0.3619934102178599,0.15977475876278743,0.2998456098070294,0.13994022320007207
Compression,1.1570121951219512,1.1039531478770133,1.1398496240601503,1.1844029244516654,1.1075110456553756,1.1844897959183673,1.166403785488959,1.1000735835172921,1.1603408210689388,1.2219662058371736
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,1518,1508,1516,1458,1504,1451,1479,1495,1498,1591
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
