,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.505647689242,0.594046131049,0.296145161299,0.397697250226,0.618910957535,0.743132407306,0.526842132029,0.551870414541,0.674355516542,0.39897005172
1-SPFN,0.420572535138,0.491812113258,0.217832358539,0.318995759664,0.523700827192,0.662092632717,0.432392339052,0.453049378828,0.602072993323,0.320942669655
SP-Score,0.46311011219,0.542929122153,0.256988759919,0.358346504945,0.571305892363,0.702612520011,0.479617235541,0.502459896684,0.638214254933,0.359956360688
TC,0.004677268475210477,0.003552397868561279,0.003693444136657433,0.0,0.0,0.021636876763875823,0.0,0.0,0.0,0.0
Modeler,0.5056476892418696,0.594046131048733,0.2961451612992645,0.39769725022587044,0.6189109575351515,0.7431324073056771,0.5268421320294369,0.5518704145406238,0.6743555165418937,0.39897005172014927
Compression,1.7865853658536586,1.7013177159590045,1.9977443609022556,1.9065800162469537,1.585419734904271,1.4644897959183674,1.805205047318612,1.7417218543046358,1.4663051897753678,1.8678955453149002
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,2344,2324,2657,2347,2153,1794,2289,2367,1893,2432
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
