,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.209844282462,0.184548754637,0.167291982977,0.216253502456,0.232509235508,0.329868913432,0.273187535173,0.178902883899,0.282298988898,0.203339702095
1-SPFN,0.206484911415,0.181408626739,0.164228033492,0.212813875953,0.228948518727,0.32442429743,0.269623559531,0.176054772813,0.277388434484,0.199701796611
SP-Score,0.208164596938,0.182978690688,0.165760008234,0.214533689204,0.230728877118,0.327146605431,0.271405547352,0.177478828356,0.279843711691,0.201520749353
TC,9.354536950420954E-4,0.0017761989342806395,0.0,0.0,0.0026785714285714286,9.407337723424271E-4,9.033423667570009E-4,0.0,9.345794392523365E-4,0.0018535681186283596
Modeler,0.20984428246152906,0.18454875463715475,0.16729198297688502,0.21625350245567174,0.23250923550797922,0.32986891343231556,0.2731875351732629,0.1789028838987652,0.2822989888979829,0.2033397020945595
Compression,1.3239329268292683,1.3118594436310396,1.318796992481203,1.3192526401299756,1.276141384388807,1.3240816326530611,1.3162460567823344,1.2788815305371597,1.3121611154144075,1.3141321044546852
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,1737,1792,1754,1624,1733,1622,1669,1738,1694,1711
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
