,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.454166676967,0.524401982598,0.440733198325,0.610336419942,0.691739152707,0.79417887477,0.691565541834,0.575850714702,0.664258039074,0.465302523079
1-SPFN,0.373305264698,0.424177639323,0.333207869172,0.515142602844,0.60041425564,0.740599513366,0.627700825836,0.492200359599,0.580020283255,0.363767005544
SP-Score,0.413735970833,0.47428981096,0.386970533748,0.562739511393,0.646076704174,0.767389194068,0.659633183835,0.53402553715,0.622139161164,0.414534764311
TC,0.0,0.0,0.0,0.0,0.0026785714285714286,0.0018814675446848542,0.0,0.0,0.0,0.0
Modeler,0.45416667696727125,0.5244019825980905,0.44073319832499036,0.6103364199420014,0.6917391527068615,0.7941788747703257,0.6915655418344665,0.5758507147018437,0.6642580390736194,0.4653025230787822
Compression,1.6905487804878048,1.8513909224011713,2.124812030075188,1.7294882209585702,1.4904270986745214,1.453061224489796,1.415615141955836,1.7520235467255334,1.729666924864446,1.9930875576036866
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,2218,2529,2826,2129,2024,1780,1795,2381,2233,2595
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
