,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.0326889901752,0.140527480981,0.0209326390709,0.0337811418457,0.173866004978,0.0375927333067,0.192969909275,0.0399094911401,0.0235796150512,0.0318244931589
1-SPFN,0.029863835961,0.130918747685,0.0189028138702,0.0312082027551,0.16229018969,0.0341208527086,0.181292014854,0.0369444246925,0.0213207667842,0.028807595696
SP-Score,0.0312764130681,0.135723114333,0.0199177264706,0.0324946723004,0.168078097334,0.0358567930076,0.187130962065,0.0384269579163,0.0224501909177,0.0303160444274
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.03268899017515327,0.1405274809806633,0.020932639070932943,0.033781141845657975,0.1738660049778914,0.037592733306662296,0.1929699092751002,0.039909491140051705,0.023579615051164016,0.031824493158856375
Compression,1.0967987804878048,0.9941434846266471,1.1142857142857143,1.1121039805036557,0.9808541973490427,1.2571428571428571,1.0433753943217665,1.069168506254599,1.1200619674670798,1.120583717357911
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,1439,1358,1482,1369,1332,1540,1323,1453,1446,1459
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
