,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.487033205564,0.751947400725,0.654067168264,0.699720524482,0.828261167631,0.793868075191,0.785429271568,0.761164848525,0.815395279896,0.801597488872
1-SPFN,0.482006677138,0.750364792709,0.651657319723,0.690672929541,0.827854895207,0.786922573739,0.784151381643,0.759619678393,0.813449686259,0.7987646325
SP-Score,0.484519941351,0.751156096717,0.652862243994,0.695196727012,0.828058031419,0.790395324465,0.784790326605,0.760392263459,0.814422483077,0.800181060686
TC,0.01028999064546305,0.015985790408525755,9.233610341643582E-4,0.0036529680365296802,0.055357142857142855,0.0037629350893697085,0.011743450767841012,0.0,0.025233644859813085,0.0018535681186283596
Modeler,0.48703320556355956,0.751947400725303,0.6540671682644736,0.699720524481771,0.8282611676310089,0.7938680751911463,0.7854292715675854,0.7611648485248235,0.8153952798955855,0.8015974888722156
Compression,1.2080792682926829,1.1325036603221084,1.2451127819548873,1.4581640942323315,1.0596465390279823,1.2897959183673469,1.2034700315457414,1.161147902869757,1.0844306738962044,1.162058371735791
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,1585,1547,1656,1795,1439,1580,1526,1578,1400,1513
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
