,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.183344741128,0.132738796366,0.132255713504,0.177189821894,0.120132609412,0.184461017996,0.154710947264,0.177718064833,0.178369918675,0.177146279432
1-SPFN,0.184680986818,0.133910261911,0.133386686186,0.178283249861,0.121213628531,0.18529041372,0.155944601117,0.179058744654,0.179405897575,0.178263566921
SP-Score,0.184012863973,0.133324529138,0.132821199845,0.177736535877,0.120673118972,0.184875715858,0.15532777419,0.178388404744,0.178887908125,0.177704923176
TC,0.009354536950420954,0.0053285968028419185,0.006463527239150508,0.005479452054794521,0.0035714285714285713,0.021636876763875823,0.004516711833785004,0.0026954177897574125,0.007476635514018692,9.267840593141798E-4
Modeler,0.18334474112779212,0.13273879636570085,0.13225571350448154,0.17718982189365046,0.12013260941171879,0.1844610179963596,0.15471094726351237,0.17771806483277217,0.17836991867539012,0.17714627943161101
Compression,0.7721036585365854,0.7445095168374817,0.7616541353383459,0.8245329000812348,0.7503681885125184,0.8261224489795919,0.8012618296529969,0.7498160412067697,0.7885360185902401,0.7788018433179723
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
