,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.0485522542134,0.0456780040726,0.0408813081413,0.0555873425904,0.0618194536598,0.084338540304,0.0872150600045,0.0365477079593,0.0509194437757,0.0482792149615
1-SPFN,0.0224114913427,0.0222752343917,0.0198303379275,0.0287904711231,0.02928213217,0.0407209383702,0.0438409229591,0.0175075932265,0.0221146359217,0.0223827643898
SP-Score,0.035481872778,0.0339766192322,0.0303558230344,0.0421889068567,0.0455507929149,0.0625297393371,0.0655279914818,0.0270276505929,0.0365170398487,0.0353309896757
TC,9.354536950420954E-4,0.006216696269982238,0.0,0.0027397260273972603,0.007142857142857143,0.0018814675446848542,0.0036133694670280035,8.984725965858042E-4,0.0,0.0027803521779425394
Modeler,0.048552254213374946,0.04567800407263876,0.04088130814133112,0.055587342590363645,0.061819453659841275,0.08433854030403953,0.08721506000452833,0.03654770795932103,0.050919443775668344,0.04827921496154562
Compression,6.948170731707317,6.570278184480234,6.933082706766918,6.46872461413485,6.06701030927835,6.129795918367347,6.454258675078864,7.089036055923473,7.1990704879938034,7.275729646697388
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,9116,8975,9221,7963,8239,7509,8184,9634,9294,9473
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
