,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.927827435669,0.915041893869,0.910480151912,0.950189777116,0.931596720372,0.966147757168,0.960142455859,0.917452469714,0.933162452651,0.94170091664
1-SPFN,0.928178033406,0.916074442199,0.910501497056,0.950053163389,0.931156381067,0.966435278068,0.960142455859,0.917537831713,0.93234505493,0.941128107778
SP-Score,0.928002734538,0.915558168034,0.910490824484,0.950121470253,0.931376550719,0.966291517618,0.960142455859,0.917495150714,0.932753753791,0.941414512209
TC,0.48987463837994216,0.4158139534883721,0.43333333333333335,0.6059443911792906,0.5475974614687217,0.6813495782567948,0.653179190751445,0.4524444444444444,0.40822179732313574,0.5541516245487365
Modeler,0.9278274356694456,0.9150418938688656,0.9104801519124694,0.9501897771163911,0.9315967203724549,0.9661477571677369,0.960142455858748,0.917452469714187,0.9331624526508814,0.9417009166396345
Compression,0.9964881474978051,0.9888268156424581,0.992372234935164,1.0008389261744965,0.9992101105845181,0.9983388704318937,0.9862068965517241,0.9940784603997039,1.0089141004862237,0.9960443037974683
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1135,1239,1301,1193,1265,1202,1144,1343,1245,1259
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
