,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.948249980776,0.91291503094,0.930060166538,0.963417651267,0.947676334049,0.972587264876,0.962561032707,0.940511167243,0.950934954456,0.952146984996
1-SPFN,0.948459261984,0.913398197862,0.930324931511,0.963507847451,0.947912921909,0.973042559452,0.962496655966,0.94032990184,0.950763274558,0.952076976294
SP-Score,0.94835462138,0.913156614401,0.930192549024,0.963462749359,0.947794627979,0.972814912164,0.962528844336,0.940420534542,0.950849114507,0.952111980645
TC,0.5930568948891032,0.4493023255813953,0.4666666666666667,0.6663470757430489,0.6790571169537625,0.7104029990627929,0.6579961464354528,0.5084444444444445,0.5277246653919694,0.5974729241877257
Modeler,0.9482499807763674,0.9129150309401823,0.9300601665377622,0.9634176512674436,0.9476763340488195,0.972587264876138,0.9625610327068423,0.9405111672427546,0.9509349544560812,0.9521469849960058
Compression,0.9982440737489026,0.994413407821229,0.9946605644546148,0.9983221476510067,0.9992101105845181,0.9966777408637874,1.0,0.997039230199852,1.0032414910858996,0.997626582278481
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1137,1246,1304,1190,1265,1200,1160,1347,1238,1261
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
