,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.168289408756,0.169524551832,0.138414775359,0.25408469186,0.216261529416,0.180672180593,0.154903853139,0.182787901231,0.193485544299,0.160290083154
1-SPFN,0.106060960725,0.108597601366,0.0800673842712,0.186459719538,0.156717262499,0.114968702351,0.0998327982879,0.118097415414,0.129168254732,0.100759001233
SP-Score,0.13717518474,0.139061076599,0.109241079815,0.220272205699,0.186489395958,0.147820441472,0.127368325713,0.150442658323,0.161326899516,0.130524542194
TC,0.009643201542912247,0.0027906976744186047,0.001851851851851852,0.01725790987535954,0.009972801450589302,0.004686035613870665,0.012524084778420038,0.017777777777777778,0.015296367112810707,0.009927797833935019
Modeler,0.16828940875590953,0.16952455183164458,0.1384147753589625,0.2540846918597764,0.2162615294160879,0.18067218059336015,0.1549038531386528,0.18278790123075817,0.19348554429859924,0.1602900831543353
Compression,2.6347673397717295,2.3104549082202714,2.6361556064073226,2.1317114093959733,1.9834123222748816,2.5299003322259135,2.4258620689655173,2.1998519615099927,2.193679092382496,2.4485759493670884
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,3001,2895,3456,2541,2511,3046,2814,2972,2707,3095
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
