,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.0217521503664,0.0375803494066,0.0220074066615,0.0268131158133,0.0336410186541,0.0332361790147,0.0226673075896,0.04885044935,0.0417495230501,0.0200473993337
1-SPFN,0.00570817101105,0.0124159096734,0.00658771677172,0.00777054815132,0.00986285866454,0.011820212396,0.00709604066346,0.0148834643681,0.0138278737304,0.00585209669495
SP-Score,0.0137301606887,0.02499812954,0.0142975617166,0.0172918319823,0.0217519386593,0.0225281957053,0.0148816741265,0.031866956859,0.0277886983902,0.0129497480143
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028680688336520078,0.0
Modeler,0.021752150366358712,0.03758034940657304,0.022007406661520044,0.02681311581327734,0.03364101865413218,0.03323617901466717,0.022667307589595686,0.04885044934996946,0.04174952305005703,0.02004739933366154
Compression,5.31694468832309,4.085395051875499,4.472921434019832,4.540268456375839,4.838862559241706,4.540697674418604,4.551724137931035,4.530717986676536,4.331442463533225,4.80379746835443
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,6056,5119,5864,5412,6126,5467,5280,6121,5345,6072
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
