,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.133321491822,0.193066353921,0.154252163728,0.634616615976,0.369571677997,0.1560232185,0.157673233883,0.347085639427,0.137955380564,0.189831733864
1-SPFN,0.0853383270076,0.127128263337,0.101890242677,0.530222885,0.264922441915,0.106325067544,0.105363830926,0.262359688707,0.0894967001665,0.128121146089
SP-Score,0.109329909415,0.160097308629,0.128071203203,0.582419750488,0.317247059956,0.131174143022,0.131518532404,0.304722664067,0.113726040365,0.158976439976
TC,0.009643201542912247,0.013953488372093023,0.001851851851851852,0.2253116011505273,0.04170444242973708,0.0037488284910965324,0.0038535645472061657,0.014222222222222223,0.009560229445506692,0.002707581227436823
Modeler,0.13332149182152056,0.1930663539212812,0.1542521637284578,0.6346166159756683,0.36957167799695384,0.15602321850021836,0.15767323388263083,0.34708563942728277,0.13795538056390144,0.18983173386417881
Compression,1.9824407374890254,1.7342378292098963,1.6460717009916095,1.3078859060402686,1.7464454976303319,1.7508305647840532,1.8560344827586206,1.4803849000740192,1.8225283630470017,1.692246835443038
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,2258,2173,2158,1559,2211,2108,2153,2000,2249,2139
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
