,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.534657995866,0.465577895125,0.560013620953,0.775977265063,0.709260460067,0.629764396188,0.746606734273,0.637468713892,0.539955132668,0.514444166914
1-SPFN,0.461054356368,0.411455923521,0.506721681526,0.738599963889,0.659004060981,0.577561993419,0.707079320492,0.584814812353,0.490060379932,0.440544903395
SP-Score,0.497856176117,0.438516909323,0.533367651239,0.757288614476,0.684132260524,0.603663194804,0.726843027383,0.611141763123,0.5150077563,0.477494535155
TC,0.05014464802314368,0.025116279069767444,0.06111111111111111,0.4218600191754554,0.08703535811423391,0.1527647610121837,0.2071290944123314,0.1368888888888889,0.04780114722753346,0.10108303249097472
Modeler,0.5346579958662463,0.465577895125387,0.5600136209525783,0.7759772650629496,0.709260460067423,0.6297643961877538,0.7466067342730431,0.6374687138919375,0.5399551326680591,0.5144441669138423
Compression,1.2844600526777876,1.2218675179569034,1.1228070175438596,1.1048657718120805,1.1808846761453398,1.196013289036545,1.0732758620689655,1.0962250185048112,1.1231766612641816,1.1938291139240507
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1463,1531,1472,1317,1495,1440,1245,1481,1386,1509
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
