,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.368232509272,0.409474079245,0.511374970316,0.708815512668,0.488036356118,0.403868091523,0.583919701987,0.40398045986,0.406177081304,0.306091640186
1-SPFN,0.291828988948,0.337769330373,0.432719551486,0.647780846468,0.408584648159,0.308973998876,0.490630016051,0.326186789305,0.327649729527,0.219558903643
SP-Score,0.33003074911,0.373621704809,0.472047260901,0.678298179568,0.448310502139,0.3564210452,0.537274859019,0.365083624583,0.366913405416,0.262825271914
TC,0.06075216972034716,0.0,0.0,0.1975071907957814,0.0,0.0,0.10115606936416185,0.0,0.0,0.08844765342960288
Modeler,0.36823250927226925,0.4094740792452373,0.5113749703158394,0.7088155126680692,0.4880363561181971,0.4038680915229791,0.5839197019867549,0.40398045985999254,0.40617708130421626,0.30609164018600143
Compression,1.4934152765583846,1.421388667198723,1.236460717009916,1.1988255033557047,1.297788309636651,1.5257475083056478,1.4439655172413792,1.3264248704663213,1.4311183144246353,1.557753164556962
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1701,1781,1621,1429,1643,1837,1675,1792,1766,1969
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
