,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.0479820033373,0.0635851140084,0.039428764511,0.323244319997,0.249723101708,0.0315626338221,0.0597075483707,0.0678361419156,0.0718850710716,0.115075835642
1-SPFN,0.0411543413199,0.054626673901,0.034000254533,0.287563779349,0.22289794288,0.0258774041677,0.0501939539861,0.0571180774778,0.0617473404077,0.0981588120678
SP-Score,0.0445681723286,0.0591058939547,0.036714509522,0.305404049673,0.236310522294,0.0287200189949,0.0549507511784,0.0624771096967,0.0668162057397,0.106617323855
TC,0.0,0.0,0.0,0.10162991371045062,0.07252946509519492,0.0,0.0,0.0,0.011472275334608031,0.0
Modeler,0.04798200333733606,0.06358511400840776,0.03942876451100487,0.3232443199969932,0.24972310170837855,0.031562633822059996,0.059707548370672096,0.06783614191562413,0.07188507107160094,0.1150758356417721
Compression,1.3125548726953469,1.2282521947326417,1.1342486651411137,1.125,1.184044233807267,1.3114617940199336,1.3310344827586207,1.1643227239082161,1.2244732576985413,1.2151898734177216
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1495,1539,1487,1341,1499,1579,1544,1573,1511,1536
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
