,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.0520876373022,0.0639834572045,0.0472873628873,0.0739409920666,0.0502218057534,0.0576688525845,0.0611630084054,0.0776138425541,0.0742755215469,0.0514677767665
1-SPFN,0.0324599976592,0.0426401616398,0.0299444716095,0.0436909434997,0.0308634578257,0.0352566674692,0.0410747726057,0.0530175650799,0.0480297954571,0.0319408841312
SP-Score,0.0422738174807,0.0533118094222,0.0386159172484,0.0588159677832,0.0405426317896,0.0464627600269,0.0511188905055,0.065315703817,0.061152658502,0.0417043304488
TC,0.0,0.0,0.001851851851851852,0.006711409395973154,0.0,0.0,9.633911368015414E-4,0.0,0.014340344168260038,0.0
Modeler,0.0520876373021963,0.06398345720450731,0.04728736288727404,0.07394099206663574,0.05022180575340834,0.05766885258454252,0.061163008405369874,0.0776138425540816,0.07427552154693276,0.05146777676652898
Compression,2.9736611062335383,2.8754988028731043,2.7070938215102975,3.1317114093959733,2.7701421800947865,2.95265780730897,2.722413793103448,2.4344929681717247,2.8038897893030796,2.8710443037974684
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,3387,3603,3549,3733,3507,3555,3158,3289,3460,3629
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
