,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.0560137812982,0.0708951848762,0.0464189383822,0.0718036208239,0.0487187817908,0.0563869528854,0.0681943887674,0.0733818861243,0.0785339758985,0.0505140313796
1-SPFN,0.0343593773512,0.0469607650597,0.0296832403395,0.0434836397194,0.0304473736769,0.0338155043736,0.0449404761905,0.0498541227761,0.0495242489285,0.0317102760946
SP-Score,0.0451865793247,0.058927974968,0.0380510893608,0.0576436302716,0.0395830777338,0.0451012286295,0.0565674324789,0.0616180044502,0.0640291124135,0.0411121537371
TC,0.0,0.0,0.001851851851851852,0.006711409395973154,0.001813236627379873,0.0,9.633911368015414E-4,0.0,0.017208413001912046,9.025270758122744E-4
Modeler,0.05601378129821138,0.07089518487622991,0.04641893838217195,0.07180362082387823,0.04871878179077608,0.05638695288541957,0.06819438876738604,0.07338188612430362,0.07853397589850439,0.05051403137960592
Compression,3.0237050043898157,2.840383080606544,2.6895499618611747,3.035234899328859,2.721958925750395,3.009966777408638,2.7586206896551726,2.4093264248704664,2.794165316045381,2.9477848101265822
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,3444,3559,3526,3618,3446,3624,3200,3255,3448,3726
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
