,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.884421638663,0.931340007675,0.877244632565,0.82910348765,0.899804208183,0.869318506709,0.932329894696,0.86660234721,0.870590365445,0.913813990168
1-SPFN,0.884843034883,0.930985863358,0.876716612641,0.829006044325,0.900172394132,0.870404671777,0.932476778837,0.865953839257,0.872257440311,0.91475946212
SP-Score,0.884632336773,0.931162935517,0.876980622603,0.829054765987,0.899988301157,0.869861589243,0.932403336766,0.866278093233,0.871423902878,0.914286726144
TC,0.3211267605633803,0.44260700389105057,0.34026465028355385,0.24514338575393155,0.31906976744186044,0.2430355427473583,0.5478011472275335,0.34690101757631825,0.25757575757575757,0.41871455576559546
Modeler,0.884421638662508,0.9313400076752688,0.8772446325649627,0.8291034876496566,0.8998042081830251,0.8693185067086441,0.9323298946959185,0.8666023472103684,0.8705903654451631,0.9138139901676202
Compression,1.0015873015873016,1.0042771599657827,1.0072,0.9940476190476191,0.9944400317712471,0.9985119047619048,1.0042408821034776,1.0072815533980584,0.9797822706065319,0.9959839357429718
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,1262,1174,1259,1336,1252,1342,1184,1245,1260,1240
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
