,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0497977755308,0.15935149318,0.0470793819089,0.112571913681,0.153861122452,0.0512494075156,0.187882304676,0.0848510704313,0.0406495976824,0.0614792750593
1-SPFN,0.0423047498893,0.138152780722,0.040314336826,0.0997414372062,0.13524889822,0.0440605929977,0.170396913454,0.0737479732622,0.0343166402951,0.0525552005966
SP-Score,0.0460512627101,0.148752136951,0.0436968593674,0.106156675444,0.144555010336,0.0476550002567,0.179139609065,0.0792995218468,0.0374831189887,0.057017237828
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.04979777553083923,0.15935149318035383,0.04707938190885708,0.11257191368084349,0.15386112245170497,0.051249407515639625,0.18788230467580563,0.08485107043127521,0.04064959768239592,0.06147927505933762
Compression,1.0785714285714285,1.1197604790419162,1.0528,0.9895833333333334,1.056393963463066,0.9970238095238095,1.0593723494486853,1.0687702265372168,1.0381026438569207,1.0738955823293173
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,1359,1309,1316,1330,1330,1340,1249,1321,1335,1337
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
