,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.136606063223,0.214790141746,0.146259114256,0.131626170996,0.183753363187,0.131501343535,0.213120815385,0.146841139507,0.132353333654,0.16252227361
1-SPFN,0.0849114848269,0.157104831898,0.0958478486018,0.0894089993284,0.132398022498,0.0777922217882,0.160367650263,0.0965721586063,0.0833005788308,0.109074296157
SP-Score,0.110758774025,0.185947486822,0.121053481429,0.110517585162,0.158075692843,0.104646782662,0.186744232824,0.121706649056,0.107826956242,0.135798284883
TC,0.003755868544600939,0.01264591439688716,0.014177693761814745,0.004625346901017576,0.0018604651162790699,0.005763688760806916,0.006692160611854685,0.0018501387604070306,0.010416666666666666,0.006616257088846881
Modeler,0.13660606322335464,0.21479014174575936,0.14625911425595345,0.1316261709963665,0.1837533631869513,0.13150134353509133,0.21312081538468391,0.14684113950651453,0.13235333365359467,0.16252227361002664
Compression,2.335714285714286,2.050470487596236,2.2256,1.9821428571428572,2.011119936457506,2.4672619047619047,1.8651399491094147,2.156957928802589,2.380248833592535,2.207228915662651
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,2943,2397,2782,2664,2532,3316,2199,2666,3061,2748
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
