,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.138615439394,0.212117389555,0.127750218651,0.0901994942022,0.158442859948,0.139449110915,0.210978195341,0.148942409662,0.152501584569,0.100972851831
1-SPFN,0.137158253587,0.2093643054,0.125738092996,0.0900638012089,0.156959155336,0.13815621085,0.208807784746,0.147236389255,0.151151110798,0.0998901530802
SP-Score,0.13788684649,0.210740847478,0.126744155824,0.0901316477055,0.157701007642,0.138802660883,0.209892990044,0.148089399459,0.151826347683,0.100431502456
TC,9.389671361502347E-4,0.0048638132295719845,0.001890359168241966,0.0018501387604070306,9.302325581395349E-4,0.0019212295869356388,0.0,0.004625346901017576,0.001893939393939394,9.45179584120983E-4
Modeler,0.1386154393936825,0.2121173895552207,0.1277502186509238,0.09019949420215771,0.15844285994813145,0.13944911091546303,0.21097819534102377,0.14894240966238265,0.1525015845685059,0.1009728518311007
Compression,1.0285714285714285,1.0427715996578273,1.036,0.9501488095238095,1.0198570293884035,0.9516369047619048,1.0517387616624259,1.0186084142394822,0.9758942457231726,1.0
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,1296,1219,1295,1277,1284,1279,1240,1259,1255,1245
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
