,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0357857457671,0.0826480571878,0.0861930805916,0.044804945507,0.0697312707165,0.0304881154333,0.0526707019221,0.0197903686872,0.0443065393853,0.044052223422
1-SPFN,0.0307856979881,0.0703803533992,0.0745087226115,0.0384049697784,0.0584932618714,0.0262080206916,0.0448903384541,0.0163824458385,0.0391676660989,0.0376872352504
SP-Score,0.0332857218776,0.0765142052935,0.0803509016016,0.0416049576427,0.0641122662939,0.0283480680624,0.0487805201881,0.0180864072629,0.0417371027421,0.0408697293362
TC,0.0,0.0029182879377431907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.03578574576714108,0.08264805718779267,0.08619308059158064,0.04480494550696931,0.06973127071646482,0.030488115433286188,0.052670701922055856,0.019790368687238876,0.04430653938527954,0.044052223422008444
Compression,1.188095238095238,1.2942686056458512,1.236,1.1688988095238095,1.2827640984908657,1.1800595238095237,1.3155216284987277,1.3640776699029127,1.1493001555209954,1.1582329317269076
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,1497,1513,1545,1571,1615,1586,1551,1686,1478,1442
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
