,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0373390807945,0.094269756197,0.0561529185706,0.0552044609665,0.0756473073165,0.0310097108408,0.131460200951,0.0496965720846,0.0416818788113,0.0406615103157
1-SPFN,0.0344128739582,0.0871249213416,0.0527694459763,0.0518603089322,0.070631284504,0.0289291824391,0.124511023139,0.0459618619358,0.0387376582714,0.0377040314155
SP-Score,0.0358759773763,0.0906973387693,0.0544611822734,0.0535323849494,0.0731392959102,0.0299694466399,0.127985612045,0.0478292170102,0.0402097685414,0.0391827708656
TC,0.0028169014084507044,0.021400778210116732,0.002835538752362949,9.250693802035153E-4,0.0,0.0,0.019120458891013385,0.0018501387604070306,0.003787878787878788,0.0
Modeler,0.03733908079454768,0.0942697561970231,0.05615291857057491,0.05520446096654275,0.07564730731651244,0.03100971084076387,0.13146020095060465,0.04969657208463179,0.04168187881132,0.04066151031572083
Compression,1.3206349206349206,1.3806672369546622,1.2224,1.2224702380952381,1.3208895949166004,1.2566964285714286,1.2790500424088211,1.4296116504854368,1.3048211508553655,1.3164658634538153
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,1664,1614,1528,1643,1663,1689,1508,1767,1678,1639
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
