,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0368930673577,0.0853457252113,0.0289187617071,0.0758653821185,0.0714941467796,0.0359745511345,0.210193939961,0.05263480674,0.0413210382232,0.0500618492653
1-SPFN,0.024648690727,0.0631622870334,0.0182219860922,0.0588616521155,0.0483206665012,0.022260989048,0.18063065026,0.0347166275084,0.0269762723025,0.0303170780047
SP-Score,0.0307708790424,0.0742540061224,0.0235703738996,0.067363517117,0.0599074066404,0.0291177700912,0.19541229511,0.0436757171242,0.0341486552629,0.040189463635
TC,0.0,0.009727626459143969,0.0,0.013876040703052728,0.0018604651162790699,0.0067243035542747355,0.033460803059273424,0.0064754856614246065,9.46969696969697E-4,0.002835538752362949
Modeler,0.036893067357721125,0.0853457252113182,0.028918761707055454,0.07586538211846582,0.07149414677961223,0.03597455113447733,0.21019393996130561,0.052634806739953695,0.041321038223246814,0.05006184926529729
Compression,2.734126984126984,2.2395209580838324,2.8456,1.9851190476190477,2.573471008737093,2.847470238095238,1.7642069550466497,2.6019417475728157,2.665629860031104,2.9654618473895584
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,3445,2618,3557,2668,3240,3827,2080,3216,3428,3692
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
