,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0357068422917,0.0853749900375,0.0296845055919,0.0505464336065,0.0732019439004,0.0361596501806,0.127922590218,0.0573325559939,0.0515583463697,0.0524921743318
1-SPFN,0.0229944837398,0.0540698789586,0.017448585686,0.0320248488919,0.0473882624416,0.0216110085811,0.0820710160327,0.0341435789914,0.031666045171,0.0307571375304
SP-Score,0.0293506630158,0.069722434498,0.023566545639,0.0412856412492,0.060295103171,0.0288853293808,0.104996803125,0.0457380674926,0.0416121957703,0.0416246559311
TC,0.0,0.009727626459143969,0.0,0.0018501387604070306,0.0065116279069767444,0.004803073967339097,0.0124282982791587,0.0037002775208140612,9.46969696969697E-4,0.0
Modeler,0.03570684229174048,0.08537499003745916,0.029684505591945312,0.050546433606461806,0.07320194390044245,0.03615965018060103,0.1279225902182375,0.05733255599390958,0.05155834636969293,0.05249217433180833
Compression,2.891269841269841,2.904191616766467,3.0968,2.6376488095238093,2.7108816521048453,3.033482142857143,2.7421543681085665,2.9385113268608416,2.884136858475894,3.1783132530120484
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,3643,3395,3871,3545,3413,4077,3233,3632,3709,3957
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
