,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.881127138544,0.860010855508,0.917278597414,0.85883710214,0.821018349673,0.901439939753,0.832473930703,0.86564410374,0.885335389877,0.869581589255
1-SPFN,0.881381411612,0.860224134695,0.918474608167,0.858496370538,0.820386276916,0.901309641462,0.833115780788,0.866456535048,0.885305705041,0.869184161091
SP-Score,0.881254275078,0.860117495102,0.917876602791,0.858666736339,0.820702313295,0.901374790608,0.832794855745,0.866050319394,0.885320547459,0.869382875173
TC,0.2848780487804878,0.22608695652173913,0.4251968503937008,0.1910891089108911,0.19382835101253615,0.32677165354330706,0.1618669314796425,0.2211253701875617,0.283203125,0.2633624878522838
Modeler,0.8811271385441127,0.8600108555078301,0.9172785974144527,0.8588371021395249,0.8210183496733126,0.9014399397531628,0.8324739307026376,0.8656441037395018,0.8853353898771104,0.8695815892547951
Compression,0.9840283939662822,0.990072202166065,0.9838129496402878,0.9945701357466064,1.0017559262510976,1.0054249547920433,0.9836065573770492,0.9899451553930531,0.9917883211678832,1.0044802867383513
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1109,1097,1094,1099,1141,1112,1080,1083,1087,1121
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
