,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.130153594292,0.198037486632,0.229050469067,0.122554355194,0.0719094283534,0.182140613749,0.0810176838465,0.109711810379,0.259377906376,0.141606696565
1-SPFN,0.113112135671,0.176868012547,0.203971422427,0.1063756821,0.0611554688945,0.159852900641,0.0706628702057,0.0964430121706,0.235645191034,0.12319412846
SP-Score,0.121632864982,0.18745274959,0.216510945747,0.114465018647,0.066532448624,0.170996757195,0.0758402770261,0.103077411275,0.247511548705,0.132400412512
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.13015359429175966,0.19803748663201937,0.22905046906722418,0.12255435519419901,0.07190942835344763,0.18214061374883178,0.08101768384647894,0.10971181037880615,0.25937790637594293,0.1416066965648044
Compression,1.1730257320319433,1.1335740072202165,1.1429856115107915,1.2099547511312216,1.1597892888498682,1.182640144665461,1.1675774134790529,1.1855575868372943,1.1268248175182483,1.14247311827957
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1322,1256,1271,1337,1321,1308,1282,1297,1235,1275
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
