,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.219813745076,0.242695776409,0.349554802414,0.190380090865,0.174958028229,0.250085223425,0.15928169728,0.186593665349,0.215966019975,0.221076665121
1-SPFN,0.17020676881,0.182173114561,0.275200284969,0.126236017577,0.107555764738,0.180021916998,0.111580784136,0.131151732072,0.15769585408,0.166602256268
SP-Score,0.195010256943,0.212434445485,0.312377543692,0.158308054221,0.141256896483,0.215053570212,0.135431240708,0.158872698711,0.186830937027,0.193839460695
TC,0.004878048780487805,0.00966183574879227,0.025590551181102362,0.005940594059405941,0.01253616200578592,0.015748031496062992,0.012909632571996028,0.004935834155972359,0.0087890625,0.012633624878522837
Modeler,0.2198137450760317,0.2426957764086079,0.3495548024142258,0.19038009086483856,0.17495802822909204,0.250085223425468,0.15928169727981464,0.18659366534894184,0.21596601997474457,0.22107666512075916
Compression,1.9795918367346939,2.032490974729242,2.012589928057554,2.4579185520361992,2.6900790166812993,2.3110307414104883,2.1985428051001823,2.223034734917733,2.2208029197080292,2.025089605734767
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,2231,2252,2238,2716,3064,2556,2414,2432,2434,2260
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
