,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.0470145566493,0.0530253229017,0.0542507923892,0.0312400200739,0.0190619540975,0.101265822785,0.0187922539246,0.0466394439976,0.0230818295373,0.043579190544
1-SPFN,0.0166032468273,0.0191928738036,0.0188086404818,0.00920898237215,0.00583281504765,0.0311947452989,0.00554589907816,0.0152149195692,0.00582407081426,0.013059068256
SP-Score,0.0318089017383,0.0361090983527,0.0365297164355,0.020224501223,0.0124473845726,0.0662302840419,0.0121690765014,0.0309271817834,0.0144529501758,0.0283191294
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.047014556649310174,0.05302532290171751,0.054250792389186675,0.03124002007390848,0.019061954097496128,0.10126582278481013,0.01879225392460181,0.04663944399760771,0.02308182953730034,0.043579190544010944
Compression,4.896184560780834,4.51173285198556,4.759892086330935,5.19185520361991,4.621597892888499,4.9041591320072335,5.3096539162112935,4.926873857404022,5.927007299270073,5.137992831541219
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,5518,4999,5293,5737,5264,5424,5830,5390,6496,5734
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
