,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.0584850745013,0.0994483804345,0.0935275657589,0.0650572408663,0.0455825691174,0.102026860269,0.0661469186235,0.0532799590991,0.0799099435633,0.0659885293799
1-SPFN,0.0349950002349,0.0637416552723,0.063496384117,0.0423398010268,0.0272041149081,0.0667022985956,0.0406845803716,0.0329527641166,0.0530771681001,0.0409851766469
SP-Score,0.0467400373681,0.0815950178534,0.0785119749379,0.0536985209465,0.0363933420128,0.0843645794323,0.0534157494975,0.0431163616078,0.0664935558317,0.0534868530134
TC,0.0,0.002898550724637681,0.002952755905511811,0.0,0.0,9.84251968503937E-4,9.930486593843098E-4,0.0,9.765625E-4,0.0
Modeler,0.05848507450131506,0.09944838043449844,0.09352756575886272,0.06505724086625889,0.04558256911741511,0.10202686026901403,0.06614691862351071,0.053279959099092236,0.07990994356328686,0.06598852937993724
Compression,3.306122448979592,2.868231046931408,2.6492805755395685,2.9891402714932127,3.3134328358208953,2.7685352622061483,3.18488160291439,3.3244972577696528,2.841240875912409,2.990143369175627
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,3726,3178,2946,3303,3774,3062,3497,3637,3114,3337
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
