Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.8283157038240001,0.923611111111,0.834482758621,0.856060606061,0.460101867572,0.902255639098,0.885375494071,0.973706176962,0.748527679623,1.0,0.955947136564,0.957219251337,0.828125,0.780816640986,0.924994720562,0.615384615385,0.670454545455,0.880814753647,0.803116147309,0.847826086957,0.990990990991,0.589211244787,0.801094890511,0.997372569627,1.0,0.946891931418,0.512207527976,0.713567839196,0.788948069241,0.64268579492,0.537556904401,0.64406779661,1.0,0.707920792079,0.962832452387,0.959302325581,0.968688845401,1.0,0.591268071262,0.59938216275,1.0,0.490391495451,0.906628787879,0.665674475892,0.600579920261,0.789897904352,0.702702702703,0.973607038123,0.756554307116,0.851808176101,0.931626701231,0.93752099429,0.871095034528,0.957894736842,0.734705000681,0.748534896111,0.781651997292,0.932832080201,0.973273942094,0.952809798271,0.857954545455,0.937871174052,0.731707317073,0.884842579624,0.905013799448,0.853741496599,0.938836104513,0.738095238095,0.938271604938,0.992753623188,0.880706921944,0.684282522457,0.39683600713,0.965827338129,0.731800766284,0.615408320493,0.97564499484,0.661904761905,0.919421487603,0.89979338843,0.874074074074,0.781538461538,0.92439703154,1.0,0.566721922918,0.733944954128,0.65488594762,0.809523809524,0.551578947368,0.732620215122,0.70777027027,0.772554002541,1.0,0.553173994844,0.615748264145,0.972027972028,0.933449203857,0.749699959995,0.803911173941,1.0,0.772070626003,0.419675835397,0.930481283422,0.790229885057,0.918811881188,0.953405017921,0.817307692308,0.758,0.817829457364,0.838226545824,0.92420327304,0.749211688039,0.931336963097,0.917926565875,0.735606731621,0.913151364764,1.0,0.990675990676,0.509040976037,0.670792731104,0.905882352941,0.950099234477,0.803904170364,0.857142857143,0.693731476822,0.770229007634,0.810298102981,0.91568296796,0.717723110074,0.889786497403,0.632454739084,0.848656294201,0.558769230769,0.499625327838,0.890055436836,0.936559139785,0.650334075724,0.9795221843,0.681118522319,0.725162337662,0.977777777778,0.561510353228
1-SPFN,0.787925696594,0.511538461538,0.834482758621,0.616643929059,0.190442726634,0.526315789474,0.618101545254,0.973706176962,0.735745296671,1.0,0.0806691449814,0.957219251337,0.826280623608,0.67917574133,0.899550605233,0.19512195122,0.634408602151,0.865683754903,0.772479564033,0.847826086957,0.484581497797,0.52978149447,0.44750254842,0.997372569627,1.0,0.941645774755,0.44102189781,0.229773462783,0.614262440758,0.587715336473,0.530512916511,0.449704142012,1.0,0.581300813008,0.96473456349,0.959302325581,0.968688845401,1.0,0.556158839063,0.552169040668,1.0,0.397538945973,0.743810641898,0.625259098578,0.340479452055,0.798045602606,0.715596330275,0.97503671072,0.701998262381,0.798599594619,0.925032175032,0.922644628099,0.867671143138,0.520594965675,0.672403042773,0.418403811793,0.790212183436,0.919012345679,0.914225941423,0.922245467225,0.862857142857,0.937015061616,0.714285714286,0.867929036497,0.889064618165,0.886925795053,0.937722419929,0.692737430168,0.885780885781,0.986794717887,0.875549048316,0.56410931098,0.259054545455,0.958073148974,0.743190661479,0.500877853022,0.968846075015,0.392051282051,0.891982182628,0.520310633214,0.842857142857,0.586605080831,0.911919469229,1.0,0.400497876702,0.703812316716,0.489682038324,0.489208633094,0.439597315436,0.708470363289,0.697171381032,0.705745792223,0.0350877192982,0.450749488985,0.596333720826,0.972027972028,0.921055543262,0.701434809732,0.725957446809,1.0,0.599750623441,0.326603767204,0.832535885167,0.663449939686,0.916090819348,0.953405017921,0.188330871492,0.752730883813,0.659375,0.827055208369,0.909322033898,0.598790322581,0.917734724292,0.902814657461,0.487525682419,0.858142246405,1.0,0.990675990676,0.44457887587,0.684125705077,0.905882352941,0.950908059024,0.720190779014,0.0567375886525,0.59834088936,0.680377612947,0.150326797386,0.918781725888,0.47657088351,0.864834548514,0.583173761477,0.418994413408,0.27196485623,0.360089110916,0.851643684065,0.936559139785,0.66946885747,0.555125725338,0.619458702753,0.679908675799,0.977777777778,0.422161172161
SP-Score,0.808120700209,0.717574786325,0.834482758621,0.73635226756,0.325272297103,0.714285714286,0.751738519663,0.973706176962,0.742136488147,1.0,0.518308140773,0.957219251337,0.827202811804,0.729996191158,0.912272662898,0.405253283302,0.652431573803,0.873249254275,0.787797855671,0.847826086957,0.737786244394,0.559496369629,0.624298719465,0.997372569627,1.0,0.944268853086,0.476614712893,0.47167065099,0.701605255,0.615200565697,0.534034910456,0.546885969311,1.0,0.644610802544,0.963783507939,0.959302325581,0.968688845401,1.0,0.573713455162,0.575775601709,1.0,0.443965220712,0.825219714888,0.645466787235,0.470529686158,0.793971753479,0.709149516489,0.974321874421,0.729276284748,0.82520388536,0.928329438132,0.930082811194,0.869383088833,0.739244851259,0.703554021727,0.583469353952,0.785932090364,0.92592221294,0.943749941758,0.937527632748,0.860405844156,0.937443117834,0.722996515679,0.87638580806,0.897039208807,0.870333645826,0.938279262221,0.715416334131,0.91202624536,0.989774170538,0.87812798513,0.624195916718,0.327945276292,0.961950243552,0.737495713881,0.558143086758,0.972245534928,0.526978021978,0.905701835116,0.710052010822,0.858465608466,0.684071771185,0.918158250384,1.0,0.48360989981,0.718878635422,0.572283992972,0.649366221309,0.495588131402,0.720545289205,0.702470825651,0.739149897382,0.517543859649,0.501961741914,0.606040992486,0.972027972028,0.92725237356,0.725567384863,0.764934310375,1.0,0.685910624722,0.373139801301,0.881508584295,0.726839912372,0.917451350268,0.953405017921,0.5028192819,0.755365441907,0.738602228682,0.832640877096,0.916762653469,0.67400100531,0.924535843695,0.910370611668,0.61156620702,0.885646805585,1.0,0.990675990676,0.476809925953,0.67745921809,0.905882352941,0.95050364675,0.762047474689,0.456940222898,0.646036183091,0.72530331029,0.480312450183,0.917232346924,0.597146996792,0.877310522959,0.607814250281,0.633825353804,0.4153670435,0.429857219377,0.870849560451,0.936559139785,0.659901466597,0.767323954819,0.650288612536,0.702535506731,0.977777777778,0.491835762694
TC,0.6013986013986014,0.0888888888889,0.6,0.578947368421,0.102941176471,0.38768115942,0.342105263158,0.884615384615,0.282442748092,1.0,0.0289855072464,0.90625,0.723270440252,0.343137254902,0.48,0.0982142857143,0.451612903226,0.522123893805,0.680769230769,0.634146341463,0.43956043956,0.044,0.36,0.8125,1.0,0.25,0.104026845638,0.1388101983,0.211267605634,0.107692307692,0.161290322581,0.12,1.0,0.340425531915,0.728571428571,0.910112359551,0.884615384615,1.0,0.0692307692308,0.110759493671,1.0,0.118852459016,0.368421052632,0.0797101449275,0.0362694300518,0.477064220183,0.239436619718,0.854166666667,0.416666666667,0.426751592357,0.754464285714,0.692307692308,0.470588235294,0.00636942675159,0.167741935484,0.132530120482,0.529411764706,0.79797979798,0.882716049383,0.824742268041,0.786885245902,0.488888888889,0.625,0.556722689076,0.487179487179,0.488095238095,0.84693877551,0.538461538462,0.75,0.951048951049,0.72268907563,0.0851063829787,0.0465949820789,0.87012987013,0.597701149425,0.190751445087,0.71875,0.381294964029,0.68814968815,0.52144469526,0.715277777778,0.4,0.673913043478,1.0,0.139423076923,0.524590163934,0.213166144201,0.377358490566,0.183333333333,0.111111111111,0.238095238095,0.522058823529,0.0327868852459,0.11498973306,0.00900900900901,0.958041958042,0.569230769231,0.253968253968,0.202127659574,1.0,0.285714285714,0.0909090909091,0.753246753247,0.287234042553,0.83379501385,0.83908045977,0.0960698689956,0.328571428571,0.423529411765,0.363636363636,0.704545454545,0.231404958678,0.540540540541,0.756097560976,0.212328767123,0.601503759398,1.0,0.974683544304,0.0197183098592,0.229268292683,0.848314606742,0.810606060606,0.277777777778,0.0196078431373,0.147540983607,0.288343558282,0.138364779874,0.860696517413,0.0570342205323,0.623188405797,0.135135135135,0.2,0.110869565217,0.09726443769,0.278846153846,0.793650793651,0.301075268817,0.14606741573,0.179487179487,0.214285714286,0.955555555556,0.0980392156863
Modeler,0.8283157038242474,0.923611111111,0.834482758621,0.856060606061,0.460101867572,0.902255639098,0.885375494071,0.973706176962,0.748527679623,1.0,0.955947136564,0.957219251337,0.828125,0.780816640986,0.924994720562,0.615384615385,0.670454545455,0.880814753647,0.803116147309,0.847826086957,0.990990990991,0.589211244787,0.801094890511,0.997372569627,1.0,0.946891931418,0.512207527976,0.713567839196,0.788948069241,0.64268579492,0.537556904401,0.64406779661,1.0,0.707920792079,0.962832452387,0.959302325581,0.968688845401,1.0,0.591268071262,0.59938216275,1.0,0.490391495451,0.906628787879,0.665674475892,0.600579920261,0.789897904352,0.702702702703,0.973607038123,0.756554307116,0.851808176101,0.931626701231,0.93752099429,0.871095034528,0.957894736842,0.734705000681,0.748534896111,0.781651997292,0.932832080201,0.973273942094,0.952809798271,0.857954545455,0.937871174052,0.731707317073,0.884842579624,0.905013799448,0.853741496599,0.938836104513,0.738095238095,0.938271604938,0.992753623188,0.880706921944,0.684282522457,0.39683600713,0.965827338129,0.731800766284,0.615408320493,0.97564499484,0.661904761905,0.919421487603,0.89979338843,0.874074074074,0.781538461538,0.92439703154,1.0,0.566721922918,0.733944954128,0.65488594762,0.809523809524,0.551578947368,0.732620215122,0.70777027027,0.772554002541,1.0,0.553173994844,0.615748264145,0.972027972028,0.933449203857,0.749699959995,0.803911173941,1.0,0.772070626003,0.419675835397,0.930481283422,0.790229885057,0.918811881188,0.953405017921,0.817307692308,0.758,0.817829457364,0.838226545824,0.92420327304,0.749211688039,0.931336963097,0.917926565875,0.735606731621,0.913151364764,1.0,0.990675990676,0.509040976037,0.670792731104,0.905882352941,0.950099234477,0.803904170364,0.857142857143,0.693731476822,0.770229007634,0.810298102981,0.91568296796,0.717723110074,0.889786497403,0.632454739084,0.848656294201,0.558769230769,0.499625327838,0.890055436836,0.936559139785,0.650334075724,0.9795221843,0.681118522319,0.725162337662,0.977777777778,0.561510353228
Compression,1.1283783783783785,1.23952095808,1.0,1.3932038835,2.2874251497,1.48344370861,1.6975308642,1.0,1.11888111888,1.0,3.58950617284,1.0,1.01234567901,1.36111111111,1.62962962963,2.20168067227,1.07874015748,1.09836065574,1.07473309609,1.0,1.5306122449,1.59477124183,1.72916666667,1.0,1.0,1.30357142857,1.83986928105,1.71351351351,1.40350877193,1.92307692308,1.02976190476,1.47682119205,1.0,1.23770491803,1.03521126761,1.0,1.0,1.0,1.55251141553,1.51912568306,1.0,1.49473684211,1.42763157895,1.34057971014,2.17948717949,1.0,0.946666666667,1.0,1.22631578947,1.24719101124,1.04897959184,1.05982905983,1.19444444444,2.12432432432,1.47894736842,2.15909090909,1.02222222222,1.0404040404,1.06889352818,1.09952606635,1.0,1.05454545455,1.04938271605,1.09426229508,1.28,0.898148148148,1.00961538462,1.07246376812,1.2,1.03424657534,1.024,1.47572815534,2.0056980057,1.03846153846,0.977528089888,1.47906976744,1.0625,1.63194444444,1.06627680312,1.46908315565,1.06578947368,1.35031847134,1.16504854369,1.0,1.56595744681,1.13114754098,1.61861861862,1.60606060606,1.34645669291,1.36257309942,1.02325581395,1.31428571429,2.31764705882,1.87,2.01680672269,1.0,1.07575757576,1.4,1.38834951456,1.0,1.40789473684,1.92517006803,1.20481927711,1.33628318584,1.0054200542,1.0,2.30107526882,1.02857142857,1.42268041237,1.6,1.12371134021,1.52892561983,1.15714285714,1.04186046512,1.78231292517,1.23121387283,1.0,1.0,2.54404145078,1.11483253589,1.0,1.00724637681,1.4,2.3184079602,1.60162601626,1.38823529412,2.85784313725,1.0,2.16245487365,1.10112359551,1.77168949772,1.96226415094,2.19512195122,2.09450549451,1.93103448276,1.0,1.0,1.34061135371,1.78260869565,1.32716049383,1.0,2.33870967742
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
