Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.7234375,0.756756756757,0.972413793103,0.580732700136,0.281229980782,0.5935302391,0.713325867861,0.82909015025,0.675170068027,1.0,0.332768553033,1.0,0.828193832599,0.71829105474,0.946761965601,0.405349794239,0.681818181818,0.928427283735,0.885402455662,0.831896551724,0.576131687243,0.626894091775,0.396325459318,0.997372569627,1.0,0.806622516556,0.514568680924,0.19031377899,0.73449654671,0.705024760929,0.596011816839,0.55864978903,1.0,0.626923076923,0.961522349294,0.988372093023,0.812133072407,1.0,0.636374947122,0.564660345655,1.0,0.575869120654,0.897473716706,0.658551647151,0.556442654818,0.875201721356,0.739910313901,0.973607038123,0.663914688682,0.88517975055,0.913266945069,0.898960363873,0.85542560104,0.71736619176,0.691060903733,0.512093162138,0.78505942275,0.962469135802,0.952083333333,0.968325791855,0.784090909091,0.955956184391,0.668269230769,0.857423736892,0.871940163191,0.799319727891,0.951306413302,0.629834254144,0.964953271028,0.992797118848,0.882778581766,0.692495559503,0.393094481364,0.972370766488,0.731800766284,0.518681318681,0.996515679443,0.45002589332,0.899517332163,0.940911642478,0.573472757292,0.854415274463,0.578341013825,0.961617546265,1.0,0.540494048029,0.643274853801,0.505911704089,0.58273381295,0.477049180328,0.653386676591,0.948419301165,0.762839007501,0.511627906977,0.483336035389,0.558901509705,0.97668997669,0.935726901424,0.69913899139,0.75457740937,1.0,0.721945137157,0.410664998344,0.760563380282,0.914560770156,0.943786982249,0.863095238095,0.274293590627,0.754716981132,0.680765357503,0.938310067645,0.974597798476,0.680073431242,0.88749626977,0.879109225875,0.661657491445,0.90230558812,1.0,0.990675990676,0.573244332601,0.625649076199,0.949019607843,0.945387662705,0.730486008837,0.392018779343,0.677024027791,0.812080536913,0.229058211074,0.913996627319,0.539456813148,0.88042269188,0.69448513302,0.576682859126,0.327879896064,0.462140221402,0.917637902328,0.931182795699,0.665928386859,0.781431334623,0.590323309971,0.681925575901,0.966666666667,0.696942446043
1-SPFN,0.716718266254,0.753846153846,0.972413793103,0.583901773533,0.308503162333,0.616959064327,0.703090507726,0.82909015025,0.689435600579,1.0,0.365055762082,1.0,0.837416481069,0.72105880382,0.948923627051,0.436807095344,0.645161290323,0.933450561342,0.884196185286,0.839130434783,0.616740088106,0.63056379822,0.461773700306,0.997372569627,1.0,0.814001966841,0.523357664234,0.22572815534,0.748148696682,0.710346904101,0.604268064395,0.559594251902,1.0,0.662601626016,0.964755579841,0.988372093023,0.812133072407,1.0,0.631160690047,0.554985402106,1.0,0.583360954591,0.903439107766,0.668281513618,0.54897260274,0.883279044517,0.756880733945,0.97503671072,0.670721112076,0.889257416621,0.914736164736,0.914710743802,0.862430396331,0.710526315789,0.701833146278,0.510720667064,0.791238877481,0.962469135802,0.956066945607,0.970013947001,0.788571428571,0.955956184391,0.661904761905,0.859626067738,0.869182105739,0.83038869258,0.950177935943,0.63687150838,0.962703962704,0.992797118848,0.893118594436,0.703454497613,0.395781818182,0.973238180196,0.743190661479,0.532731376975,0.996515679443,0.445641025641,0.913140311804,0.942338600902,0.622461170848,0.852380952381,0.579676674365,0.962937542896,1.0,0.575120808317,0.645161290323,0.491050747526,0.58273381295,0.488255033557,0.67137667304,0.948419301165,0.767266395821,0.514619883041,0.473972291619,0.579325762318,0.97668997669,0.937901084311,0.709170305677,0.765053191489,1.0,0.721945137157,0.377362956951,0.775119617225,0.916767189385,0.944718657453,0.866188769415,0.293943870015,0.754716981132,0.704166666667,0.941079998619,0.975423728814,0.684643817204,0.886438152012,0.880509824748,0.652626944526,0.897396035756,1.0,0.990675990676,0.570555272542,0.695809830782,0.949019607843,0.948070374574,0.788553259141,0.394799054374,0.676762805054,0.815913688469,0.243338360985,0.917089678511,0.551806366997,0.887829500841,0.680905386164,0.58030726257,0.340155750799,0.422736785256,0.920058082105,0.931182795699,0.689338937715,0.781431334623,0.609192720485,0.702891933029,0.966666666667,0.709706959707
SP-Score,0.720077883127,0.755301455301,0.972413793103,0.582317236835,0.294866571557,0.605244651714,0.708208187794,0.82909015025,0.682302834303,1.0,0.348912157557,1.0,0.832805156834,0.71967492928,0.947842796326,0.421078444791,0.66348973607,0.930938922538,0.884799320474,0.835513493253,0.596435887674,0.628728944997,0.429049579812,0.997372569627,1.0,0.810312241699,0.518963172579,0.208020967165,0.741322621696,0.707685832515,0.600139940617,0.559122020466,1.0,0.64476235147,0.963138964568,0.988372093023,0.812133072407,1.0,0.633767818584,0.55982287388,1.0,0.579615037623,0.900456412236,0.663416580384,0.552707628779,0.879240382936,0.748395523923,0.974321874421,0.667317900379,0.887218583585,0.914001554903,0.906835553837,0.858927998686,0.713946253775,0.696447025005,0.511406914601,0.788149150116,0.962469135802,0.95407513947,0.969169869428,0.786331168831,0.955956184391,0.665086996337,0.858524902315,0.870561134465,0.814854210235,0.950742174622,0.633352881262,0.963828616866,0.992797118848,0.887948588101,0.697975028558,0.394438149773,0.972804473342,0.737495713881,0.525706347828,0.996515679443,0.44783345948,0.906328821984,0.94162512169,0.59796696407,0.853398113422,0.579008844095,0.96227754458,1.0,0.557807428173,0.644218072062,0.498481225808,0.58273381295,0.482652106942,0.662381674816,0.948419301165,0.765052701661,0.513123895009,0.478654163504,0.569113636012,0.97668997669,0.936813992867,0.704154648533,0.75981530043,1.0,0.721945137157,0.394013977648,0.767841498753,0.915663979771,0.944252819851,0.864642003755,0.284118730321,0.754716981132,0.692466012085,0.939695033132,0.975010763645,0.682358624223,0.886967210891,0.879809525311,0.657142217985,0.899850811938,1.0,0.990675990676,0.571899802572,0.66072945349,0.949019607843,0.94672901864,0.759519633989,0.393408916858,0.676893416423,0.813997112691,0.23619828603,0.915543152915,0.545631590072,0.884126096361,0.687695259592,0.578495060848,0.334017823431,0.442438503329,0.918847992217,0.931182795699,0.677633662287,0.781431334623,0.599758015228,0.692408754465,0.966666666667,0.703324702875
TC,0.4755244755244755,0.533333333333,0.933333333333,0.263157894737,0.110294117647,0.347826086957,0.223684210526,0.461538461538,0.129770992366,1.0,0.130434782609,1.0,0.729559748428,0.372549019608,0.53,0.133928571429,0.467741935484,0.637168141593,0.8,0.658536585366,0.406593406593,0.04,0.146666666667,0.8125,1.0,0.25,0.104026845638,0.028328611898,0.169014084507,0.138461538462,0.2,0.26,1.0,0.446808510638,0.728571428571,0.977528089888,0.5,1.0,0.164102564103,0.104430379747,1.0,0.0819672131148,0.414473684211,0.166666666667,0.0466321243523,0.651376146789,0.323943661972,0.854166666667,0.33630952381,0.636942675159,0.696428571429,0.606837606838,0.470588235294,0.15923566879,0.283870967742,0.150602409639,0.470588235294,0.878787878788,0.91975308642,0.938144329897,0.672131147541,0.666666666667,0.555555555556,0.481092436975,0.282051282051,0.297619047619,0.867346938776,0.492307692308,0.84375,0.979020979021,0.731092436975,0.186170212766,0.0286738351254,0.896103896104,0.597701149425,0.236994219653,0.9375,0.115107913669,0.717255717256,0.385714285714,0.291196388262,0.736111111111,0.348387096774,0.804347826087,1.0,0.0528846153846,0.327868852459,0.115987460815,0.433962264151,0.116666666667,0.116959064327,0.833333333333,0.536764705882,0.459016393443,0.0965092402464,0.144144144144,0.965034965035,0.642307692308,0.198412698413,0.164893617021,1.0,0.394557823129,0.127272727273,0.649350649351,0.734042553191,0.891966759003,0.632183908046,0.122270742358,0.357142857143,0.435294117647,0.431818181818,0.909090909091,0.264462809917,0.648648648649,0.741463414634,0.287671232877,0.631578947368,1.0,0.974683544304,0.0535211267606,0.239024390244,0.915730337079,0.818181818182,0.388888888889,0.254901960784,0.16393442623,0.558282208589,0.0566037735849,0.860696517413,0.0722433460076,0.594202898551,0.144963144963,0.240909090909,0.110869565217,0.106382978723,0.384615384615,0.761904761905,0.311827956989,0.573033707865,0.179487179487,0.168831168831,0.933333333333,0.313725490196
Modeler,0.7234375,0.756756756757,0.972413793103,0.580732700136,0.281229980782,0.5935302391,0.713325867861,0.82909015025,0.675170068027,1.0,0.332768553033,1.0,0.828193832599,0.71829105474,0.946761965601,0.405349794239,0.681818181818,0.928427283735,0.885402455662,0.831896551724,0.576131687243,0.626894091775,0.396325459318,0.997372569627,1.0,0.806622516556,0.514568680924,0.19031377899,0.73449654671,0.705024760929,0.596011816839,0.55864978903,1.0,0.626923076923,0.961522349294,0.988372093023,0.812133072407,1.0,0.636374947122,0.564660345655,1.0,0.575869120654,0.897473716706,0.658551647151,0.556442654818,0.875201721356,0.739910313901,0.973607038123,0.663914688682,0.88517975055,0.913266945069,0.898960363873,0.85542560104,0.71736619176,0.691060903733,0.512093162138,0.78505942275,0.962469135802,0.952083333333,0.968325791855,0.784090909091,0.955956184391,0.668269230769,0.857423736892,0.871940163191,0.799319727891,0.951306413302,0.629834254144,0.964953271028,0.992797118848,0.882778581766,0.692495559503,0.393094481364,0.972370766488,0.731800766284,0.518681318681,0.996515679443,0.45002589332,0.899517332163,0.940911642478,0.573472757292,0.854415274463,0.578341013825,0.961617546265,1.0,0.540494048029,0.643274853801,0.505911704089,0.58273381295,0.477049180328,0.653386676591,0.948419301165,0.762839007501,0.511627906977,0.483336035389,0.558901509705,0.97668997669,0.935726901424,0.69913899139,0.75457740937,1.0,0.721945137157,0.410664998344,0.760563380282,0.914560770156,0.943786982249,0.863095238095,0.274293590627,0.754716981132,0.680765357503,0.938310067645,0.974597798476,0.680073431242,0.88749626977,0.879109225875,0.661657491445,0.90230558812,1.0,0.990675990676,0.573244332601,0.625649076199,0.949019607843,0.945387662705,0.730486008837,0.392018779343,0.677024027791,0.812080536913,0.229058211074,0.913996627319,0.539456813148,0.88042269188,0.69448513302,0.576682859126,0.327879896064,0.462140221402,0.917637902328,0.931182795699,0.665928386859,0.781431334623,0.590323309971,0.681925575901,0.966666666667,0.696942446043
Compression,1.0202702702702702,0.994011976048,1.0,0.936893203883,0.832335329341,0.956953642384,1.07407407407,1.0,1.00699300699,1.0,0.817901234568,1.0,0.993827160494,1.0,1.0,0.915966386555,1.07874015748,1.01639344262,1.0,0.977777777778,0.925170068027,0.983660130719,0.833333333333,1.0,1.0,0.964285714286,1.11764705882,0.852252252252,0.964912280702,1.12307692308,1.00595238095,1.06622516556,1.0,0.94262295082,1.02816901408,1.0,1.0,1.0,1.04566210046,1.16666666667,1.0,1.00350877193,1.02631578947,1.0,1.20085470085,0.991071428571,0.946666666667,1.0,0.971052631579,0.983146067416,1.04081632653,0.965811965812,0.972222222222,1.30810810811,0.957894736842,1.11931818182,1.02222222222,1.0,0.991649269311,0.995260663507,1.0,1.0,1.02469135802,1.01229508197,1.1,0.898148148148,1.00961538462,1.0,1.02222222222,1.0,0.984,1.04854368932,1.08262108262,1.0,0.977528089888,0.958139534884,1.0,1.04861111111,0.966861598441,1.02857142857,0.923240938166,1.0,1.0,1.00970873786,1.0,0.872340425532,1.01639344262,1.05405405405,1.0,1.0,0.976608187135,1.0,1.01428571429,0.917647058824,1.116,1.0756302521,1.0,0.988636363636,1.02222222222,1.0145631068,1.0,1.0,1.12471655329,0.975903614458,1.0,1.0,1.0,0.876344086022,1.0,0.958762886598,1.04,1.0,0.96694214876,1.02857142857,1.0,1.08163265306,1.1098265896,1.0,1.0,1.20207253886,0.846889952153,1.0,1.0,0.85,0.965174129353,1.0406504065,0.982352941176,0.897058823529,1.0,1.08303249097,1.0,1.14611872146,0.924528301887,0.959349593496,1.20879120879,1.04310344828,1.0,0.959595959596,1.0,1.07826086957,0.938271604938,1.0,1.03225806452
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
