Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.408917197452,0.463035019455,0.903448275862,0.538343558282,0.256860592755,0.574137931034,0.669310555217,0.792712949286,0.476884631404,0.913875598086,0.28007023705,0.957219251337,0.80504587156,0.465039887377,0.733429852301,0.223728813559,0.630681818182,0.861550300826,0.909465020576,0.66081871345,0.514893617021,0.54276880797,0.307095343681,0.992696521238,1.0,0.654647247128,0.504271723276,0.391557496361,0.55832226649,0.360782794032,0.47963800905,0.553789731051,0.951629072682,0.552845528455,0.934460310794,0.935294117647,0.748986486486,1.0,0.531542849382,0.358890573535,1.0,0.383174719375,0.511718176287,0.482400952219,0.245901639344,0.754338394794,0.676470588235,0.973607038123,0.599081866871,0.827665706052,0.858819693512,0.909803921569,0.741074584659,0.600418410042,0.536944444444,0.50303030303,0.622863247863,0.894025974026,0.909185803758,0.910669975186,0.842696629213,0.913339596054,0.630434782609,0.858540978685,0.636864512898,0.846517917512,0.772397094431,0.647727272727,0.8,0.967469879518,0.847605224964,0.390522384856,0.276821192053,0.916146297948,0.689795918367,0.520910209102,0.955193936692,0.335488261313,0.863212906158,0.775809790774,0.485630066323,0.847583643123,0.472222222222,0.735026353618,1.0,0.195923656927,0.44921875,0.523709677419,0.507936507937,0.478424015009,0.462528016436,0.822262118492,0.776876267748,0.102564102564,0.42360356075,0.365289889982,0.972027972028,0.91709758593,0.567219979064,0.494321806814,1.0,0.657060518732,0.464681810094,0.169811320755,0.597715736041,0.916996047431,0.880525686977,0.31662591687,0.742243436754,0.521276595745,0.677867636672,0.818181818182,0.523269689737,0.795321637427,0.86602357985,0.449587936174,0.868088631187,1.0,0.990675990676,0.441042270497,0.572023163228,0.795081967213,0.926462237365,0.347208121827,0.173333333333,0.523724724265,0.579584775087,0.172543135784,0.789380530973,0.439943542696,0.838523644752,0.434915664366,0.354440789474,0.311798891742,0.366903378524,0.665664795576,0.925806451613,0.691756272401,0.651480637813,0.397226877952,0.586229835357,0.951492537313,0.179447852761
1-SPFN,0.248452012384,0.457692307692,0.903448275862,0.478854024557,0.164441321152,0.486842105263,0.605408388521,0.783945464663,0.331403762663,0.909523809524,0.118587360595,0.957219251337,0.781737193764,0.332048919417,0.697661214332,0.146341463415,0.596774193548,0.832882456378,0.903269754768,0.491304347826,0.533039647577,0.46884272997,0.282364933741,0.989049404598,1.0,0.654320816654,0.353284671533,0.217637540453,0.373593009479,0.280319160376,0.396855110446,0.38292476754,0.935221674877,0.552845528455,0.935206590728,0.924418604651,0.723091976517,1.0,0.386361953651,0.202438880533,1.0,0.260233675837,0.421066261524,0.410267534346,0.142808219178,0.755157437568,0.597859327217,0.97503671072,0.544222415291,0.793808734107,0.84749034749,0.920330578512,0.686701604979,0.547292143402,0.482105000624,0.420190589637,0.598562628337,0.84987654321,0.911087866109,0.895746164575,0.857142857143,0.887494294843,0.552380952381,0.854130577624,0.5745594216,0.737338044759,0.756820877817,0.63687150838,0.671328671329,0.963985594238,0.85505124451,0.341991504718,0.1824,0.916146297948,0.657587548638,0.424880862804,0.878253740521,0.252820512821,0.846102449889,0.767946645751,0.39366786141,0.814285714286,0.314087759815,0.701898878975,1.0,0.121760140577,0.33724340176,0.341861444515,0.460431654676,0.427852348993,0.37879541109,0.762063227953,0.666860127684,0.0701754385965,0.28315920963,0.221490953531,0.972027972028,0.917376631998,0.473237679351,0.412127659574,1.0,0.568578553616,0.264955530756,0.129186602871,0.568154402895,0.916090819348,0.880525686977,0.191285081241,0.617676266137,0.510416666667,0.662724855851,0.793220338983,0.442036290323,0.770193740686,0.858204992034,0.376284120928,0.814613291877,1.0,0.990675990676,0.326222618441,0.424523233951,0.760784313725,0.925936435868,0.27186009539,0.0921985815603,0.439712549436,0.451786918409,0.115635997989,0.754653130288,0.371646595922,0.815479528884,0.225033141847,0.300977653631,0.230331469649,0.230203199892,0.627869532577,0.925806451613,0.663737103554,0.553191489362,0.304129724685,0.536529680365,0.944444444444,0.107142857143
SP-Score,0.328684604918,0.460363663574,0.903448275862,0.508598791419,0.210650956954,0.530490018149,0.637359471869,0.788329206975,0.404144197033,0.911699703805,0.199328798822,0.957219251337,0.793391532662,0.398544403397,0.715545533316,0.185035138487,0.613728005865,0.847216378602,0.906367387672,0.576061530638,0.523966632299,0.50580576897,0.294730138711,0.990872962918,1.0,0.654484031891,0.428778197404,0.304597518407,0.465957637984,0.320550977204,0.438246559748,0.468357249296,0.943425373779,0.552845528455,0.934833450761,0.929856361149,0.736039231502,1.0,0.458952401517,0.280664727034,1.0,0.321704197606,0.466392218905,0.446334243282,0.194354929261,0.754747916181,0.637164957726,0.974321874421,0.571652141081,0.81073722008,0.853155020501,0.915067250041,0.713888094819,0.573855276722,0.509524722534,0.461610446333,0.6107129381,0.871951258618,0.910136834933,0.90320806988,0.849919743178,0.900416945449,0.591407867495,0.856335778154,0.605711967249,0.791927981135,0.764608986124,0.642299390554,0.735664335664,0.965727736878,0.851328234737,0.366256944787,0.229610596026,0.916146297948,0.673691733503,0.472895535953,0.916723838606,0.294154387067,0.854657678023,0.771878218262,0.439648963866,0.830934678704,0.393154991019,0.718462616296,1.0,0.158841898752,0.39323107588,0.432785560967,0.484184081306,0.453138182001,0.420661713763,0.792162673223,0.721868197716,0.0863697705803,0.35338138519,0.293390421757,0.972027972028,0.917237108964,0.520228829208,0.453224733194,1.0,0.612819536174,0.364818670425,0.149498961813,0.582935069468,0.91654343339,0.880525686977,0.253955499056,0.679959851446,0.515846631206,0.670296246261,0.805701078582,0.48265299003,0.782757689056,0.862114285942,0.412936028551,0.841350961532,1.0,0.990675990676,0.383632444469,0.49827319859,0.777933140469,0.926199336617,0.309534108608,0.132765957447,0.48171863685,0.515685846748,0.144089566886,0.772016830631,0.405795069309,0.827001586818,0.329974403106,0.327709221552,0.271065180695,0.298553289208,0.646767164077,0.925806451613,0.677746687978,0.602336063587,0.350678301319,0.561379757861,0.947968490879,0.143295354952
TC,0.02097902097902098,0.0222222222222,0.766666666667,0.3,0.0220588235294,0.29347826087,0.190789473684,0.192307692308,0.106870229008,0.05,0.00724637681159,0.90625,0.635220125786,0.0686274509804,0.3,0.0178571428571,0.395161290323,0.327433628319,0.842307692308,0.292682926829,0.32967032967,0.008,0.0666666666667,0.71875,1.0,0.0,0.0939597315436,0.0254957507082,0.0,0.0461538461538,0.0129032258065,0.04,0.35,0.297872340426,0.571428571429,0.842696629213,0.384615384615,1.0,0.0230769230769,0.0,1.0,0.0,0.0,0.0434782608696,0.0,0.412844036697,0.0140845070423,0.854166666667,0.136904761905,0.445859872611,0.616071428571,0.683760683761,0.0,0.0,0.122580645161,0.066265060241,0.0,0.656565656566,0.851851851852,0.819587628866,0.737704918033,0.4,0.388888888889,0.46218487395,0.230769230769,0.0714285714286,0.510204081633,0.4,0.46875,0.923076923077,0.663865546218,0.0,0.0143369175627,0.714285714286,0.471264367816,0.0635838150289,0.09375,0.115107913669,0.540540540541,0.0,0.128668171558,0.645833333333,0.0838709677419,0.347826086957,1.0,0.0,0.0327868852459,0.150470219436,0.320754716981,0.0583333333333,0.0175438596491,0.595238095238,0.360294117647,0.0,0.0041067761807,0.0,0.958041958042,0.526923076923,0.031746031746,0.0,1.0,0.197278911565,0.0545454545455,0.012987012987,0.244680851064,0.850415512465,0.758620689655,0.0960698689956,0.271428571429,0.223529411765,0.0,0.522727272727,0.0413223140496,0.513513513514,0.70243902439,0.0821917808219,0.413533834586,1.0,0.974683544304,0.0,0.0439024390244,0.61797752809,0.727272727273,0.0,0.0,0.0245901639344,0.0245398773006,0.0314465408805,0.646766169154,0.0304182509506,0.550724637681,0.012285012285,0.122727272727,0.0717391304348,0.0395136778116,0.0,0.746031746032,0.150537634409,0.213483146067,0.0,0.025974025974,0.888888888889,0.0
Modeler,0.4089171974522293,0.463035019455,0.903448275862,0.538343558282,0.256860592755,0.574137931034,0.669310555217,0.792712949286,0.476884631404,0.913875598086,0.28007023705,0.957219251337,0.80504587156,0.465039887377,0.733429852301,0.223728813559,0.630681818182,0.861550300826,0.909465020576,0.66081871345,0.514893617021,0.54276880797,0.307095343681,0.992696521238,1.0,0.654647247128,0.504271723276,0.391557496361,0.55832226649,0.360782794032,0.47963800905,0.553789731051,0.951629072682,0.552845528455,0.934460310794,0.935294117647,0.748986486486,1.0,0.531542849382,0.358890573535,1.0,0.383174719375,0.511718176287,0.482400952219,0.245901639344,0.754338394794,0.676470588235,0.973607038123,0.599081866871,0.827665706052,0.858819693512,0.909803921569,0.741074584659,0.600418410042,0.536944444444,0.50303030303,0.622863247863,0.894025974026,0.909185803758,0.910669975186,0.842696629213,0.913339596054,0.630434782609,0.858540978685,0.636864512898,0.846517917512,0.772397094431,0.647727272727,0.8,0.967469879518,0.847605224964,0.390522384856,0.276821192053,0.916146297948,0.689795918367,0.520910209102,0.955193936692,0.335488261313,0.863212906158,0.775809790774,0.485630066323,0.847583643123,0.472222222222,0.735026353618,1.0,0.195923656927,0.44921875,0.523709677419,0.507936507937,0.478424015009,0.462528016436,0.822262118492,0.776876267748,0.102564102564,0.42360356075,0.365289889982,0.972027972028,0.91709758593,0.567219979064,0.494321806814,1.0,0.657060518732,0.464681810094,0.169811320755,0.597715736041,0.916996047431,0.880525686977,0.31662591687,0.742243436754,0.521276595745,0.677867636672,0.818181818182,0.523269689737,0.795321637427,0.86602357985,0.449587936174,0.868088631187,1.0,0.990675990676,0.441042270497,0.572023163228,0.795081967213,0.926462237365,0.347208121827,0.173333333333,0.523724724265,0.579584775087,0.172543135784,0.789380530973,0.439943542696,0.838523644752,0.434915664366,0.354440789474,0.311798891742,0.366903378524,0.665664795576,0.925806451613,0.691756272401,0.651480637813,0.397226877952,0.586229835357,0.951492537313,0.179447852761
Compression,1.5810810810810811,0.994011976048,1.0,1.10194174757,1.67065868263,1.17218543046,1.24074074074,1.07692307692,1.62937062937,1.05,1.81172839506,1.0,1.04938271605,1.35185185185,1.23148148148,1.42016806723,1.07874015748,1.25409836066,1.0,1.44444444444,0.952380952381,1.30392156863,1.04166666667,1.21875,1.0,1.26785714286,1.53921568627,1.41801801802,1.87134502924,2.0,1.36904761905,1.4238410596,1.25,1.0,1.06338028169,1.02222222222,1.19230769231,1.0,1.5502283105,2.39344262295,1.0,1.30175438596,2.11184210526,1.97101449275,1.84188034188,0.991071428571,1.21333333333,1.0,1.18684210526,1.09550561798,1.04897959184,1.0,1.25,1.31351351351,1.13157894737,1.44318181818,1.13333333333,1.10101010101,0.989561586639,1.02843601896,0.986666666667,1.03636363636,1.12345679012,1.02254098361,1.34,1.31481481481,1.06730769231,1.01449275362,1.15555555556,1.00684931507,0.984,1.17961165049,1.50427350427,1.0,1.06741573034,1.2511627907,1.5,1.32638888889,1.04288499025,1.27142857143,1.15565031983,1.07236842105,1.47133757962,1.06796116505,1.0,1.7829787234,1.44262295082,1.84984984985,1.13636363636,1.15748031496,2.21052631579,1.11627906977,1.27142857143,1.25882352941,1.968,2.19327731092,1.0,1.00757575758,1.41481481481,1.25242718447,1.0,1.21710526316,2.30158730159,1.33734939759,1.0,1.0,1.0,1.40053763441,1.37142857143,1.09278350515,1.58,1.11340206186,1.32231404959,1.01428571429,1.01395348837,1.40816326531,1.09248554913,1.0,1.0,2.02849740933,1.34449760766,1.03888888889,1.0,1.525,1.50746268657,1.64227642276,1.47058823529,1.36274509804,1.0487804878,1.45848375451,1.05617977528,2.42465753425,1.14716981132,1.36991869919,1.76263736264,1.72413793103,1.0,1.09090909091,1.07423580786,1.66956521739,1.14197530864,1.0,1.85483870968
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
