Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.759968725567,0.590717299578,0.848275862069,0.679452054795,0.323008849558,0.54698457223,0.689770821688,0.967418546366,0.746506986028,1.0,0.245313773431,1.0,0.837155963303,0.678528860889,0.935766052437,0.396995708155,0.664772727273,0.914432710533,0.837016574586,0.640776699029,0.581589958159,0.680937213194,0.51290684624,0.998949027851,1.0,0.946625129803,0.490649908032,0.234532374101,0.775446428571,0.682169506627,0.551566080978,0.575249320036,1.0,0.516260162602,0.972403821976,0.905325443787,0.968688845401,1.0,0.655481994182,0.651277649787,1.0,0.547819971871,0.911516298271,0.742897043244,0.532083684358,0.803103263777,0.727952167414,0.973607038123,0.697441402755,0.83666604373,0.902274911887,0.909239307868,0.868378290543,0.635262958759,0.66345907108,0.479859894921,0.970286885246,0.896708860759,0.938284518828,0.927152317881,0.886363636364,0.965989500114,0.626213592233,0.872648855876,0.917291524653,0.825,0.752976190476,0.710227272727,0.758104738155,0.989195678271,0.889855072464,0.670531364478,0.443906131718,0.969669937556,0.722448979592,0.576954959934,0.996515679443,0.548623853211,0.888643880926,0.943424588167,0.566258351893,0.821342925659,0.546511627907,0.928194540032,1.0,0.487322292247,0.646525679758,0.624943971313,0.550387596899,0.455759599332,0.747087218657,0.910623946037,0.754069767442,0.392405063291,0.575287383509,0.641820941575,0.990675990676,0.932976610768,0.680695564516,0.756941500636,1.0,0.649681528662,0.444333652924,0.698113207547,0.805860805861,0.896245059289,0.942652329749,0.3203125,0.847609561753,0.591182364729,0.935358255452,0.906011854361,0.646442076315,0.951139088729,0.905117270789,0.70014858841,0.90263054574,1.0,0.990675990676,0.59747668678,0.625679012346,0.871485943775,0.94730878187,0.742035742036,0.147540983607,0.779968491908,0.702295552367,0.241830065359,0.851398601399,0.590842669264,0.861512791991,0.650080236215,0.455489614243,0.36464935596,0.432534678436,0.913291477689,0.931182795699,0.690690690691,0.694390715667,0.623937514358,0.652096076384,0.977777777778,0.648426812585
1-SPFN,0.752321981424,0.538461538462,0.848275862069,0.676671214188,0.307800421644,0.570175438596,0.681015452539,0.966611018364,0.757742402315,1.0,0.223791821561,1.0,0.812917594655,0.667616016083,0.934330377637,0.410199556541,0.629032258065,0.913566887596,0.825613079019,0.573913043478,0.612334801762,0.680496358241,0.465851172273,0.998949027851,1.0,0.946992257296,0.467299270073,0.263754045307,0.771771327014,0.658666150504,0.540621490079,0.536348267117,1.0,0.516260162602,0.975305787903,0.889534883721,0.968688845401,1.0,0.645080085886,0.637765784895,1.0,0.548682466026,0.914868271123,0.743649072066,0.519109589041,0.814875135722,0.744648318043,0.97503671072,0.67732406603,0.824949327437,0.906048906049,0.920661157025,0.875204716672,0.640350877193,0.644843496695,0.489577129244,0.97227926078,0.874567901235,0.938284518828,0.927475592748,0.891428571429,0.965769055226,0.614285714286,0.870198912849,0.912110257569,0.816254416961,0.750296559905,0.698324022346,0.708624708625,0.989195678271,0.89897510981,0.667405931662,0.426472727273,0.969669937556,0.688715953307,0.523702031603,0.996515679443,0.536666666667,0.897550111359,0.937605270138,0.60752688172,0.815476190476,0.54272517321,0.925646305193,1.0,0.486894127984,0.627565982405,0.587176247631,0.510791366906,0.458053691275,0.736845124283,0.89850249584,0.752756819501,0.362573099415,0.552396093573,0.615064532475,0.990675990676,0.935660544368,0.673986275733,0.759840425532,1.0,0.635910224439,0.39180277975,0.708133971292,0.796139927624,0.895360315893,0.942652329749,0.302806499261,0.845084409136,0.614583333333,0.933000725063,0.906779661017,0.63188844086,0.945752608048,0.90175252257,0.691517464045,0.893509521959,1.0,0.990675990676,0.577984377653,0.680633897395,0.850980392157,0.948921679909,0.759141494436,0.127659574468,0.787981093856,0.660148347943,0.22322775264,0.824027072758,0.578514367473,0.868760515984,0.621569205087,0.428770949721,0.356130191693,0.393640720988,0.911000039512,0.931182795699,0.703095147115,0.694390715667,0.633691087261,0.665296803653,0.977777777778,0.651098901099
SP-Score,0.756145353495,0.56458941902,0.848275862069,0.678061634491,0.315404635601,0.558580005413,0.685393137113,0.967014782365,0.752124694172,1.0,0.234552797496,1.0,0.825036778979,0.673072438486,0.935048215037,0.403597632348,0.646902492669,0.913999799065,0.831314826802,0.607344871254,0.596962379961,0.680716785718,0.489379009257,0.998949027851,1.0,0.946808693549,0.478974589052,0.249143209704,0.773608877793,0.670417828565,0.546093785528,0.555798793577,1.0,0.516260162602,0.97385480494,0.897430163754,0.968688845401,1.0,0.650281040034,0.644521717341,1.0,0.548251218948,0.913192284697,0.743273057655,0.5255966367,0.80898919975,0.736300242728,0.974321874421,0.687382734392,0.830807685584,0.904161908968,0.914950232446,0.871791503607,0.637806917976,0.654151283888,0.484718512082,0.971283073013,0.885638380997,0.938284518828,0.927313955314,0.888896103896,0.96587927767,0.620249653259,0.871423884363,0.914700891111,0.820627208481,0.751636375191,0.704275647537,0.73336472339,0.989195678271,0.894415091137,0.66896864807,0.435189429496,0.969669937556,0.70558246645,0.550328495768,0.996515679443,0.542645259939,0.893096996142,0.940514929152,0.586892616807,0.818409558068,0.544618400559,0.926920422613,1.0,0.487108210115,0.637045831082,0.606060109472,0.530589481903,0.456906645304,0.74196617147,0.904563220939,0.753413293471,0.377489081353,0.563841738541,0.628442737025,0.990675990676,0.934318577568,0.677340920125,0.758390963084,1.0,0.642795876551,0.418068216337,0.70312358942,0.801000366742,0.895802687591,0.942652329749,0.311559499631,0.846346985445,0.602882849031,0.934179490257,0.906395757689,0.639165258588,0.948445848388,0.90343489668,0.695833026227,0.898070033849,1.0,0.990675990676,0.587730532217,0.65315645487,0.861233167966,0.948115230889,0.750588618236,0.137600279037,0.783974792882,0.681221950155,0.232528908999,0.837712837078,0.584678518369,0.865136653988,0.635824720651,0.442130281982,0.360389773827,0.413087699712,0.9121457586,0.931182795699,0.696892918903,0.694390715667,0.628814300809,0.658696440018,0.977777777778,0.649762856842
TC,0.5594405594405595,0.155555555556,0.633333333333,0.478947368421,0.0955882352941,0.282608695652,0.190789473684,0.807692307692,0.320610687023,1.0,0.0688405797101,1.0,0.691823899371,0.303921568627,0.5,0.0714285714286,0.443548387097,0.672566371681,0.726923076923,0.390243902439,0.373626373626,0.108,0.186666666667,0.90625,1.0,0.6,0.127516778523,0.0509915014164,0.281690140845,0.153846153846,0.187096774194,0.193333333333,1.0,0.212765957447,0.771428571429,0.76404494382,0.884615384615,1.0,0.117948717949,0.167721518987,1.0,0.0901639344262,0.625,0.115942028986,0.0673575129534,0.51376146789,0.267605633803,0.854166666667,0.354166666667,0.452229299363,0.674107142857,0.683760683761,0.529411764706,0.184713375796,0.174193548387,0.132530120482,0.852941176471,0.707070707071,0.898148148148,0.840206185567,0.803278688525,0.666666666667,0.5,0.518907563025,0.487179487179,0.297619047619,0.561224489796,0.476923076923,0.5,0.972027972028,0.747899159664,0.101063829787,0.0573476702509,0.87012987013,0.51724137931,0.21387283237,0.9375,0.287769784173,0.683991683992,0.342857142857,0.232505643341,0.694444444444,0.303225806452,0.717391304348,1.0,0.0913461538462,0.377049180328,0.206896551724,0.358490566038,0.141666666667,0.210526315789,0.761904761905,0.522058823529,0.27868852459,0.104722792608,0.144144144144,0.986013986014,0.630769230769,0.238095238095,0.117021276596,1.0,0.285714285714,0.145454545455,0.571428571429,0.531914893617,0.792243767313,0.804597701149,0.113537117904,0.585714285714,0.329411764706,0.431818181818,0.704545454545,0.157024793388,0.675675675676,0.746341463415,0.301369863014,0.669172932331,1.0,0.974683544304,0.146478873239,0.209756097561,0.76404494382,0.818181818182,0.277777777778,0.0,0.262295081967,0.337423312883,0.0440251572327,0.741293532338,0.12927756654,0.579710144928,0.120393120393,0.159090909091,0.0695652173913,0.0699088145897,0.336538461538,0.761904761905,0.365591397849,0.393258426966,0.192307692308,0.0844155844156,0.955555555556,0.294117647059
Modeler,0.7599687255668491,0.590717299578,0.848275862069,0.679452054795,0.323008849558,0.54698457223,0.689770821688,0.967418546366,0.746506986028,1.0,0.245313773431,1.0,0.837155963303,0.678528860889,0.935766052437,0.396995708155,0.664772727273,0.914432710533,0.837016574586,0.640776699029,0.581589958159,0.680937213194,0.51290684624,0.998949027851,1.0,0.946625129803,0.490649908032,0.234532374101,0.775446428571,0.682169506627,0.551566080978,0.575249320036,1.0,0.516260162602,0.972403821976,0.905325443787,0.968688845401,1.0,0.655481994182,0.651277649787,1.0,0.547819971871,0.911516298271,0.742897043244,0.532083684358,0.803103263777,0.727952167414,0.973607038123,0.697441402755,0.83666604373,0.902274911887,0.909239307868,0.868378290543,0.635262958759,0.66345907108,0.479859894921,0.970286885246,0.896708860759,0.938284518828,0.927152317881,0.886363636364,0.965989500114,0.626213592233,0.872648855876,0.917291524653,0.825,0.752976190476,0.710227272727,0.758104738155,0.989195678271,0.889855072464,0.670531364478,0.443906131718,0.969669937556,0.722448979592,0.576954959934,0.996515679443,0.548623853211,0.888643880926,0.943424588167,0.566258351893,0.821342925659,0.546511627907,0.928194540032,1.0,0.487322292247,0.646525679758,0.624943971313,0.550387596899,0.455759599332,0.747087218657,0.910623946037,0.754069767442,0.392405063291,0.575287383509,0.641820941575,0.990675990676,0.932976610768,0.680695564516,0.756941500636,1.0,0.649681528662,0.444333652924,0.698113207547,0.805860805861,0.896245059289,0.942652329749,0.3203125,0.847609561753,0.591182364729,0.935358255452,0.906011854361,0.646442076315,0.951139088729,0.905117270789,0.70014858841,0.90263054574,1.0,0.990675990676,0.59747668678,0.625679012346,0.871485943775,0.94730878187,0.742035742036,0.147540983607,0.779968491908,0.702295552367,0.241830065359,0.851398601399,0.590842669264,0.861512791991,0.650080236215,0.455489614243,0.36464935596,0.432534678436,0.913291477689,0.931182795699,0.690690690691,0.694390715667,0.623937514358,0.652096076384,0.977777777778,0.648426812585
Compression,1.0202702702702702,1.05389221557,1.0,0.995145631068,1.0119760479,0.950331125828,1.03703703704,1.0,1.01398601399,1.0,0.972222222222,1.0,1.04938271605,1.00925925926,1.03703703704,0.957983193277,1.07874015748,1.03278688525,1.03202846975,1.15555555556,0.959183673469,0.941176470588,1.05208333333,1.0,1.0,1.0,0.996732026144,0.855855855856,1.01754385965,1.10769230769,1.0,1.07947019868,1.0,1.0,1.0,1.03333333333,1.0,1.0,0.924657534247,1.01912568306,1.0,0.873684210526,1.04605263158,1.01449275362,1.05982905983,0.982142857143,0.946666666667,1.0,1.02105263158,1.03651685393,1.01224489796,1.0,1.0,1.06486486486,0.942105263158,1.0,1.0,1.06060606061,0.995824634656,1.00473933649,1.0,1.0,1.03703703704,1.00614754098,1.0,1.02777777778,1.00961538462,1.0,1.0,1.0,0.992,1.0145631068,1.03703703704,1.0,1.06741573034,1.13023255814,1.0,1.02083333333,0.978557504873,1.15714285714,0.938166311301,1.0,1.0127388535,1.02912621359,1.0,0.940425531915,1.06557377049,1.08708708709,1.07575757576,1.0157480315,1.15204678363,1.0,1.02857142857,1.07058823529,1.12,1.05882352941,1.0,0.984848484848,1.06666666667,0.990291262136,1.0,1.03289473684,1.15873015873,0.987951807229,0.991150442478,1.0027100271,1.0,0.932795698925,1.0,0.907216494845,1.0,1.0,1.12396694215,1.0,1.00465116279,1.04081632653,1.06936416185,1.0,1.0,1.08808290155,0.832535885167,1.03333333333,1.0,1.0,1.08457711443,1.0,1.11176470588,0.985294117647,1.05365853659,1.14440433213,1.0,1.05936073059,1.02264150943,0.928861788618,1.05274725275,1.0775862069,1.0,0.959595959596,1.0,1.0,0.913580246914,1.0,1.0
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
