Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.685982772122,0.603375527426,0.834482758621,0.585062240664,0.164473684211,0.532485875706,0.606406080347,0.849296951135,0.677110530896,1.0,0.12750385208,1.0,0.796875,0.474425624686,0.889225805669,0.307216494845,0.642045454545,0.86089132346,0.830578512397,0.555555555556,0.300395256917,0.523476577206,0.288308740068,0.997372569627,1.0,0.78605406982,0.342743651582,0.190280629706,0.385800350797,0.241840395374,0.400296515938,0.492543672774,1.0,0.582329317269,0.951561878025,0.894736842105,0.90597453477,1.0,0.367816675982,0.320301410407,1.0,0.218417340003,0.87618147448,0.504114124349,0.236819235226,0.785442694188,0.638759689922,0.973607038123,0.654487406882,0.813966480447,0.94501607717,0.66677205185,0.706533380935,0.649886449659,0.568270991368,0.318279569892,0.783315276273,0.902756892231,0.921548117155,0.916608513608,0.664772727273,0.934886908842,0.629807692308,0.864350110454,0.675040331874,0.77397260274,0.742874109264,0.724137931034,0.701923076923,0.985576923077,0.884225759768,0.495798633155,0.313927451858,0.955396966994,0.722448979592,0.473670949861,0.996515679443,0.357068335942,0.903685827117,0.750356530499,0.540570789032,0.852028639618,0.475177304965,0.882190520018,1.0,0.221131639723,0.419939577039,0.337019540477,0.528985507246,0.454844006568,0.496468213925,0.78762541806,0.634478672986,0.0,0.26380468622,0.490731564072,0.97668997669,0.933842450403,0.54921433061,0.606761097362,1.0,0.613333333333,0.234760470453,0.677725118483,0.808411214953,0.908102766798,0.921052631579,0.22339675828,0.538037486218,0.530769230769,0.822382253995,0.860306643952,0.508014172431,0.783393501805,0.838274932615,0.386367133405,0.814189189189,1.0,0.990675990676,0.257734754762,0.364256979154,0.857707509881,0.895035460993,0.553406223717,0.185273159145,0.493785966439,0.639103013315,0.12066286898,0.923986486486,0.452793600776,0.855300056085,0.351348991531,0.343157894737,0.146609592373,0.182510619599,0.823727664327,0.922580645161,0.530902111324,0.608,0.310064296024,0.507821901324,0.977777777778,0.165062560154
1-SPFN,0.678018575851,0.55,0.834482758621,0.577080491132,0.158116654954,0.551169590643,0.616445916115,0.848706176962,0.675542691751,1.0,0.123048327138,1.0,0.795100222717,0.473948735132,0.885670105584,0.330376940133,0.60752688172,0.860949546869,0.821525885559,0.5,0.334801762115,0.525114647963,0.258919469929,0.997372569627,1.0,0.783903763314,0.352700729927,0.224919093851,0.374629739336,0.207325203777,0.404342942718,0.488588334742,1.0,0.589430894309,0.954541633391,0.889534883721,0.905088062622,1.0,0.35731385276,0.312763573093,1.0,0.211675505469,0.880235489106,0.499108218848,0.22397260274,0.785016286645,0.62996941896,0.97503671072,0.641181581234,0.805417357656,0.945624195624,0.697190082645,0.648214870619,0.654843630816,0.541838134431,0.30851697439,0.742299794661,0.889382716049,0.921548117155,0.915969316597,0.668571428571,0.933820173437,0.62380952381,0.864763156323,0.661771351107,0.798586572438,0.741992882562,0.703910614525,0.680652680653,0.984393757503,0.89458272328,0.499041461489,0.305890909091,0.955396966994,0.688715953307,0.471532480562,0.996515679443,0.351025641026,0.917371937639,0.731152253206,0.5770609319,0.85,0.464203233256,0.877144818119,1.0,0.224337384683,0.407624633431,0.330490629606,0.525179856115,0.464765100671,0.479770554493,0.783693843594,0.621590249565,0.0,0.274244833068,0.478190109988,0.97668997669,0.93355830936,0.545102932002,0.612925531915,1.0,0.573566084788,0.221399343952,0.684210526316,0.834740651387,0.907206317868,0.919952210275,0.2341211226,0.48460774578,0.503125,0.810257915271,0.85593220339,0.505880376344,0.776154992548,0.825809877854,0.368506017024,0.796152351341,1.0,0.990675990676,0.262226184412,0.401289282836,0.850980392157,0.895289443814,0.523052464229,0.184397163121,0.49247612617,0.614969656102,0.117144293615,0.925549915398,0.445451293669,0.855300056085,0.345755388619,0.341480446927,0.150459265176,0.16823060825,0.816014066142,0.922580645161,0.52846771112,0.588007736944,0.27566495567,0.513850837139,0.977777777778,0.157051282051
SP-Score,0.682000673987,0.576687763713,0.834482758621,0.581071365898,0.161295169582,0.541827733175,0.611425998231,0.849001564048,0.676326611324,1.0,0.125276089609,1.0,0.795987611359,0.474187179909,0.887447955626,0.318796717489,0.624786168133,0.860920435164,0.826052198978,0.527777777778,0.317598509516,0.524295612585,0.273614104998,0.997372569627,1.0,0.784978916567,0.347722190754,0.207599861778,0.380215045067,0.224582799575,0.402319729328,0.490566003758,1.0,0.585880105789,0.953051755708,0.892135862913,0.905531298696,1.0,0.362565264371,0.31653249175,1.0,0.215046422736,0.878208481793,0.501611171598,0.230395918983,0.785229490416,0.634364554441,0.974321874421,0.647834494058,0.809691919052,0.945320136397,0.681981067247,0.677374125777,0.652365040238,0.555054562899,0.313398272141,0.762807535467,0.89606980414,0.921548117155,0.916288915102,0.666672077922,0.934353541139,0.626808608059,0.864556633389,0.66840584149,0.786279587589,0.742433495913,0.71402427278,0.691287878788,0.98498534029,0.889404241524,0.497420047322,0.309909180475,0.955396966994,0.70558246645,0.472601715212,0.996515679443,0.354046988484,0.910528882378,0.740754391852,0.558815860466,0.851014319809,0.46969026911,0.879667669069,1.0,0.222734512203,0.413782105235,0.333755085041,0.527082681681,0.45980455362,0.488119384209,0.785659630827,0.628034461275,0.0,0.269024759644,0.48446083703,0.97668997669,0.933700379882,0.547158631306,0.609843314638,1.0,0.593449709061,0.228079907203,0.6809678224,0.82157593317,0.907654542333,0.920502420927,0.22875894044,0.511322615999,0.516947115385,0.816320084633,0.858119423671,0.506947274388,0.779774247177,0.832042405235,0.377436575214,0.805170770265,1.0,0.990675990676,0.259980469587,0.382773130995,0.854343951019,0.895162452403,0.538229343973,0.184835161133,0.493131046304,0.627036334709,0.118903581297,0.924768200942,0.449122447222,0.855300056085,0.348552190075,0.342319170832,0.148534428774,0.175370613924,0.819870865235,0.922580645161,0.529684911222,0.598003868472,0.292864625847,0.510836369231,0.977777777778,0.161056921103
TC,0.4965034965034965,0.222222222222,0.616666666667,0.321052631579,0.0441176470588,0.271739130435,0.118421052632,0.384615384615,0.114503816794,1.0,0.0036231884058,1.0,0.672955974843,0.107843137255,0.41,0.0803571428571,0.411290322581,0.469026548673,0.746153846154,0.292682926829,0.0879120879121,0.004,0.0,0.8125,1.0,0.175,0.0805369127517,0.0254957507082,0.0,0.0,0.135483870968,0.1,1.0,0.329787234043,0.7,0.76404494382,0.384615384615,1.0,0.0333333333333,0.0,1.0,0.0,0.434210526316,0.108695652174,0.0,0.394495412844,0.0281690140845,0.854166666667,0.294642857143,0.452229299363,0.803571428571,0.324786324786,0.0,0.152866242038,0.135483870968,0.0,0.235294117647,0.717171717172,0.876543209877,0.835051546392,0.491803278689,0.466666666667,0.486111111111,0.510504201681,0.230769230769,0.190476190476,0.540816326531,0.476923076923,0.46875,0.965034965035,0.739495798319,0.0,0.0,0.844155844156,0.51724137931,0.121387283237,0.9375,0.0791366906475,0.723492723493,0.171428571429,0.200902934537,0.722222222222,0.232258064516,0.586956521739,1.0,0.00961538461538,0.0491803278689,0.0564263322884,0.320754716981,0.141666666667,0.0350877192982,0.595238095238,0.345588235294,0.0,0.0,0.0,0.965034965035,0.623076923077,0.126984126984,0.127659574468,1.0,0.21768707483,0.0753246753247,0.506493506494,0.542553191489,0.808864265928,0.758620689655,0.0960698689956,0.0,0.141176470588,0.204545454545,0.602272727273,0.0826446280992,0.540540540541,0.629268292683,0.0,0.488721804511,1.0,0.974683544304,0.0,0.0,0.76404494382,0.666666666667,0.0277777777778,0.104575163399,0.0737704918033,0.312883435583,0.0,0.870646766169,0.0114068441065,0.63768115942,0.0,0.0227272727273,0.0,0.0,0.173076923077,0.746031746032,0.268817204301,0.23595505618,0.0,0.0909090909091,0.955555555556,0.0
Modeler,0.6859827721221613,0.603375527426,0.834482758621,0.585062240664,0.164473684211,0.532485875706,0.606406080347,0.849296951135,0.677110530896,1.0,0.12750385208,1.0,0.796875,0.474425624686,0.889225805669,0.307216494845,0.642045454545,0.86089132346,0.830578512397,0.555555555556,0.300395256917,0.523476577206,0.288308740068,0.997372569627,1.0,0.78605406982,0.342743651582,0.190280629706,0.385800350797,0.241840395374,0.400296515938,0.492543672774,1.0,0.582329317269,0.951561878025,0.894736842105,0.90597453477,1.0,0.367816675982,0.320301410407,1.0,0.218417340003,0.87618147448,0.504114124349,0.236819235226,0.785442694188,0.638759689922,0.973607038123,0.654487406882,0.813966480447,0.94501607717,0.66677205185,0.706533380935,0.649886449659,0.568270991368,0.318279569892,0.783315276273,0.902756892231,0.921548117155,0.916608513608,0.664772727273,0.934886908842,0.629807692308,0.864350110454,0.675040331874,0.77397260274,0.742874109264,0.724137931034,0.701923076923,0.985576923077,0.884225759768,0.495798633155,0.313927451858,0.955396966994,0.722448979592,0.473670949861,0.996515679443,0.357068335942,0.903685827117,0.750356530499,0.540570789032,0.852028639618,0.475177304965,0.882190520018,1.0,0.221131639723,0.419939577039,0.337019540477,0.528985507246,0.454844006568,0.496468213925,0.78762541806,0.634478672986,0.0,0.26380468622,0.490731564072,0.97668997669,0.933842450403,0.54921433061,0.606761097362,1.0,0.613333333333,0.234760470453,0.677725118483,0.808411214953,0.908102766798,0.921052631579,0.22339675828,0.538037486218,0.530769230769,0.822382253995,0.860306643952,0.508014172431,0.783393501805,0.838274932615,0.386367133405,0.814189189189,1.0,0.990675990676,0.257734754762,0.364256979154,0.857707509881,0.895035460993,0.553406223717,0.185273159145,0.493785966439,0.639103013315,0.12066286898,0.923986486486,0.452793600776,0.855300056085,0.351348991531,0.343157894737,0.146609592373,0.182510619599,0.823727664327,0.922580645161,0.530902111324,0.608,0.310064296024,0.507821901324,0.977777777778,0.165062560154
Compression,1.0202702702702702,1.05389221557,1.0,0.990291262136,0.97005988024,0.96357615894,0.975308641975,1.0,1.00699300699,1.0,0.861111111111,1.0,1.01234567901,1.05555555556,1.10185185185,0.932773109244,1.07874015748,1.00819672131,1.02135231317,1.13333333333,0.877551020408,0.960784313725,1.19791666667,1.0,1.0,1.23214285714,0.980392156863,0.855855855856,1.0701754386,1.35384615385,0.964285714286,1.11258278146,1.0,1.02459016393,1.01408450704,1.01111111111,1.0,1.0,0.906392694064,1.01366120219,1.0,0.785964912281,1.04605263158,1.07246376812,1.11111111111,0.982142857143,1.02666666667,1.0,1.05526315789,1.02247191011,1.02040816327,0.888888888889,1.08333333333,1.03783783784,1.09473684211,1.05681818182,1.22222222222,1.0303030303,0.995824634656,1.00473933649,1.0,1.03636363636,1.02469135802,1.00614754098,1.06,0.916666666667,1.00961538462,1.02898550725,1.11111111111,1.00684931507,0.984,1.0145631068,0.957264957265,1.0,1.06741573034,0.962790697674,1.0,1.04166666667,0.966861598441,1.34285714286,0.948827292111,1.0,1.03821656051,1.02912621359,1.0,0.851063829787,1.09836065574,0.972972972973,1.01515151515,0.992125984252,1.12865497076,1.0,1.03571428571,1.22352941176,0.964,1.03361344538,1.0,1.00378787879,1.01481481481,1.02912621359,1.0,1.11184210526,1.12925170068,0.987951807229,0.938053097345,1.0027100271,1.01136363636,0.879032258065,1.22857142857,1.19587628866,1.0,1.03092783505,0.942148760331,1.01428571429,1.02790697674,1.07482993197,1.04046242775,1.0,1.0,1.17357512953,0.88038277512,1.01111111111,1.0,1.05,1.00497512438,1.05691056911,1.09411764706,1.03431372549,1.0,1.1155234657,1.0,0.995433789954,0.920754716981,0.943089430894,1.0967032967,1.21551724138,1.0,1.08080808081,1.01310043668,0.913043478261,0.969135802469,1.0,1.16129032258
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
