Statistics,AL10051306,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00050155,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL00055594,AL00053335,AL00052150,AL10050412,AL00052086,AL10089447,AL20089447,AL00101215,AL00088995,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050021,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00063492,AL00074653,AL10050021,AL00064294,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00051971,AL00103575,AL10050712,AL10050335,AL00089623,AL00063412,AL00049599,AL00051913,AL00057413,AL10074933,AL00069117,AL00050464,AL00053354,AL00047305,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00055723,AL10050464,AL10069117,AL00100877,AL00053473,AL10050155,AL00050331,AL00052113,AL00052821,AL00057492
1-SPFP,0.5503875968990001,0.647773279352,0.274428274428,0.52772073922,0.798324022346,0.710338934776,1.0,0.937727212339,0.788571428571,0.93679245283,0.852981969487,0.609756097561,0.520161290323,0.581876297672,1.0,0.513899323817,0.224459358688,0.356550619494,0.444928167175,1.0,0.592885375494,0.994186046512,1.0,1.0,0.456753554502,0.928250428816,0.696729243275,0.355358858241,0.656671664168,0.966275659824,0.758596734977,0.84042752672,0.920359666024,0.915768854065,0.611927290837,0.890889830508,0.945166959578,0.744318181818,0.942557556417,0.72380952381,0.829166666667,0.672316384181,0.730952380952,0.992797118848,0.643928452394,0.956289027654,0.718061674009,0.644352545877,0.451122001548,0.568481375358,0.853571428571,0.501718213058,1.0,0.639751552795,0.393631651328,0.423357664234,0.760399334443,0.788584740827,0.967365967366,0.733187019909,0.726081258191,0.35623727724,0.683962264151,0.814252336449,0.694779116466,0.608355978261,0.909718534254,0.610797144557,1.0,1.0,0.416795003422,0.58211856171,0.730612244898,0.231884057971,0.637683892871,0.538062283737,0.541906276765,0.348058425365,0.893242571798,0.936559139785,0.75723412251,0.664340855107,0.988888888889
1-SPFN,0.546153846154,0.654843110505,0.27828531272,0.375730994152,0.788631346578,0.721852387844,1.0,0.937942448477,0.741935483871,0.940213715677,0.837874659401,0.54347826087,0.568281938326,0.57456164014,1.0,0.499270072993,0.243527508091,0.32554788481,0.431952662722,1.0,0.609756097561,0.994186046512,1.0,1.0,0.479159761352,0.93430820759,0.694143167028,0.354726027397,0.669724770642,0.967694566814,0.758992180712,0.825870646766,0.922136422136,0.927272727273,0.612919316623,0.879707112971,0.937587168759,0.748571428571,0.943633044272,0.72380952381,0.826215895611,0.664804469274,0.715617715618,0.992797118848,0.653610495057,0.956289027654,0.634241245136,0.625282167043,0.448461538462,0.592592592593,0.853571428571,0.337182448037,1.0,0.604105571848,0.391766687724,0.41726618705,0.760399334443,0.785838653511,0.967365967366,0.746329787234,0.690773067332,0.337323729329,0.693779904306,0.840772014475,0.687189672294,0.601814516129,0.909718534254,0.6027296742,1.0,1.0,0.413610120564,0.643567015847,0.701960784314,0.22695035461,0.652261985145,0.419420094403,0.528079170144,0.329777897792,0.887895610257,0.936559139785,0.769965609476,0.681126331811,0.988888888889
SP-Score,0.548270721527,0.651308194929,0.276356793574,0.451725866686,0.793477684462,0.71609566131,1.0,0.937834830408,0.765253456221,0.938503084254,0.845428314444,0.576617179215,0.544221614324,0.578218968906,1.0,0.506584698405,0.233993433389,0.341049252152,0.438440414948,1.0,0.601320736528,0.994186046512,1.0,1.0,0.467956657927,0.931279318203,0.695436205151,0.355042442819,0.663198217405,0.966985113319,0.758794457845,0.833149086743,0.92124804408,0.921520790669,0.61242330373,0.88529847174,0.941377064168,0.746444805195,0.943095300344,0.72380952381,0.827691281139,0.668560426727,0.723285048285,0.992797118848,0.648769473726,0.956289027654,0.676151459572,0.63481735646,0.449791770005,0.580536983975,0.853571428571,0.419450330548,1.0,0.621928562321,0.392699169526,0.420311925642,0.760399334443,0.787211697169,0.967365967366,0.739758403572,0.708427162762,0.346780503285,0.688871084229,0.827512175462,0.69098439438,0.605085247195,0.909718534254,0.606763409378,1.0,1.0,0.415202561993,0.612842788779,0.716286514606,0.22941720629,0.644972939008,0.47874118907,0.534992723455,0.338918161579,0.890569091027,0.936559139785,0.763599865993,0.672733593459,0.988888888889
TC,0.15555555555555556,0.478947368421,0.110294117647,0.141304347826,0.335526315789,0.221374045802,1.0,0.48,0.612903225806,0.716814159292,0.742307692308,0.341463414634,0.362637362637,0.056,1.0,0.137583892617,0.0254957507082,0.0153846153846,0.06,1.0,0.393617021277,0.988764044944,1.0,1.0,0.0327868852459,0.585526315789,0.0797101449275,0.0,0.0845070422535,0.833333333333,0.464285714286,0.468152866242,0.745535714286,0.709401709402,0.206451612903,0.817901234568,0.814432989691,0.639344262295,0.488888888889,0.625,0.561224489796,0.492307692308,0.46875,0.979020979021,0.063829787234,0.831168831169,0.448275862069,0.265895953757,0.0287769784173,0.255079006772,0.722222222222,0.058064516129,1.0,0.27868852459,0.0815047021944,0.264150943396,0.595238095238,0.529411764706,0.951048951049,0.13829787234,0.353741496599,0.0805194805195,0.506493506494,0.521276595745,0.328571428571,0.173553719008,0.756097560976,0.198630136986,1.0,1.0,0.0,0.190243902439,0.505617977528,0.143790849673,0.0737704918033,0.00613496932515,0.0342205323194,0.0699088145897,0.230769230769,0.793650793651,0.451612903226,0.11038961039,0.977777777778
Modeler,0.5503875968992248,0.647773279352,0.274428274428,0.52772073922,0.798324022346,0.710338934776,1.0,0.937727212339,0.788571428571,0.93679245283,0.852981969487,0.609756097561,0.520161290323,0.581876297672,1.0,0.513899323817,0.224459358688,0.356550619494,0.444928167175,1.0,0.592885375494,0.994186046512,1.0,1.0,0.456753554502,0.928250428816,0.696729243275,0.355358858241,0.656671664168,0.966275659824,0.758596734977,0.84042752672,0.920359666024,0.915768854065,0.611927290837,0.890889830508,0.945166959578,0.744318181818,0.942557556417,0.72380952381,0.829166666667,0.672316384181,0.730952380952,0.992797118848,0.643928452394,0.956289027654,0.718061674009,0.644352545877,0.451122001548,0.568481375358,0.853571428571,0.501718213058,1.0,0.639751552795,0.393631651328,0.423357664234,0.760399334443,0.788584740827,0.967365967366,0.733187019909,0.726081258191,0.35623727724,0.683962264151,0.814252336449,0.694779116466,0.608355978261,0.909718534254,0.610797144557,1.0,1.0,0.416795003422,0.58211856171,0.730612244898,0.231884057971,0.637683892871,0.538062283737,0.541906276765,0.348058425365,0.893242571798,0.936559139785,0.75723412251,0.664340855107,0.988888888889
Compression,1.0,0.970873786408,0.946107784431,1.32119205298,1.00617283951,0.986013986014,1.0,1.02777777778,1.08661417323,1.0,1.02846975089,1.15555555556,0.87074829932,0.996732026144,1.0,1.2385620915,0.918918918919,1.27692307692,1.03973509934,1.0,0.975409836066,1.0,1.0,1.0,0.821052631579,1.00657894737,1.08695652174,0.991452991453,0.946666666667,1.0,1.01842105263,1.05898876404,1.00408163265,1.0,0.994736842105,1.00835073069,1.01895734597,1.0,0.945454545455,1.0,1.00961538462,1.0,1.0,1.0,0.990291262136,1.0,1.16853932584,1.02790697674,0.979166666667,0.955223880597,0.993421052632,1.45222929936,1.0,1.11475409836,1.01201201201,1.0303030303,1.0,1.02142857143,1.0,0.980582524272,1.08552631579,1.14965986395,0.975903614458,0.929203539823,1.02857142857,1.01652892562,1.00465116279,1.03401360544,1.0,1.0,1.0725388601,0.866028708134,1.05555555556,0.990049751244,1.0081300813,1.48823529412,1.17328519856,1.04395604396,1.12931034483,1.0,0.959595959596,0.938271604938,1.0
Average Pairwise P-Distance,0.8142980189489999,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.721399903542,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.524376417234,0.861152728131,0.850695955925,0.854308558811,0.815129818058,0.804679802956,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.75184822332,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.834185311021,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.815108708814,0.744036970781,0.809847374847,0.801628915955,0.622377622378,0.809989405627,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.807710109027,0.794908485751,0.657215231991,0.832150611068,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.929481607917,0.807125851204,0.812615551788,0.789775128239,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.896103896104,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.690476190476,0.909722222222,0.922222222222,1.0,0.934579439252,1.0,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.888888888889,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.884615384615,0.929824561404,0.90625,0.647887323944,0.962962962963,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.904347826087,0.807692307692,0.923076923077,0.883333333333,0.678321678322,0.949685534591,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.89552238806,0.957746478873,0.737704918033,0.949579831933,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.949275362319,0.967741935484,0.883720930233,0.940298507463,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,6.0,3.0,6.0,9.0,4.0,46.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,10.0,4.0,53.0,7.0,29.0,3.0,4.0,5.0,3.0,24.0,30.0,29.0,18.0,5.0,6.0,7.0,7.0,6.0,9.0,13.0,3.0,6.0,3.0,15.0,3.0,7.0,3.0,6.0,4.0,20.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,11.0,3.0,6.0,6.0,3.0,16.0,4.0,15.0,3.0,5.0,6.0,13.0,5.0,11.0,3.0,4.0,25.0,12.0,3.0,3.0,24.0,5.0,11.0,13.0,51.0,6.0,9.0,12.0,4.0
Reference Length,167.0,206.0,167.0,302.0,162.0,143.0,32.0,108.0,127.0,122.0,281.0,45.0,147.0,306.0,84.0,306.0,555.0,65.0,151.0,20.0,122.0,90.0,41.0,76.0,285.0,152.0,138.0,234.0,75.0,48.0,380.0,356.0,245.0,117.0,190.0,479.0,211.0,75.0,55.0,81.0,104.0,69.0,45.0,146.0,206.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,333.0,66.0,43.0,140.0,145.0,206.0,152.0,441.0,83.0,113.0,70.0,121.0,215.0,147.0,185.0,79.0,386.0,209.0,180.0,201.0,123.0,170.0,277.0,455.0,116.0,64.0,99.0,162.0,46.0
