Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.857695282289,0.592307692308,0.848275862069,0.685906040268,0.223901098901,0.524691358025,0.782135076253,0.802796327212,0.668377530653,1.0,0.241245136187,1.0,0.860310421286,0.726965912926,0.919192285383,0.294117647059,0.6875,0.937870619946,0.866574965612,0.592233009709,0.537190082645,0.573502868996,0.284158415842,1.0,0.922048612313,0.587588028169,0.223771093177,0.754232297954,0.370219526932,0.597138554217,0.507349853003,1.0,0.333333333333,0.976971271714,0.905325443787,0.765166340509,1.0,0.519875864015,0.536186130022,1.0,0.410030221351,0.939658724164,0.740116516027,0.481654575893,0.81112894596,0.652173913043,0.973607038123,0.774681802546,0.823998481109,0.917095115681,0.93239251723,0.720767888307,0.604158493527,0.592353525323,0.458135391924,0.934633812457,0.881518987342,0.88829787234,0.950980392157,0.897727272727,0.93216080402,0.783653846154,0.864304493308,0.903182125931,0.762886597938,0.749404761905,0.808988764045,0.725961538462,0.986794717887,0.889855072464,0.525997672411,0.425189816883,0.960749330955,0.830115830116,0.687138182733,0.996515679443,0.504052287582,0.914818880351,0.560090702948,0.878459687124,0.482993197279,0.91211564938,1.0,0.350156383281,0.786982248521,0.45651467562,0.511450381679,0.390158172232,0.6596024006,0.782608695652,0.770711785298,0.422818791946,0.563845002123,0.607163355274,1.0,0.950330943188,0.784993144709,0.717538166924,1.0,0.671787709497,0.350664623499,0.693396226415,0.740871613663,0.937808489635,0.943847072879,0.255421686747,0.637284701114,0.470588235294,0.929729636288,0.871707731521,0.606221045665,0.922367638311,0.880106100796,0.633943180128,0.901694247439,1.0,1.0,0.433898671276,0.516141141141,0.704,0.950483779169,0.6608,0.0911270983213,0.632091803927,0.603162055336,0.26924916308,0.925423728814,0.495498783455,0.899159663866,0.616757846242,0.361517976032,0.350698856417,0.375090252708,0.906596394775,0.925806451613,0.713066072754,0.777562862669,0.60521818389,0.687282625132,0.944444444444,0.212169312169
1-SPFN,0.8583591331270001,0.592307692308,0.848275862069,0.697135061392,0.229093464512,0.372807017544,0.792494481236,0.802796327212,0.678437047757,1.0,0.253531598513,1.0,0.864142538976,0.72172893282,0.918903573413,0.321507760532,0.650537634409,0.941295820371,0.858310626703,0.530434782609,0.57268722467,0.574291880227,0.29255861366,1.0,0.922399822707,0.584671532847,0.246763754045,0.758812203791,0.355807901585,0.593785099214,0.51056635672,1.0,0.317073170732,0.979866336009,0.889534883721,0.765166340509,1.0,0.454774303413,0.528414285293,1.0,0.415976135234,0.945012257864,0.744058809352,0.472945205479,0.823018458198,0.665137614679,0.97503671072,0.782623805387,0.799705177815,0.918275418275,0.939173553719,0.676383884704,0.587337909992,0.595086669161,0.459499702204,0.934633812457,0.85975308642,0.873430962343,0.9470013947,0.902857142857,0.931309904153,0.77619047619,0.864046353264,0.904202440127,0.78445229682,0.746737841044,0.804469273743,0.703962703963,0.986794717887,0.89897510981,0.526669924445,0.415418181818,0.960749330955,0.836575875486,0.684725357412,0.996515679443,0.494358974359,0.928062360802,0.590203106332,0.869047619048,0.327944572748,0.909402882636,1.0,0.360667740518,0.780058651026,0.443777637397,0.482014388489,0.372483221477,0.672466539197,0.778702163062,0.766686012768,0.368421052632,0.573052464229,0.592804554532,1.0,0.953169949104,0.785776668746,0.7175,1.0,0.599750623441,0.332758445775,0.703349282297,0.758745476478,0.937808489635,0.943847072879,0.234859675037,0.624627606753,0.483333333333,0.928477712944,0.869491525424,0.615591397849,0.924292101341,0.881040892193,0.625476959202,0.889428682472,1.0,1.0,0.426282051282,0.553988718775,0.690196078431,0.947786606129,0.656597774245,0.0898345153664,0.616330664609,0.514497639919,0.283056812469,0.92385786802,0.485632526529,0.900168255749,0.604728236854,0.379189944134,0.358226837061,0.350705461419,0.905656090719,0.925806451613,0.734046618265,0.777562862669,0.619692020532,0.691780821918,0.944444444444,0.183608058608
SP-Score,0.8580272077079999,0.592307692308,0.848275862069,0.69152055083,0.226497281706,0.448749187784,0.787314778744,0.802796327212,0.673407289205,1.0,0.24738836735,1.0,0.862226480131,0.724347422873,0.919047929398,0.307812703795,0.669018817204,0.939583220158,0.862442796158,0.561333896159,0.554938653657,0.573897374611,0.288358514751,1.0,0.92222421751,0.586129780508,0.235267423611,0.756522250873,0.363013714258,0.595461826715,0.508958104862,1.0,0.325203252033,0.978418803862,0.897430163754,0.765166340509,1.0,0.487325083714,0.532300207657,1.0,0.413003178292,0.942335491014,0.742087662689,0.477299890686,0.817073702079,0.658655763861,0.974321874421,0.778652803966,0.811851829462,0.917685266978,0.935783035475,0.698575886505,0.59574820176,0.593720097242,0.458817547064,0.934633812457,0.870636036881,0.880864417342,0.948990893429,0.900292207792,0.931735354087,0.779922161172,0.864175423286,0.903692283029,0.773669447379,0.748071301474,0.806729018894,0.714962121212,0.986794717887,0.894415091137,0.526333798428,0.42030399935,0.960749330955,0.833345852801,0.685931770073,0.996515679443,0.49920563097,0.921440620577,0.57514690464,0.873753653086,0.405468885014,0.910759266008,1.0,0.3554120619,0.783520449774,0.450146156509,0.496732385084,0.381320696854,0.666034469899,0.780655429357,0.768698899033,0.395619922289,0.568448733176,0.599983954903,1.0,0.951750446146,0.785384906728,0.717519083462,1.0,0.635769166469,0.341711534637,0.698372754356,0.74980854507,0.937808489635,0.943847072879,0.245140680892,0.630956153934,0.476960784314,0.929103674616,0.870599628472,0.610906221757,0.923329869826,0.880573496495,0.629710069665,0.895561464955,1.0,1.0,0.430090361279,0.535064929958,0.697098039216,0.949135192649,0.658698887122,0.0904808068439,0.624211234268,0.558829847628,0.276152987774,0.924640798417,0.490565654992,0.899663959807,0.610743041548,0.370353960083,0.354462846739,0.362897857063,0.906126242747,0.925806451613,0.72355634551,0.777562862669,0.612455102211,0.689531723525,0.944444444444,0.197888685389
TC,0.6223776223776224,0.244444444444,0.633333333333,0.484210526316,0.0882352941176,0.166666666667,0.269736842105,0.384615384615,0.167938931298,1.0,0.0760869565217,1.0,0.761006289308,0.294117647059,0.43,0.0267857142857,0.475806451613,0.725663716814,0.761538461538,0.292682926829,0.362637362637,0.052,0.0,1.0,0.225,0.174496644295,0.0254957507082,0.288732394366,0.0,0.206451612903,0.133333333333,1.0,0.148936170213,0.771428571429,0.76404494382,0.384615384615,1.0,0.0102564102564,0.0727848101266,1.0,0.0655737704918,0.539473684211,0.0869565217391,0.0569948186528,0.550458715596,0.0845070422535,0.854166666667,0.4375,0.474522292994,0.736607142857,0.74358974359,0.117647058824,0.0955414012739,0.2,0.120481927711,0.588235294118,0.666666666667,0.824074074074,0.90206185567,0.819672131148,0.466666666667,0.680555555556,0.514705882353,0.461538461538,0.154761904762,0.561224489796,0.661538461538,0.46875,0.972027972028,0.747899159664,0.00531914893617,0.0537634408602,0.844155844156,0.735632183908,0.375722543353,0.9375,0.10071942446,0.752598752599,0.216704288939,0.694444444444,0.058064516129,0.565217391304,1.0,0.0384615384615,0.606557377049,0.163009404389,0.301886792453,0.00833333333333,0.198830409357,0.595238095238,0.5,0.27868852459,0.0657084188912,0.0,1.0,0.669230769231,0.277777777778,0.122340425532,1.0,0.163265306122,0.0727272727273,0.571428571429,0.446808510638,0.869806094183,0.816091954023,0.0960698689956,0.142857142857,0.188235294118,0.431818181818,0.613636363636,0.115702479339,0.675675675676,0.687804878049,0.321917808219,0.639097744361,1.0,1.0,0.0197183098592,0.126829268293,0.511235955056,0.825757575758,0.277777777778,0.0457516339869,0.0983606557377,0.0,0.0377358490566,0.865671641791,0.041825095057,0.652173913043,0.0712530712531,0.0409090909091,0.0934782608696,0.09726443769,0.269230769231,0.746031746032,0.333333333333,0.561797752809,0.0641025641026,0.246753246753,0.888888888889,0.0
Modeler,0.8576952822892498,0.592307692308,0.848275862069,0.685906040268,0.223901098901,0.524691358025,0.782135076253,0.802796327212,0.668377530653,1.0,0.241245136187,1.0,0.860310421286,0.726965912926,0.919192285383,0.294117647059,0.6875,0.937870619946,0.866574965612,0.592233009709,0.537190082645,0.573502868996,0.284158415842,1.0,0.922048612313,0.587588028169,0.223771093177,0.754232297954,0.370219526932,0.597138554217,0.507349853003,1.0,0.333333333333,0.976971271714,0.905325443787,0.765166340509,1.0,0.519875864015,0.536186130022,1.0,0.410030221351,0.939658724164,0.740116516027,0.481654575893,0.81112894596,0.652173913043,0.973607038123,0.774681802546,0.823998481109,0.917095115681,0.93239251723,0.720767888307,0.604158493527,0.592353525323,0.458135391924,0.934633812457,0.881518987342,0.88829787234,0.950980392157,0.897727272727,0.93216080402,0.783653846154,0.864304493308,0.903182125931,0.762886597938,0.749404761905,0.808988764045,0.725961538462,0.986794717887,0.889855072464,0.525997672411,0.425189816883,0.960749330955,0.830115830116,0.687138182733,0.996515679443,0.504052287582,0.914818880351,0.560090702948,0.878459687124,0.482993197279,0.91211564938,1.0,0.350156383281,0.786982248521,0.45651467562,0.511450381679,0.390158172232,0.6596024006,0.782608695652,0.770711785298,0.422818791946,0.563845002123,0.607163355274,1.0,0.950330943188,0.784993144709,0.717538166924,1.0,0.671787709497,0.350664623499,0.693396226415,0.740871613663,0.937808489635,0.943847072879,0.255421686747,0.637284701114,0.470588235294,0.929729636288,0.871707731521,0.606221045665,0.922367638311,0.880106100796,0.633943180128,0.901694247439,1.0,1.0,0.433898671276,0.516141141141,0.704,0.950483779169,0.6608,0.0911270983213,0.632091803927,0.603162055336,0.26924916308,0.925423728814,0.495498783455,0.899159663866,0.616757846242,0.361517976032,0.350698856417,0.375090252708,0.906596394775,0.925806451613,0.713066072754,0.777562862669,0.60521818389,0.687282625132,0.944444444444,0.212169312169
Compression,0.9932432432432432,1.0,1.0,0.961165048544,0.88622754491,1.33443708609,1.00617283951,1.0,1.0,1.0,0.898148148148,1.0,1.0,0.972222222222,1.02777777778,0.90756302521,1.07874015748,1.0,1.02135231317,1.15555555556,0.884353741497,0.93137254902,0.927083333333,1.0,1.07142857143,1.0,0.917117117117,1.0,1.12307692308,0.970238095238,1.0,1.0,0.991803278689,1.0,1.03333333333,1.0,1.0,1.22831050228,1.00819672131,1.0,0.80701754386,1.01973684211,1.02898550725,1.0641025641,0.982142857143,0.946666666667,1.0,0.981578947368,1.08707865169,1.01224489796,1.0,1.13888888889,1.19459459459,1.02631578947,0.988636363636,1.02222222222,1.05050505051,1.01461377871,1.00473933649,1.0,1.0,1.02469135802,1.01229508197,1.0,0.925925925926,1.00961538462,1.0,1.04444444444,1.0,0.992,1.00485436893,1.07977207977,1.0,0.988764044944,0.976744186047,1.0,0.986111111111,0.968810916179,0.957356076759,1.01315789474,1.44585987261,1.04854368932,1.0,0.893617021277,1.01639344262,1.07507507508,1.12121212121,1.14173228346,0.959064327485,1.0,1.00714285714,1.07058823529,1.012,1.15966386555,1.0,0.984848484848,1.00740740741,0.990291262136,1.0,1.17763157895,1.05442176871,0.987951807229,0.929203539823,1.0,1.0,1.00806451613,1.05714285714,0.907216494845,1.0,1.0206185567,0.97520661157,0.985714285714,1.00465116279,1.03401360544,1.08670520231,1.0,1.0,1.18652849741,0.985645933014,1.02777777778,1.00724637681,0.95,0.975124378109,0.967479674797,1.32941176471,0.946078431373,1.00487804878,1.01805054152,1.01123595506,0.954337899543,0.890566037736,1.0325203252,1.13406593407,1.08620689655,1.0,0.939393939394,1.0,0.834782608696,0.987654320988,1.0,1.16129032258
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
