Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.6777493606139999,0.461240310078,0.944827586207,0.628767123288,0.281832298137,0.525280898876,0.675448430493,0.802796327212,0.713180515759,1.0,0.192964824121,1.0,0.837155963303,0.576170510133,0.902799462619,0.299539170507,0.664772727273,0.891093258819,0.841160220994,0.597087378641,0.6,0.658508158508,0.351659751037,0.997898055702,1.0,0.923698165272,0.462264150943,0.211358734723,0.721517074645,0.535574345226,0.500588466065,0.435294117647,1.0,0.516260162602,0.972403821976,0.905325443787,0.765166340509,1.0,0.616813140824,0.63038982921,1.0,0.455867556938,0.933124849651,0.676562114102,0.419027420088,0.804195804196,0.727952167414,0.973607038123,0.679171132547,0.840717891195,0.902595322012,0.925563173359,0.761452031115,0.682982791587,0.577703156481,0.453808282653,0.925724020443,0.869866666667,0.938284518828,0.927152317881,0.886363636364,0.94277245782,0.665071770335,0.874133397083,0.922868129382,0.789473684211,0.749404761905,0.681818181818,0.658536585366,0.989195678271,0.889855072464,0.604223486324,0.255576366423,0.965209634255,0.722448979592,0.537524231515,0.996515679443,0.417648749641,0.888643880926,0.906322837165,0.568775391759,0.87004950495,0.544811320755,0.925168487102,1.0,0.442396982008,0.672025723473,0.434413407821,0.443609022556,0.370994940978,0.749512036435,0.782608695652,0.758560650029,0.383561643836,0.569404463718,0.627225372992,0.990675990676,0.934206896552,0.691797949487,0.749637963685,1.0,0.685828877005,0.415614148892,0.711229946524,0.7412755716,0.896245059289,0.956989247312,0.261705685619,0.654166666667,0.483967935872,0.922784654982,0.848976109215,0.601202749141,0.900149031297,0.883957219251,0.558553216721,0.855566502463,1.0,0.990675990676,0.499079312257,0.575817510549,0.871485943775,0.94730878187,0.655287260616,0.10632183908,0.649228254075,0.651929824561,0.177581120944,0.810763888889,0.534979423868,0.868186874305,0.635640940709,0.407556270096,0.337406793703,0.377294571811,0.87175852498,0.931182795699,0.667318982387,0.779960707269,0.593986998917,0.614381067961,0.977777777778,0.289234760052
1-SPFN,0.615325077399,0.457692307692,0.944827586207,0.62619372442,0.255094869993,0.546783625731,0.665011037528,0.802796327212,0.720405209841,1.0,0.142750929368,1.0,0.812917594655,0.552521360362,0.901108990311,0.288248337029,0.629032258065,0.862707966996,0.82970027248,0.534782608696,0.621145374449,0.624898840032,0.345565749235,0.997898055702,1.0,0.91803676053,0.443503649635,0.23786407767,0.707197867299,0.502677592103,0.477723698989,0.422231614539,1.0,0.516260162602,0.975305787903,0.889534883721,0.765166340509,1.0,0.581998568573,0.606844790469,1.0,0.412993039443,0.937571216464,0.660255483249,0.378904109589,0.811617806732,0.744648318043,0.97503671072,0.660642919201,0.828634604754,0.906370656371,0.937190082645,0.721421552571,0.68115942029,0.536351165981,0.46664681358,0.92984257358,0.805432098765,0.938284518828,0.927475592748,0.891428571429,0.943633044272,0.661904761905,0.873663460964,0.921825576141,0.795053003534,0.746737841044,0.670391061453,0.629370629371,0.989195678271,0.89897510981,0.582941773484,0.218327272727,0.965209634255,0.688715953307,0.486832204665,0.996515679443,0.372564102564,0.897550111359,0.899117487708,0.585424133811,0.836904761905,0.533487297921,0.910775566232,1.0,0.446478254503,0.612903225806,0.409349336702,0.424460431655,0.369127516779,0.748910133843,0.778702163062,0.758560650029,0.327485380117,0.518884851238,0.549858416048,0.990675990676,0.936739322859,0.690330630069,0.715904255319,1.0,0.639650872818,0.368333840587,0.636363636364,0.743063932449,0.895360315893,0.956989247312,0.231166912851,0.623634558093,0.503125,0.909833235507,0.843220338983,0.587869623656,0.900149031297,0.87785448752,0.552979160552,0.843762145356,1.0,0.990675990676,0.47750042452,0.586489390277,0.850980392157,0.948921679909,0.62559618442,0.0874704491726,0.651200926015,0.626432906271,0.151332327803,0.790186125212,0.511505901991,0.875490745934,0.612436784995,0.35405027933,0.325279552716,0.323297103895,0.868692955075,0.931182795699,0.651509361865,0.767891682785,0.511665888941,0.616438356164,0.977777777778,0.204212454212
SP-Score,0.646537219007,0.459466308885,0.944827586207,0.627480423854,0.268463584065,0.536032262304,0.67022973401,0.802796327212,0.7167928628,1.0,0.167857876744,1.0,0.825036778979,0.564345935247,0.901954226465,0.293893753768,0.646902492669,0.876900612908,0.835430246737,0.565934993668,0.610572687225,0.64170349927,0.348612750136,0.997898055702,1.0,0.920867462901,0.452883900289,0.224611406197,0.714357470972,0.519125968664,0.489156082527,0.428762866093,1.0,0.516260162602,0.97385480494,0.897430163754,0.765166340509,1.0,0.599405854699,0.618617309839,1.0,0.43443029819,0.935348033057,0.668408798676,0.398965764838,0.807906805464,0.736300242728,0.974321874421,0.669907025874,0.834676247974,0.904482989191,0.931376628002,0.741436791843,0.682071105938,0.557027161231,0.460227548116,0.927783297011,0.837649382716,0.938284518828,0.927313955314,0.888896103896,0.943202751046,0.66348826612,0.873898429024,0.922346852762,0.792263343872,0.748071301474,0.676104621635,0.643953607368,0.989195678271,0.894415091137,0.593582629904,0.236951819575,0.965209634255,0.70558246645,0.51217821809,0.996515679443,0.395106426102,0.893096996142,0.902720162436,0.577099762785,0.853477133428,0.539149309338,0.917972026667,1.0,0.444437618255,0.64246447464,0.421881372262,0.434034727106,0.370061228878,0.749211085139,0.780655429357,0.758560650029,0.355523511976,0.544144657478,0.58854189452,0.990675990676,0.935473109705,0.691064289778,0.732771109502,1.0,0.662739874912,0.391973994739,0.673796791444,0.742169752025,0.895802687591,0.956989247312,0.246436299235,0.63890061238,0.493546467936,0.916308945245,0.846098224099,0.594536186398,0.900149031297,0.880905853386,0.555766188636,0.849664323909,1.0,0.990675990676,0.488289868389,0.581153450413,0.861233167966,0.948115230889,0.640441722518,0.0968961441265,0.650214590045,0.639181365416,0.164456724373,0.80047500705,0.52324266293,0.871838810119,0.624038862852,0.380803274713,0.33134317321,0.350295837853,0.870225740028,0.931182795699,0.659414172126,0.773926195027,0.552826443929,0.615409712063,0.977777777778,0.246723607132
TC,0.4195804195804196,0.0,0.866666666667,0.405263157895,0.132352941176,0.25,0.157894736842,0.384615384615,0.190839694656,1.0,0.0326086956522,1.0,0.698113207547,0.225490196078,0.47,0.0892857142857,0.443548387097,0.477876106195,0.730769230769,0.341463414634,0.406593406593,0.088,0.04,0.84375,1.0,0.25,0.0939597315436,0.028328611898,0.19014084507,0.0461538461538,0.167741935484,0.00666666666667,1.0,0.212765957447,0.771428571429,0.76404494382,0.384615384615,1.0,0.0897435897436,0.110759493671,1.0,0.0245901639344,0.598684210526,0.0942028985507,0.0259067357513,0.412844036697,0.267605633803,0.854166666667,0.315476190476,0.46178343949,0.678571428571,0.735042735043,0.117647058824,0.133757961783,0.154838709677,0.126506024096,0.529411764706,0.565656565657,0.898148148148,0.840206185567,0.803278688525,0.511111111111,0.541666666667,0.52731092437,0.487179487179,0.178571428571,0.561224489796,0.492307692308,0.46875,0.972027972028,0.747899159664,0.00531914893617,0.0,0.857142857143,0.51724137931,0.132947976879,0.9375,0.136690647482,0.683991683992,0.271428571429,0.349887133183,0.694444444444,0.290322580645,0.652173913043,1.0,0.00961538461538,0.311475409836,0.0689655172414,0.283018867925,0.0833333333333,0.204678362573,0.595238095238,0.522058823529,0.229508196721,0.082135523614,0.0,0.986013986014,0.615384615385,0.261904761905,0.0851063829787,1.0,0.278911564626,0.14025974026,0.480519480519,0.372340425532,0.792243767313,0.83908045977,0.113537117904,0.142857142857,0.164705882353,0.431818181818,0.556818181818,0.107438016529,0.567567567568,0.70243902439,0.184931506849,0.563909774436,1.0,0.974683544304,0.0169014084507,0.165853658537,0.76404494382,0.818181818182,0.277777777778,0.0,0.139344262295,0.269938650307,0.0,0.696517412935,0.0304182509506,0.594202898551,0.0810810810811,0.127272727273,0.0847826086957,0.048632218845,0.307692307692,0.761904761905,0.344086021505,0.550561797753,0.0384615384615,0.0844155844156,0.955555555556,0.0
Modeler,0.6777493606138107,0.461240310078,0.944827586207,0.628767123288,0.281832298137,0.525280898876,0.675448430493,0.802796327212,0.713180515759,1.0,0.192964824121,1.0,0.837155963303,0.576170510133,0.902799462619,0.299539170507,0.664772727273,0.891093258819,0.841160220994,0.597087378641,0.6,0.658508158508,0.351659751037,0.997898055702,1.0,0.923698165272,0.462264150943,0.211358734723,0.721517074645,0.535574345226,0.500588466065,0.435294117647,1.0,0.516260162602,0.972403821976,0.905325443787,0.765166340509,1.0,0.616813140824,0.63038982921,1.0,0.455867556938,0.933124849651,0.676562114102,0.419027420088,0.804195804196,0.727952167414,0.973607038123,0.679171132547,0.840717891195,0.902595322012,0.925563173359,0.761452031115,0.682982791587,0.577703156481,0.453808282653,0.925724020443,0.869866666667,0.938284518828,0.927152317881,0.886363636364,0.94277245782,0.665071770335,0.874133397083,0.922868129382,0.789473684211,0.749404761905,0.681818181818,0.658536585366,0.989195678271,0.889855072464,0.604223486324,0.255576366423,0.965209634255,0.722448979592,0.537524231515,0.996515679443,0.417648749641,0.888643880926,0.906322837165,0.568775391759,0.87004950495,0.544811320755,0.925168487102,1.0,0.442396982008,0.672025723473,0.434413407821,0.443609022556,0.370994940978,0.749512036435,0.782608695652,0.758560650029,0.383561643836,0.569404463718,0.627225372992,0.990675990676,0.934206896552,0.691797949487,0.749637963685,1.0,0.685828877005,0.415614148892,0.711229946524,0.7412755716,0.896245059289,0.956989247312,0.261705685619,0.654166666667,0.483967935872,0.922784654982,0.848976109215,0.601202749141,0.900149031297,0.883957219251,0.558553216721,0.855566502463,1.0,0.990675990676,0.499079312257,0.575817510549,0.871485943775,0.94730878187,0.655287260616,0.10632183908,0.649228254075,0.651929824561,0.177581120944,0.810763888889,0.534979423868,0.868186874305,0.635640940709,0.407556270096,0.337406793703,0.377294571811,0.87175852498,0.931182795699,0.667318982387,0.779960707269,0.593986998917,0.614381067961,0.977777777778,0.289234760052
Compression,1.135135135135135,1.0,1.0,0.990291262136,1.0,0.950331125828,1.04320987654,1.0,0.993006993007,1.0,1.1049382716,1.0,1.04938271605,1.03703703704,1.11111111111,1.08403361345,1.07874015748,1.14754098361,1.03202846975,1.15555555556,0.952380952381,1.06535947712,1.03125,1.0,1.0,1.01785714286,1.01960784314,0.908108108108,0.994152046784,1.43076923077,1.02380952381,1.04635761589,1.0,1.0,1.0,1.03333333333,1.0,1.0,1.02739726027,1.02459016393,1.0,0.957894736842,1.05263157895,1.23913043478,1.11538461538,0.973214285714,0.946666666667,1.0,1.02368421053,1.03651685393,1.01224489796,1.0,1.13888888889,1.11891891892,1.12105263158,0.988636363636,1.0,1.16161616162,0.995824634656,1.00473933649,1.0,0.945454545455,1.01234567901,1.00614754098,1.0,0.981481481481,1.00961538462,1.02898550725,1.04444444444,1.0,0.992,1.06796116505,1.14245014245,1.0,1.06741573034,1.12558139535,1.0,1.11111111111,0.978557504873,1.3,0.957356076759,1.06578947368,1.03184713376,1.04854368932,1.0,0.872340425532,1.16393442623,1.08108108108,1.07575757576,1.02362204724,1.15204678363,1.0,1.02857142857,1.17647058824,1.24,1.18487394958,1.0,0.988636363636,0.992592592593,1.06796116505,1.0,1.11184210526,1.10884353741,1.10843373494,0.991150442478,1.0027100271,1.0,1.09408602151,1.14285714286,0.907216494845,1.02,1.0206185567,1.04132231405,1.0,1.01395348837,1.03401360544,1.06936416185,1.0,1.0,1.16580310881,0.956937799043,1.03333333333,1.0,0.975,1.11940298507,1.0162601626,1.05882352941,1.0931372549,1.04390243902,1.15884476534,1.0,1.03196347032,1.10188679245,0.961382113821,1.18681318681,1.15517241379,1.0,1.0303030303,1.01310043668,1.09565217391,0.938271604938,1.0,1.56451612903
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
