Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.704724409449,0.5,0.889655172414,0.632624113475,0.230989956958,0.473758865248,0.572213069742,0.554353351245,0.729935559461,1.0,0.117384013415,0.935828877005,0.832568807339,0.551036843165,0.847174118388,0.257756563246,0.642045454545,0.848361803416,0.745350500715,0.585858585859,0.523404255319,0.527984200308,0.329388560158,0.696060037523,1.0,0.858527635723,0.276031215162,0.235129461162,0.601269899696,0.378492239468,0.520206022187,0.53853339561,1.0,0.508130081301,0.951409032203,0.905325443787,0.968688845401,1.0,0.492618332854,0.441986625924,1.0,0.340585659551,0.770211676028,0.506053758727,0.345999301188,0.674585635359,0.632132132132,0.973607038123,0.671324960198,0.846474677259,0.931502423263,0.85604285236,0.890563564875,0.644461362771,0.510960044395,0.367682926829,0.648219950652,0.802570694087,0.904811715481,0.893814801573,0.76,0.910800275166,0.649038461538,0.853406289459,0.68626986009,0.768707482993,0.754750593824,0.664772727273,0.923456790123,0.985489721886,0.881057268722,0.487956652415,0.241515719342,0.920179372197,0.697959183673,0.444351697273,0.942148760331,0.316345556246,0.865992970123,0.7714678095,0.466905187835,0.847904191617,0.318944844125,0.829638554217,1.0,0.437078132224,0.533123028391,0.501834746299,0.53488372093,0.418018018018,0.5011500069,0.822335025381,0.623252858958,0.381944444444,0.456987984158,0.480746275255,0.958041958042,0.92407522099,0.44435061645,0.640236240261,1.0,0.582894736842,0.3908470722,0.475,0.655339805825,0.894268774704,0.9486260454,0.226898444648,0.617283950617,0.529968454259,0.634218697467,0.862008733624,0.527011711371,0.792651757188,0.857775318207,0.357070365359,0.789387755102,1.0,0.990675990676,0.345016937065,0.473550127379,0.871485943775,0.931417188389,0.547550432277,0.0956072351421,0.553041110102,0.584491587418,0.162592382035,0.837931034483,0.389845094664,0.802461899179,0.488014544941,0.387535816619,0.283164005806,0.260090934397,0.819051081221,0.925806451613,0.453191489362,0.667961165049,0.489090236686,0.489530090684,0.977777777778,0.416666666667
1-SPFN,0.692724458204,0.484615384615,0.889655172414,0.608458390177,0.226282501757,0.488304093567,0.575055187638,0.53102392877,0.721273516643,1.0,0.0780669144981,0.935828877005,0.80846325167,0.458535768135,0.780098576917,0.239467849224,0.60752688172,0.819559042337,0.709809264305,0.504347826087,0.541850220264,0.425492311842,0.340468909276,0.649300390997,1.0,0.823150546422,0.180729927007,0.271844660194,0.483856635071,0.183560229692,0.491576188693,0.487320371936,1.0,0.508130081301,0.944390735993,0.889534883721,0.968688845401,1.0,0.295639082899,0.294331888289,1.0,0.206247928406,0.726822278236,0.36165341046,0.271301369863,0.662866449511,0.64373088685,0.97503671072,0.659426585578,0.785332596278,0.927606177606,0.845289256198,0.890271863741,0.645690312738,0.459284200025,0.359142346635,0.629363449692,0.770864197531,0.904811715481,0.871687587169,0.76,0.906435417618,0.642857142857,0.847798817275,0.653863533665,0.798586572438,0.753855278766,0.653631284916,0.871794871795,0.978391356543,0.878477306003,0.433296996579,0.168727272727,0.915254237288,0.665369649805,0.400551793328,0.9112523058,0.261025641026,0.877951002227,0.506829099103,0.467741935484,0.842857142857,0.307159353349,0.787691603752,1.0,0.34609752526,0.495601173021,0.417561591914,0.496402877698,0.389261744966,0.416615678776,0.808652246256,0.569355774811,0.321637426901,0.309232341585,0.194473754806,0.958041958042,0.907971896437,0.328259513412,0.542021276596,1.0,0.552369077307,0.278989550573,0.454545454545,0.65138721351,0.893385982231,0.9486260454,0.183161004431,0.546176762661,0.525,0.553602872631,0.836440677966,0.46875,0.739493293592,0.823154540627,0.309803346052,0.751651768364,1.0,0.990675990676,0.205382917303,0.424388933656,0.850980392157,0.928774120318,0.453100158983,0.0874704491726,0.41135333269,0.538772757923,0.143790849673,0.822335025381,0.324072970073,0.767807066741,0.339360239603,0.377793296089,0.194788338658,0.189225680146,0.734432415346,0.925806451613,0.406954528086,0.665377176015,0.308562762483,0.451902587519,0.977777777778,0.32967032967
SP-Score,0.698724433827,0.492307692308,0.889655172414,0.620541251826,0.228636229358,0.481031479408,0.57363412869,0.542688640008,0.725604538052,1.0,0.0977254639567,0.935828877005,0.820516029505,0.50478630565,0.813636347652,0.248612206235,0.624786168133,0.833960422877,0.72757988251,0.545103205973,0.532627237792,0.476738256075,0.334928734717,0.67268021426,1.0,0.840839091072,0.228380571084,0.253487060678,0.542563267384,0.28102623458,0.50589110544,0.512926883773,1.0,0.508130081301,0.947899884098,0.897430163754,0.968688845401,1.0,0.394128707876,0.368159257107,1.0,0.273416793978,0.748516977132,0.433853584593,0.308650335525,0.668726042435,0.637931509491,0.974321874421,0.665375772888,0.815903636769,0.929554300435,0.850666054279,0.890417714308,0.645075837755,0.48512212221,0.363412636732,0.638791700172,0.786717445809,0.904811715481,0.882751194371,0.76,0.908617846392,0.645947802198,0.850602553367,0.670066696877,0.783647027716,0.754302936295,0.659202006094,0.897625830959,0.981940539214,0.879767287363,0.460626824497,0.205121496035,0.917716804743,0.681664416739,0.422451745301,0.926700533065,0.288685598636,0.871971986175,0.639148454302,0.46732356166,0.845380667237,0.313052098737,0.808665078984,1.0,0.391587828742,0.514362100706,0.459698169106,0.515643299314,0.403639881492,0.458882842838,0.815493635818,0.596304316885,0.351790935673,0.383110162872,0.337610015031,0.958041958042,0.916023558714,0.386305064931,0.591128758429,1.0,0.567631907074,0.334918311387,0.464772727273,0.653363509668,0.893827378467,0.9486260454,0.20502972454,0.581730356639,0.527484227129,0.593910785049,0.849224705795,0.497880855686,0.76607252539,0.840464929417,0.333436855705,0.770519761733,1.0,0.990675990676,0.275199927184,0.448969530517,0.861233167966,0.930095654354,0.50032529563,0.0915388421573,0.482197221396,0.56163217267,0.153191615854,0.830133029932,0.356959032369,0.78513448296,0.413687392272,0.382664556354,0.238976172232,0.224658307272,0.776741748284,0.925806451613,0.430073008724,0.666669170532,0.398826499584,0.470716339102,0.977777777778,0.373168498168
TC,0.4615384615384616,0.0444444444444,0.733333333333,0.442105263158,0.0661764705882,0.195652173913,0.138157894737,0.0,0.24427480916,1.0,0.0,0.875,0.691823899371,0.0,0.26,0.0714285714286,0.411290322581,0.353982300885,0.603846153846,0.243902439024,0.307692307692,0.0,0.106666666667,0.125,1.0,0.0,0.0134228187919,0.0538243626062,0.0422535211268,0.0,0.0838709677419,0.14,1.0,0.223404255319,0.535714285714,0.76404494382,0.884615384615,1.0,0.0307692307692,0.0506329113924,1.0,0.0819672131148,0.236842105263,0.036231884058,0.0155440414508,0.311926605505,0.0845070422535,0.854166666667,0.27380952381,0.433121019108,0.767857142857,0.521367521368,0.558823529412,0.254777070064,0.109677419355,0.0120481927711,0.0,0.494949494949,0.845679012346,0.737113402062,0.639344262295,0.377777777778,0.486111111111,0.487394957983,0.230769230769,0.190476190476,0.591836734694,0.476923076923,0.75,0.937062937063,0.72268907563,0.0531914893617,0.0143369175627,0.779220779221,0.48275862069,0.0693641618497,0.53125,0.208633093525,0.623700623701,0.128571428571,0.223476297968,0.701388888889,0.0967741935484,0.478260869565,1.0,0.0961538461538,0.229508196721,0.134796238245,0.339622641509,0.1,0.0233918128655,0.595238095238,0.279411764706,0.262295081967,0.0205338809035,0.0,0.937062937063,0.542307692308,0.047619047619,0.143617021277,1.0,0.122448979592,0.0493506493506,0.298701298701,0.372340425532,0.80055401662,0.827586206897,0.056768558952,0.0857142857143,0.211764705882,0.0,0.568181818182,0.140495867769,0.486486486486,0.629268292683,0.0342465753425,0.345864661654,1.0,0.974683544304,0.0,0.0682926829268,0.76404494382,0.75,0.0,0.00653594771242,0.0409836065574,0.0920245398773,0.0880503144654,0.721393034826,0.0,0.376811594203,0.0515970515971,0.131818181818,0.0760869565217,0.0,0.144230769231,0.746031746032,0.0215053763441,0.38202247191,0.0,0.00649350649351,0.955555555556,0.0980392156863
Modeler,0.7047244094488189,0.5,0.889655172414,0.632624113475,0.230989956958,0.473758865248,0.572213069742,0.554353351245,0.729935559461,1.0,0.117384013415,0.935828877005,0.832568807339,0.551036843165,0.847174118388,0.257756563246,0.642045454545,0.848361803416,0.745350500715,0.585858585859,0.523404255319,0.527984200308,0.329388560158,0.696060037523,1.0,0.858527635723,0.276031215162,0.235129461162,0.601269899696,0.378492239468,0.520206022187,0.53853339561,1.0,0.508130081301,0.951409032203,0.905325443787,0.968688845401,1.0,0.492618332854,0.441986625924,1.0,0.340585659551,0.770211676028,0.506053758727,0.345999301188,0.674585635359,0.632132132132,0.973607038123,0.671324960198,0.846474677259,0.931502423263,0.85604285236,0.890563564875,0.644461362771,0.510960044395,0.367682926829,0.648219950652,0.802570694087,0.904811715481,0.893814801573,0.76,0.910800275166,0.649038461538,0.853406289459,0.68626986009,0.768707482993,0.754750593824,0.664772727273,0.923456790123,0.985489721886,0.881057268722,0.487956652415,0.241515719342,0.920179372197,0.697959183673,0.444351697273,0.942148760331,0.316345556246,0.865992970123,0.7714678095,0.466905187835,0.847904191617,0.318944844125,0.829638554217,1.0,0.437078132224,0.533123028391,0.501834746299,0.53488372093,0.418018018018,0.5011500069,0.822335025381,0.623252858958,0.381944444444,0.456987984158,0.480746275255,0.958041958042,0.92407522099,0.44435061645,0.640236240261,1.0,0.582894736842,0.3908470722,0.475,0.655339805825,0.894268774704,0.9486260454,0.226898444648,0.617283950617,0.529968454259,0.634218697467,0.862008733624,0.527011711371,0.792651757188,0.857775318207,0.357070365359,0.789387755102,1.0,0.990675990676,0.345016937065,0.473550127379,0.871485943775,0.931417188389,0.547550432277,0.0956072351421,0.553041110102,0.584491587418,0.162592382035,0.837931034483,0.389845094664,0.802461899179,0.488014544941,0.387535816619,0.283164005806,0.260090934397,0.819051081221,0.925806451613,0.453191489362,0.667961165049,0.489090236686,0.489530090684,0.977777777778,0.416666666667
Compression,1.0608108108108107,1.02395209581,1.0,1.03883495146,1.05988023952,0.960264900662,0.981481481481,1.34615384615,1.04195804196,1.0,1.66049382716,1.0,1.04938271605,1.51851851852,1.81481481481,1.21848739496,1.07874015748,1.08196721311,1.08540925267,1.26666666667,0.986394557823,1.52287581699,0.916666666667,1.21875,1.0,1.5,1.74183006536,0.893693693694,1.95906432749,3.18461538462,1.14285714286,1.11258278146,1.0,1.0,1.11971830986,1.03333333333,1.0,1.0,2.40182648402,1.85519125683,1.0,1.58596491228,1.23684210526,2.0,1.63675213675,1.07142857143,0.946666666667,1.0,1.06578947368,1.23876404494,1.02857142857,1.05982905983,1.05555555556,0.994594594595,1.24736842105,1.07386363636,1.17777777778,1.09090909091,0.995824634656,1.06161137441,1.0,1.07272727273,1.02469135802,1.02254098361,1.16,0.898148148148,1.00961538462,1.0,1.17777777778,1.02739726027,1.0,1.32038834951,1.69515669516,1.01282051282,1.06741573034,1.12558139535,1.15625,1.38194444444,0.970760233918,2.7,1.00639658849,1.00657894737,1.06369426752,1.15533980583,1.0,1.35319148936,1.2131147541,1.46546546547,1.07575757576,1.14173228346,1.61988304094,1.02325581395,1.25714285714,1.23529411765,1.806,5.48739495798,1.0,1.04166666667,1.85925925926,1.26213592233,1.0,1.09210526316,1.7641723356,1.04819277108,1.00884955752,1.0027100271,1.0,1.28494623656,1.3,1.07216494845,2.74,1.09278350515,1.30578512397,1.15714285714,1.12558139535,1.29931972789,1.1387283237,1.0,1.0,2.34715025907,1.20574162679,1.03333333333,1.0,1.275,1.09950248756,1.82113821138,1.18823529412,1.22058823529,1.02926829268,1.46931407942,1.13483146067,1.7899543379,1.03396226415,1.46951219512,1.6967032967,2.06896551724,1.0,1.35353535354,1.0,1.93913043478,1.24691358025,1.0,1.8064516129
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
