Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.584980237154,0.560311284047,0.793103448276,0.656164383562,0.269465132024,0.671014492754,0.754116355653,0.986853088481,0.755593316341,1.0,0.243745532523,0.957219251337,0.765625,0.645678595544,0.935410013858,0.263265306122,0.642045454545,0.88667301933,0.786795048143,0.839130434783,0.532818532819,0.664159338913,0.400348128808,0.997898055702,1.0,0.852068363856,0.477742338095,0.193418401612,0.702541323819,0.620377454731,0.572390572391,0.459002535926,1.0,0.530769230769,0.953913863565,0.905325443787,0.968688845401,1.0,0.597239588343,0.421754305659,1.0,0.5399302866,0.897336312081,0.551780049348,0.461744527932,0.788285867813,0.723467862481,0.973607038123,0.69130661114,0.843402520385,0.950898587933,0.7659506252,0.856054465878,0.623529411765,0.661911728847,0.447655558832,0.773865944482,0.812853470437,0.903765690377,0.935101186322,0.903409090909,0.962337365898,0.596153846154,0.874275124051,0.903182125931,0.859589041096,0.772023809524,0.584269662921,0.72380952381,0.975990396158,0.875,0.561591150507,0.337951721183,0.97504456328,0.754940711462,0.52289976446,0.993031358885,0.392466276406,0.903054448871,0.927354213233,0.540223463687,0.789221556886,0.561484918794,0.883110906581,1.0,0.481215244812,0.605421686747,0.454036107076,0.507246376812,0.477685950413,0.630818768962,0.844481605351,0.759766763848,0.172839506173,0.473860071828,0.539587359327,0.967365967366,0.940637757917,0.687183383992,0.660250039232,1.0,0.609090909091,0.321293745536,0.7,0.796139927624,0.892292490119,0.941457586619,0.234519104084,0.717564870259,0.60120240481,0.945971531352,0.909398814564,0.673533289387,0.934352517986,0.878385554965,0.646565913512,0.89098408957,1.0,0.990675990676,0.539485568427,0.595576990942,0.871485943775,0.961756373938,0.787081339713,0.193853427896,0.675508973705,0.766463000679,0.166903073286,0.853242320819,0.56629431763,0.85530726257,0.587736440842,0.374509803922,0.315774700599,0.323616335304,0.930092592593,0.925806451613,0.773234200743,0.726213592233,0.602497749775,0.710953957268,1.0,0.655714285714
1-SPFN,0.572755417957,0.553846153846,0.793103448276,0.653478854025,0.279690794097,0.676900584795,0.758278145695,0.986853088481,0.772214182344,1.0,0.253531598513,0.957219251337,0.763919821826,0.64081085609,0.937749160405,0.286031042129,0.60752688172,0.881036115244,0.779291553134,0.839130434783,0.607929515419,0.676449959536,0.468909276249,0.997898055702,1.0,0.859031538707,0.502919708029,0.233009708738,0.714454976303,0.627782437577,0.572819168851,0.459002535926,1.0,0.560975609756,0.956580219411,0.889534883721,0.968688845401,1.0,0.612996372072,0.434751835796,1.0,0.57760192244,0.90148820828,0.565943600868,0.48404109589,0.796416938111,0.74006116208,0.97503671072,0.692267593397,0.83858485351,0.953346203346,0.789752066116,0.864886996397,0.626620900076,0.677017084424,0.452054794521,0.782340862423,0.780740740741,0.903765690377,0.934449093445,0.908571428571,0.96211775445,0.590476190476,0.873543993788,0.904202440127,0.886925795053,0.769276393832,0.581005586592,0.708624708625,0.975990396158,0.88140556369,0.576325978273,0.344145454545,0.975914362177,0.743190661479,0.501128668172,0.993031358885,0.395384615385,0.90868596882,0.925472709673,0.577658303465,0.784523809524,0.558891454965,0.878059940517,1.0,0.519548982281,0.589442815249,0.460728574437,0.503597122302,0.484899328859,0.648030592734,0.840266222962,0.756239117818,0.163742690058,0.473472632296,0.565948314406,0.967365967366,0.943239654791,0.67698066126,0.671382978723,1.0,0.584788029925,0.319468398093,0.66985645933,0.796139927624,0.891411648569,0.941457586619,0.262924667651,0.714001986097,0.625,0.948796740669,0.910169491525,0.686659946237,0.929061102832,0.878385554965,0.63413560317,0.881461329188,1.0,0.990675990676,0.583205977246,0.679962395917,0.850980392157,0.963393870602,0.784578696343,0.193853427896,0.702517603936,0.76129467296,0.177476118653,0.846023688663,0.556098724216,0.85866517106,0.598038493642,0.400139664804,0.33696086262,0.325254843718,0.932701805682,0.925806451613,0.794803209782,0.723404255319,0.624708352776,0.719178082192,1.0,0.630494505495
SP-Score,0.578867827555,0.557078718946,0.793103448276,0.654821618793,0.274577963061,0.673957538774,0.756197250674,0.986853088481,0.763903749343,1.0,0.248638565518,0.957219251337,0.764772410913,0.643244725817,0.936579587131,0.274648174126,0.624786168133,0.883854567287,0.783043300638,0.839130434783,0.570374024119,0.670304649225,0.434628702528,0.997898055702,1.0,0.855549951281,0.490331023062,0.213214055175,0.708498150061,0.624079946154,0.572604870621,0.459002535926,1.0,0.545872420263,0.955247041488,0.897430163754,0.968688845401,1.0,0.605117980208,0.428253070727,1.0,0.55876610452,0.899412260181,0.558861825108,0.472892811911,0.792351402962,0.73176451228,0.974321874421,0.691787102269,0.840993686948,0.95212239564,0.777851345658,0.860470731137,0.62507515592,0.669464406636,0.449855176676,0.778103403453,0.796797105589,0.903765690377,0.934775139884,0.90599025974,0.962227560174,0.593315018315,0.873909558919,0.903692283029,0.873257418074,0.770650101678,0.582637624757,0.716217116217,0.975990396158,0.878202781845,0.56895856439,0.341048587864,0.975479462728,0.749065686471,0.512014216316,0.993031358885,0.393925445895,0.905870208845,0.926413461453,0.558940883576,0.786872683205,0.560188186879,0.880585423549,1.0,0.500382113547,0.597432250998,0.457382340756,0.505421749557,0.481292639636,0.639424680848,0.842373914156,0.758002940833,0.168291098116,0.473666352062,0.552767836866,0.967365967366,0.941938706354,0.682082022626,0.665816508978,1.0,0.596939469508,0.320381071814,0.684928229665,0.796139927624,0.891852069344,0.941457586619,0.248721885868,0.715783428178,0.613101202405,0.94738413601,0.909784153045,0.680096617812,0.931706810409,0.878385554965,0.640350758341,0.886222709379,1.0,0.990675990676,0.561345772836,0.63776969343,0.861233167966,0.96257512227,0.785830018028,0.193853427896,0.68901328882,0.76387883682,0.172189595969,0.849633004741,0.561196520923,0.856986216815,0.592887467242,0.387324734363,0.326367781609,0.324435589511,0.931397199137,0.925806451613,0.784018705263,0.724808923776,0.613603051276,0.71506601973,1.0,0.643104395604
TC,0.2727272727272727,0.177777777778,0.583333333333,0.489473684211,0.161764705882,0.489130434783,0.342105263158,0.923076923077,0.381679389313,1.0,0.0797101449275,0.90625,0.62893081761,0.264705882353,0.52,0.0625,0.411290322581,0.53982300885,0.688461538462,0.682926829268,0.384615384615,0.076,0.146666666667,0.84375,1.0,0.375,0.127516778523,0.0254957507082,0.161971830986,0.107692307692,0.135483870968,0.0533333333333,1.0,0.31914893617,0.721428571429,0.76404494382,0.884615384615,1.0,0.110256410256,0.0854430379747,1.0,0.0901639344262,0.565789473684,0.101449275362,0.0414507772021,0.48623853211,0.267605633803,0.854166666667,0.369047619048,0.509554140127,0.825892857143,0.384615384615,0.470588235294,0.191082802548,0.212903225806,0.10843373494,0.529411764706,0.515151515152,0.848765432099,0.840206185567,0.83606557377,0.666666666667,0.472222222222,0.521008403361,0.461538461538,0.5,0.561224489796,0.338461538462,0.46875,0.958041958042,0.72268907563,0.0531914893617,0.0430107526882,0.896103896104,0.597701149425,0.173410404624,0.90625,0.10071942446,0.704781704782,0.285714285714,0.218961625282,0.638888888889,0.316129032258,0.673913043478,1.0,0.0384615384615,0.327868852459,0.128526645768,0.339622641509,0.133333333333,0.111111111111,0.714285714286,0.536764705882,0.114754098361,0.141683778234,0.045045045045,0.951048951049,0.673076923077,0.206349206349,0.0904255319149,1.0,0.190476190476,0.116883116883,0.571428571429,0.531914893617,0.786703601108,0.804597701149,0.122270742358,0.342857142857,0.352941176471,0.431818181818,0.704545454545,0.280991735537,0.540540540541,0.721951219512,0.219178082192,0.616541353383,1.0,0.974683544304,0.0535211267606,0.19512195122,0.76404494382,0.863636363636,0.388888888889,0.104575163399,0.196721311475,0.484662576687,0.0251572327044,0.776119402985,0.0950570342205,0.666666666667,0.162162162162,0.109090909091,0.095652173913,0.0455927051672,0.336538461538,0.746031746032,0.430107526882,0.47191011236,0.0641025641026,0.266233766234,1.0,0.235294117647
Modeler,0.5849802371541502,0.560311284047,0.793103448276,0.656164383562,0.269465132024,0.671014492754,0.754116355653,0.986853088481,0.755593316341,1.0,0.243745532523,0.957219251337,0.765625,0.645678595544,0.935410013858,0.263265306122,0.642045454545,0.88667301933,0.786795048143,0.839130434783,0.532818532819,0.664159338913,0.400348128808,0.997898055702,1.0,0.852068363856,0.477742338095,0.193418401612,0.702541323819,0.620377454731,0.572390572391,0.459002535926,1.0,0.530769230769,0.953913863565,0.905325443787,0.968688845401,1.0,0.597239588343,0.421754305659,1.0,0.5399302866,0.897336312081,0.551780049348,0.461744527932,0.788285867813,0.723467862481,0.973607038123,0.69130661114,0.843402520385,0.950898587933,0.7659506252,0.856054465878,0.623529411765,0.661911728847,0.447655558832,0.773865944482,0.812853470437,0.903765690377,0.935101186322,0.903409090909,0.962337365898,0.596153846154,0.874275124051,0.903182125931,0.859589041096,0.772023809524,0.584269662921,0.72380952381,0.975990396158,0.875,0.561591150507,0.337951721183,0.97504456328,0.754940711462,0.52289976446,0.993031358885,0.392466276406,0.903054448871,0.927354213233,0.540223463687,0.789221556886,0.561484918794,0.883110906581,1.0,0.481215244812,0.605421686747,0.454036107076,0.507246376812,0.477685950413,0.630818768962,0.844481605351,0.759766763848,0.172839506173,0.473860071828,0.539587359327,0.967365967366,0.940637757917,0.687183383992,0.660250039232,1.0,0.609090909091,0.321293745536,0.7,0.796139927624,0.892292490119,0.941457586619,0.234519104084,0.717564870259,0.60120240481,0.945971531352,0.909398814564,0.673533289387,0.934352517986,0.878385554965,0.646565913512,0.89098408957,1.0,0.990675990676,0.539485568427,0.595576990942,0.871485943775,0.961756373938,0.787081339713,0.193853427896,0.675508973705,0.766463000679,0.166903073286,0.853242320819,0.56629431763,0.85530726257,0.587736440842,0.374509803922,0.315774700599,0.323616335304,0.930092592593,0.925806451613,0.773234200743,0.726213592233,0.602497749775,0.710953957268,1.0,0.655714285714
Compression,1.054054054054054,1.00598802395,1.0,1.0,0.946107784431,0.990066225166,1.01234567901,1.0,0.993006993007,1.0,0.882716049383,1.0,1.01234567901,1.01851851852,1.01851851852,0.966386554622,1.07874015748,1.0737704918,1.01779359431,1.0,0.857142857143,0.960784313725,0.791666666667,1.0,1.0,1.10714285714,1.00326797386,0.85045045045,0.982456140351,1.10769230769,1.09523809524,1.01986754967,1.0,0.94262295082,1.02112676056,1.03333333333,1.0,1.0,0.929223744292,1.00273224044,1.0,0.79649122807,1.09210526316,1.11594202899,0.944444444444,1.0,0.946666666667,1.0,0.984210526316,1.02247191011,1.0,0.965811965812,1.05555555556,1.03783783784,0.963157894737,1.05113636364,1.02222222222,1.09090909091,0.995824634656,1.01421800948,1.0,1.01818181818,1.02469135802,1.0143442623,1.0,0.916666666667,1.00961538462,1.0,1.0,1.0,0.992,0.995145631068,0.957264957265,1.0,1.02247191011,0.962790697674,1.0,1.0625,0.986354775828,1.91428571429,0.944562899787,1.00657894737,1.00636942675,1.04854368932,1.0,0.914893617021,1.04918032787,0.951951951952,1.01515151515,1.0157480315,1.04678362573,1.0,1.02857142857,1.02352941176,1.164,0.941176470588,1.0,1.0,1.05925925926,0.97572815534,1.0,1.07236842105,1.07936507937,1.07228915663,1.00884955752,1.0027100271,1.0,0.849462365591,1.01428571429,0.907216494845,1.0,1.0,1.00826446281,1.0,1.00465116279,1.07482993197,1.08670520231,1.0,1.0,1.05699481865,0.822966507177,1.03333333333,1.0,0.95,0.940298507463,1.0,1.01764705882,0.852941176471,1.01951219512,1.07942238267,0.988764044944,1.00913242009,0.905660377358,0.904471544715,1.00879120879,1.05172413793,1.0,0.969696969697,1.00436681223,0.860869565217,0.987654320988,1.0,1.12903225806
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
