Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.951200619675,0.525490196078,0.889655172414,0.652366863905,0.389830508475,0.732394366197,0.753045404208,0.832301196341,0.732326111745,0.976076555024,0.467497080576,0.978609625668,0.87610619469,0.792417860152,0.924651567944,0.570512820513,0.681818181818,0.942851318293,0.897820163488,0.908695652174,0.463203463203,0.741107305628,0.416666666667,0.920620516613,1.0,0.951224758865,0.595963933018,0.339863713799,0.770671060515,0.541690819102,0.819459859415,0.60251572327,0.97274763564,0.807692307692,0.959021714094,0.93023255814,0.773434912223,1.0,0.735084290252,0.624791575911,1.0,0.602521080709,0.934832856108,0.746757110556,0.56214554151,0.89456697149,0.688721804511,0.966275659824,0.745969125214,0.755289788408,0.904532304725,0.963993453355,0.695561357702,0.807810107198,0.757444089457,0.53823625122,0.939696760855,0.892731829574,0.899371069182,0.963414634146,0.869318181818,0.949323549645,0.789473684211,0.85427495967,0.857368896926,0.847222222222,0.858009708738,0.787709497207,0.664251207729,0.992797118848,0.898550724638,0.760801198053,0.631687242798,0.955357142857,0.868725868726,0.743414387031,0.979020979021,0.559791122715,0.901844532279,0.875611679701,0.677477477477,0.919047619048,0.725768321513,0.92627468994,1.0,0.497057755176,0.658610271903,0.588072122053,0.861313868613,0.590909090909,0.778009350532,0.875,0.871321407963,0.634615384615,0.69797587452,0.603302810752,0.972027972028,0.937796404544,0.827928935271,0.838979462206,1.0,0.799738219895,0.416527079844,0.593220338983,0.888086642599,0.956607495069,0.962918660287,0.554716981132,0.829166666667,0.63370332997,0.909417474051,0.874149659864,0.575762599469,0.888581101878,0.922057264051,0.666516921234,0.908000786318,1.0,1.0,0.613513844646,0.80977896852,0.71186440678,0.939162422184,0.659768211921,0.694444444444,0.706367384333,0.860449285228,0.28870523416,0.924114671164,0.63952491735,0.946986607143,0.741147265692,0.791397849462,0.618486541392,0.598290022889,0.909723461195,0.932258064516,0.767225325885,0.814453125,0.575142531357,0.722873459573,1.0,0.599080694586
1-SPFN,0.950464396285,0.515384615385,0.889655172414,0.601637107776,0.387912860155,0.760233918129,0.75055187638,0.822690595437,0.743560057887,0.971428571429,0.446468401487,0.978609625668,0.881959910913,0.787904171553,0.92328879654,0.592017738359,0.645161290323,0.938387664006,0.897820163488,0.908695652174,0.471365638767,0.741327218775,0.39755351682,0.903577758579,1.0,0.949353851268,0.607883211679,0.322815533981,0.761996445498,0.522549841925,0.829277424186,0.607354184277,0.962684729064,0.768292682927,0.962548863015,0.93023255814,0.761578604044,1.0,0.742540536538,0.613303252824,1.0,0.580253563142,0.93567211077,0.756206314775,0.563493150685,0.902823018458,0.700305810398,0.967694566814,0.755690703736,0.756403169338,0.905405405405,0.973553719008,0.654438257452,0.80472921434,0.739119590971,0.492555092317,0.933264887064,0.87950617284,0.897489539749,0.964086471409,0.874285714286,0.944774075764,0.785714285714,0.854070844036,0.856981473113,0.862190812721,0.838671411625,0.787709497207,0.641025641026,0.992797118848,0.90775988287,0.76386121866,0.625163636364,0.954504906334,0.875486381323,0.736142463005,0.975609756098,0.549743589744,0.914699331849,0.873328995958,0.673835125448,0.919047619048,0.709006928406,0.922672157401,1.0,0.500951823107,0.639296187683,0.580332701621,0.848920863309,0.610738255034,0.792275334608,0.873544093178,0.87637840975,0.578947368421,0.695843742903,0.609585978718,0.972027972028,0.94080548794,0.831441048035,0.843085106383,1.0,0.761845386534,0.378411281323,0.502392344498,0.890229191797,0.957551826259,0.961768219833,0.542836041359,0.79046673287,0.654166666667,0.909056382281,0.871186440678,0.583501344086,0.860506706408,0.923526287839,0.653213971236,0.897590361446,1.0,1.0,0.637735608762,0.81184528606,0.658823529412,0.941827468785,0.633545310016,0.709219858156,0.669335391145,0.852326365475,0.263448969331,0.927241962775,0.622749493263,0.951766685362,0.747606422153,0.77094972067,0.607927316294,0.599945993384,0.906614247896,0.932258064516,0.787160871227,0.806576402321,0.588427438171,0.732115677321,1.0,0.537087912088
SP-Score,0.95083250798,0.520437405732,0.889655172414,0.627001985841,0.388871684315,0.746314142163,0.751798640294,0.827495895889,0.737943084816,0.973752563226,0.456982741032,0.978609625668,0.879033052802,0.790161015852,0.923970182242,0.581265279436,0.66348973607,0.94061949115,0.897820163488,0.908695652174,0.467284550985,0.741217262202,0.407110091743,0.912099137596,1.0,0.950289305066,0.601923572349,0.33133962389,0.766333753006,0.532120330514,0.824368641801,0.604934953774,0.967716182352,0.78799249531,0.960785288555,0.93023255814,0.767506758133,1.0,0.738812413395,0.619047414368,1.0,0.591387321926,0.935252483439,0.751481712665,0.562819346098,0.898694994974,0.694513807454,0.966985113319,0.750829914475,0.755846478873,0.904968855065,0.968773586182,0.674999807577,0.806269660769,0.748281840214,0.515395671769,0.936480823959,0.886119001207,0.898430304466,0.963750552777,0.871801948052,0.947048812705,0.787593984962,0.854172901853,0.85717518502,0.854706517472,0.848340560182,0.787709497207,0.652638424378,0.992797118848,0.903155303754,0.762331208356,0.628425439581,0.954931024595,0.872106125024,0.739778425018,0.977315367559,0.554767356229,0.908271932064,0.87447033783,0.675656301463,0.919047619048,0.71738762496,0.924473423671,1.0,0.499004789142,0.648953229793,0.584202411837,0.855117365961,0.600823672971,0.78514234257,0.874272046589,0.873849908857,0.606781376518,0.696909808711,0.606444394735,0.972027972028,0.939300946242,0.829684991653,0.841032284295,1.0,0.780791803214,0.397469180583,0.54780634174,0.889157917198,0.957079660664,0.96234344006,0.548776511246,0.809816699768,0.643934998318,0.909236928166,0.872668050271,0.579631971778,0.874543904143,0.922791775945,0.659865446235,0.902795573882,1.0,1.0,0.625624726704,0.81081212729,0.685343968096,0.940494945485,0.646656760968,0.7018321513,0.687851387739,0.856387825352,0.276077101746,0.925678316969,0.631137205307,0.949376646252,0.744376843923,0.781173785066,0.613206928843,0.599118008137,0.908168854546,0.932258064516,0.777193098556,0.810514763661,0.581784984764,0.727494568447,1.0,0.568084303337
TC,0.8321678321678322,0.111111111111,0.833333333333,0.421052631579,0.0735294117647,0.54347826087,0.342105263158,0.384615384615,0.236641221374,0.7,0.134057971014,0.9375,0.786163522013,0.5,0.39,0.303571428571,0.467741935484,0.619469026549,0.826923076923,0.829268292683,0.21978021978,0.072,0.106666666667,0.0,1.0,0.375,0.174496644295,0.101983002833,0.295774647887,0.0,0.432258064516,0.293333333333,0.7,0.63829787234,0.721428571429,0.842696629213,0.384615384615,1.0,0.164102564103,0.0854430379747,1.0,0.102459016393,0.611842105263,0.173913043478,0.0984455958549,0.678899082569,0.154929577465,0.833333333333,0.464285714286,0.433121019108,0.691964285714,0.837606837607,0.117647058824,0.356687898089,0.329032258065,0.138554216867,0.5,0.707070707071,0.833333333333,0.886597938144,0.786885245902,0.688888888889,0.666666666667,0.483193277311,0.230769230769,0.416666666667,0.448979591837,0.646153846154,0.25,0.979020979021,0.781512605042,0.191489361702,0.186379928315,0.844155844156,0.793103448276,0.35838150289,0.75,0.201438848921,0.698544698545,0.2,0.458239277652,0.847222222222,0.509677419355,0.597826086957,1.0,0.0817307692308,0.262295081967,0.144200626959,0.698113207547,0.266666666667,0.140350877193,0.619047619048,0.617647058824,0.459016393443,0.127310061602,0.0,0.958041958042,0.65,0.420634920635,0.271276595745,1.0,0.510204081633,0.12987012987,0.363636363636,0.670212765957,0.919667590028,0.885057471264,0.275109170306,0.671428571429,0.305882352941,0.431818181818,0.636363636364,0.140495867769,0.405405405405,0.775609756098,0.267123287671,0.639097744361,1.0,1.0,0.121126760563,0.380487804878,0.466292134831,0.80303030303,0.25,0.562091503268,0.196721311475,0.717791411043,0.0566037735849,0.870646766169,0.144486692015,0.768115942029,0.127764127764,0.490909090909,0.260869565217,0.19452887538,0.288461538462,0.793650793651,0.387096774194,0.662921348315,0.0,0.116883116883,1.0,0.0
Modeler,0.9512006196746708,0.525490196078,0.889655172414,0.652366863905,0.389830508475,0.732394366197,0.753045404208,0.832301196341,0.732326111745,0.976076555024,0.467497080576,0.978609625668,0.87610619469,0.792417860152,0.924651567944,0.570512820513,0.681818181818,0.942851318293,0.897820163488,0.908695652174,0.463203463203,0.741107305628,0.416666666667,0.920620516613,1.0,0.951224758865,0.595963933018,0.339863713799,0.770671060515,0.541690819102,0.819459859415,0.60251572327,0.97274763564,0.807692307692,0.959021714094,0.93023255814,0.773434912223,1.0,0.735084290252,0.624791575911,1.0,0.602521080709,0.934832856108,0.746757110556,0.56214554151,0.89456697149,0.688721804511,0.966275659824,0.745969125214,0.755289788408,0.904532304725,0.963993453355,0.695561357702,0.807810107198,0.757444089457,0.53823625122,0.939696760855,0.892731829574,0.899371069182,0.963414634146,0.869318181818,0.949323549645,0.789473684211,0.85427495967,0.857368896926,0.847222222222,0.858009708738,0.787709497207,0.664251207729,0.992797118848,0.898550724638,0.760801198053,0.631687242798,0.955357142857,0.868725868726,0.743414387031,0.979020979021,0.559791122715,0.901844532279,0.875611679701,0.677477477477,0.919047619048,0.725768321513,0.92627468994,1.0,0.497057755176,0.658610271903,0.588072122053,0.861313868613,0.590909090909,0.778009350532,0.875,0.871321407963,0.634615384615,0.69797587452,0.603302810752,0.972027972028,0.937796404544,0.827928935271,0.838979462206,1.0,0.799738219895,0.416527079844,0.593220338983,0.888086642599,0.956607495069,0.962918660287,0.554716981132,0.829166666667,0.63370332997,0.909417474051,0.874149659864,0.575762599469,0.888581101878,0.922057264051,0.666516921234,0.908000786318,1.0,1.0,0.613513844646,0.80977896852,0.71186440678,0.939162422184,0.659768211921,0.694444444444,0.706367384333,0.860449285228,0.28870523416,0.924114671164,0.63952491735,0.946986607143,0.741147265692,0.791397849462,0.618486541392,0.598290022889,0.909723461195,0.932258064516,0.767225325885,0.814453125,0.575142531357,0.722873459573,1.0,0.599080694586
Compression,1.0,1.00598802395,1.0,1.05825242718,0.976047904192,0.960264900662,1.01234567901,1.03846153846,1.0,1.05,1.06790123457,1.0,1.0,1.02777777778,1.00925925926,0.991596638655,1.07874015748,1.06557377049,1.0,1.0,0.959183673469,0.970588235294,0.958333333333,1.53125,1.0,1.0,1.00326797386,1.13153153153,1.06432748538,1.58461538462,1.0,1.0,1.15,1.04918032787,1.02816901408,1.0,1.03846153846,1.0,1.00456621005,1.11202185792,1.0,1.13333333333,1.05263157895,1.0,1.22222222222,0.991071428571,0.96,1.0,0.963157894737,1.02808988764,1.03673469388,1.0,1.16666666667,1.11891891892,1.13684210526,1.27840909091,1.04444444444,1.0303030303,0.997912317328,0.995260663507,1.0,0.981818181818,1.01234567901,1.01639344262,1.0,0.953703703704,1.18269230769,1.0,1.06666666667,1.0,0.992,1.0145631068,1.02849002849,1.0,0.988764044944,1.03255813953,1.03125,1.0625,0.968810916179,1.08571428571,0.995735607676,1.0,1.03184713376,1.0,1.0,0.948936170213,1.06557377049,1.09009009009,1.0303030303,0.984251968504,0.994152046784,1.0,0.992857142857,1.11764705882,1.174,1.17647058824,1.0,0.984848484848,0.992592592593,0.990291262136,1.0,1.07236842105,1.26530612245,1.22891566265,1.0,1.0,1.01136363636,1.05913978495,1.14285714286,0.969072164948,1.08,1.0206185567,0.98347107438,1.15714285714,1.0,1.04761904762,1.07514450867,1.0,1.0,1.11658031088,1.02392344498,1.10555555556,1.0,1.0,0.980099502488,1.17073170732,1.02352941176,1.1862745098,1.0,1.16967509025,1.0,0.981735159817,1.01509433962,1.09756097561,1.01318681319,1.04310344828,1.0,0.989898989899,1.00436681223,1.06956521739,1.0,1.0,1.35483870968
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
