Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL00055594,AL10051350,AL00053335,AL00052150,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.93287037037,0.953488372093,0.875862068966,0.871232876712,0.483477011494,0.405857740586,0.919847328244,0.986773407588,0.820675714698,1.0,0.568670309654,1.0,0.897777777778,0.903614457831,0.935845265648,0.522352941176,0.813559322034,0.937939902545,0.818930041152,0.360215053763,0.217573221757,0.812978966248,0.735294117647,1.0,0.850873214672,0.68618705036,0.609523809524,0.797766254487,0.803181650018,0.707109408259,1.0,0.706666666667,0.976314122863,0.844444444444,0.983992159425,1.0,0.682177279191,0.830140158807,1.0,0.955372901886,0.885563209469,0.7654619584,0.858899297424,0.812874251497,0.898529411765,0.890372940156,0.915448658649,0.29542566709,0.972504091653,0.795914804469,0.876237623762,0.849692866993,0.51572327044,0.801518812565,0.876455696203,0.937238493724,0.981442577031,0.76404494382,0.952084773094,0.875598086124,0.915822186191,0.914449541284,0.947368421053,0.765104808878,0.944134078212,0.920289855072,0.995192307692,0.973568281938,0.6629285743,0.801473839352,0.979464285714,0.92277992278,0.821554770318,0.982578397213,0.649337145828,0.950345134714,0.424403183024,0.877380952381,0.55198019802,0.935088935089,1.0,0.789635936583,0.857142857143,0.753934191702,0.333333333333,0.641509433962,0.842334594657,0.940099833611,0.868574766355,0.835365853659,0.716098325647,0.97668997669,0.960774564239,0.920236151237,0.885708204746,1.0,0.889027431421,0.704698720519,0.638613861386,0.885224274406,0.380392156863,0.884523809524,0.612703330751,0.855864811133,0.904210526316,0.929241157331,0.90369733448,0.828096118299,0.958772193801,0.952709883103,0.669287833828,0.901643305945,1.0,0.990675990676,0.748852281934,0.83996783273,0.941176470588,0.959544159544,0.618167821401,0.681818181818,0.4990100198,0.766086956522,0.540992167102,0.92385786802,0.703870725291,0.945321307779,0.646609562704,0.8011404134,0.692400120156,0.683010340341,0.920271173494,0.865688487585,0.648073836276,0.902912621359,0.517156460351,0.697674418605,0.950757575758,0.85875984252
1-SPFN,0.9357585139319999,0.946153846154,0.875862068966,0.867667121419,0.472944483486,0.283625730994,0.931015452539,0.98601836394,0.822575976845,1.0,0.58029739777,1.0,0.899777282851,0.892109231027,0.889040566334,0.492239467849,0.774193548387,0.937305559313,0.813351498638,0.291304347826,0.229074889868,0.807013757756,0.713557594292,1.0,0.844550327576,0.696204379562,0.621359223301,0.688216444072,0.812804193186,0.70202874049,1.0,0.646341463415,0.971964188138,0.81007751938,0.982387475538,1.0,0.639329697179,0.813957946268,1.0,0.953195676945,0.879971077368,0.758698630137,0.796416938111,0.830275229358,0.897209985316,0.891920069505,0.911737608255,0.299227799228,0.982148760331,0.746642646577,0.877574370709,0.845242548946,0.463966646814,0.794661190965,0.854814814815,0.937238493724,0.977336122734,0.777142857143,0.943176631675,0.871428571429,0.809748521594,0.900813375508,0.95406360424,0.73606168446,0.944134078212,0.888111888112,0.99399759904,0.970717423133,0.619967672819,0.790981818182,0.978590544157,0.929961089494,0.81640331076,0.982578397213,0.640512820513,0.950556792873,0.382317801673,0.877380952381,0.515011547344,0.926103866392,1.0,0.787670229902,0.844574780059,0.721309749421,0.323741007194,0.627516778523,0.84275334608,0.940099833611,0.863029599536,0.801169590643,0.715886895299,0.97668997669,0.9620767869,0.914036182158,0.885425531915,1.0,0.889027431421,0.653748605052,0.617224880383,0.809408926417,0.383020730503,0.887694145759,0.584194977843,0.85501489573,0.894791666667,0.917049338812,0.890677966102,0.827956989247,0.949627421759,0.952203929899,0.662019371881,0.725029148853,1.0,0.990675990676,0.765176600442,0.841659951652,0.941176470588,0.955732122588,0.638314785374,0.673758865248,0.401128581075,0.594066082266,0.520864756159,0.92385786802,0.669965422678,0.940549635446,0.59859085776,0.784916201117,0.690395367412,0.673327482617,0.856829586313,0.824731182796,0.617118838365,0.899419729207,0.367475501633,0.694063926941,0.92962962963,0.798992673993
SP-Score,0.934314442151,0.949821109123,0.875862068966,0.869449999066,0.47821074749,0.34474173579,0.925431390391,0.986395885764,0.821625845772,1.0,0.574483853712,1.0,0.898777530314,0.897861844429,0.912442915991,0.507296204513,0.79387643521,0.937622730929,0.816140769895,0.325759700795,0.223324055813,0.809996362002,0.724425855969,1.0,0.847711771124,0.691195714961,0.615441516412,0.74299134928,0.807992921602,0.704569074375,1.0,0.676504065041,0.9741391555,0.827260981912,0.983189817482,1.0,0.660753488185,0.822049052537,1.0,0.954284289415,0.882767143419,0.762080294268,0.827658117767,0.821574740427,0.89786969854,0.89114650483,0.913593133452,0.297326733159,0.977326425992,0.771278725523,0.876905997236,0.847467707969,0.489844958627,0.798090001765,0.865635255509,0.937238493724,0.979389349882,0.770593900482,0.947630702384,0.873513328776,0.862785353892,0.907631458396,0.950716012646,0.750583246669,0.944134078212,0.904200871592,0.994594953366,0.972142852536,0.641448123559,0.796227828767,0.979027414936,0.926370506137,0.818979040539,0.982578397213,0.64492498317,0.950450963793,0.403360492348,0.877380952381,0.533495872682,0.930596400741,1.0,0.788653083242,0.850858818601,0.737621970562,0.328537170264,0.634513106243,0.842543970368,0.940099833611,0.865802182945,0.818267722151,0.715992610473,0.97668997669,0.961425675569,0.917136166698,0.885566868331,1.0,0.889027431421,0.679223662786,0.627919370884,0.847316600412,0.381706443683,0.886108977641,0.598449154297,0.855439853432,0.899501096491,0.923145248071,0.897187650291,0.828026553773,0.95419980778,0.952456906501,0.665653602855,0.813336227399,1.0,0.990675990676,0.757014441188,0.840813892191,0.941176470588,0.957638141066,0.628241303387,0.677788523533,0.450069300437,0.680076519394,0.53092846163,0.92385786802,0.686918073985,0.942935471612,0.622600210232,0.793028307259,0.691397743784,0.678168911479,0.888550379903,0.84520983519,0.63259633732,0.901166175283,0.442315980992,0.695869172773,0.940193602694,0.828876258256
TC,0.7132867132867133,0.866666666667,0.816666666667,0.768421052632,0.139705882353,0.177536231884,0.690789473684,0.884615384615,0.526717557252,1.0,0.402173913043,1.0,0.823899371069,0.588235294118,0.37,0.0714285714286,0.661290322581,0.628318584071,0.738461538462,0.0,0.0,0.22,0.386666666667,1.0,0.225,0.238255033557,0.467422096317,0.0615384615385,0.529032258065,0.426666666667,1.0,0.468085106383,0.742857142857,0.640449438202,0.884615384615,1.0,0.107692307692,0.344936708861,1.0,0.644736842105,0.326086956522,0.300518134715,0.559633027523,0.507042253521,0.645833333333,0.642857142857,0.716560509554,0.147321428571,0.854700854701,0.294117647059,0.573248407643,0.496774193548,0.0481927710843,0.588235294118,0.666666666667,0.901234567901,0.932989690722,0.639344262295,0.666666666667,0.805555555556,0.535714285714,0.487179487179,0.821428571429,0.214285714286,0.876923076923,0.625,0.979020979021,0.90756302521,0.101063829787,0.433691756272,0.883116883117,0.873563218391,0.491329479769,0.8125,0.280575539568,0.848232848233,0.155756207675,0.729166666667,0.245161290323,0.673913043478,1.0,0.288461538462,0.655737704918,0.363636363636,0.0188679245283,0.258333333333,0.315789473684,0.857142857143,0.588235294118,0.688524590164,0.201232032854,0.965034965035,0.792307692308,0.587301587302,0.531914893617,1.0,0.727891156463,0.264935064935,0.428571428571,0.585106382979,0.204986149584,0.701149425287,0.257641921397,0.757142857143,0.682352941176,0.409090909091,0.670454545455,0.347107438017,0.702702702703,0.853658536585,0.294520547945,0.428571428571,1.0,0.974683544304,0.152112676056,0.439024390244,0.88202247191,0.80303030303,0.0555555555556,0.522875816993,0.0737704918033,0.263803680982,0.301886792453,0.865671641791,0.273764258555,0.797101449275,0.0884520884521,0.504545454545,0.330434782609,0.285714285714,0.288461538462,0.587301587302,0.010752688172,0.797752808989,0.0,0.201298701299,0.888888888889,0.176470588235
Modeler,0.9328703703703703,0.953488372093,0.875862068966,0.871232876712,0.483477011494,0.405857740586,0.919847328244,0.986773407588,0.820675714698,1.0,0.568670309654,1.0,0.897777777778,0.903614457831,0.935845265648,0.522352941176,0.813559322034,0.937939902545,0.818930041152,0.360215053763,0.217573221757,0.812978966248,0.735294117647,1.0,0.850873214672,0.68618705036,0.609523809524,0.797766254487,0.803181650018,0.707109408259,1.0,0.706666666667,0.976314122863,0.844444444444,0.983992159425,1.0,0.682177279191,0.830140158807,1.0,0.955372901886,0.885563209469,0.7654619584,0.858899297424,0.812874251497,0.898529411765,0.890372940156,0.915448658649,0.29542566709,0.972504091653,0.795914804469,0.876237623762,0.849692866993,0.51572327044,0.801518812565,0.876455696203,0.937238493724,0.981442577031,0.76404494382,0.952084773094,0.875598086124,0.915822186191,0.914449541284,0.947368421053,0.765104808878,0.944134078212,0.920289855072,0.995192307692,0.973568281938,0.6629285743,0.801473839352,0.979464285714,0.92277992278,0.821554770318,0.982578397213,0.649337145828,0.950345134714,0.424403183024,0.877380952381,0.55198019802,0.935088935089,1.0,0.789635936583,0.857142857143,0.753934191702,0.333333333333,0.641509433962,0.842334594657,0.940099833611,0.868574766355,0.835365853659,0.716098325647,0.97668997669,0.960774564239,0.920236151237,0.885708204746,1.0,0.889027431421,0.704698720519,0.638613861386,0.885224274406,0.380392156863,0.884523809524,0.612703330751,0.855864811133,0.904210526316,0.929241157331,0.90369733448,0.828096118299,0.958772193801,0.952709883103,0.669287833828,0.901643305945,1.0,0.990675990676,0.748852281934,0.83996783273,0.941176470588,0.959544159544,0.618167821401,0.681818181818,0.4990100198,0.766086956522,0.540992167102,0.92385786802,0.703870725291,0.945321307779,0.646609562704,0.8011404134,0.692400120156,0.683010340341,0.920271173494,0.865688487585,0.648073836276,0.902912621359,0.517156460351,0.697674418605,0.950757575758,0.85875984252
Compression,0.9932432432432432,1.0119760479,1.0,1.00485436893,1.04191616766,1.34768211921,1.0,1.0,1.02097902098,1.0,1.01234567901,1.0,1.01234567901,1.01851851852,1.42592592593,1.15966386555,1.07086614173,1.04098360656,1.01779359431,1.46666666667,0.925170068027,1.08169934641,1.0625,1.0,1.17857142857,1.06209150327,0.996396396396,1.63076923077,1.0,1.02649006623,1.0,1.11475409836,1.01408450704,1.07777777778,1.0,1.0,1.18949771689,1.14480874317,1.0,1.0,1.10869565217,1.14957264957,1.22321428571,0.946666666667,1.0,1.01315789474,1.01685393258,0.959183673469,1.0,1.22222222222,1.03783783784,1.01052631579,1.28409090909,1.04444444444,1.06060606061,0.997912317328,1.00473933649,0.986666666667,1.10909090909,1.0,1.69057377049,1.0,0.981481481481,1.17307692308,1.0,1.06666666667,1.00684931507,1.016,1.36893203883,1.05982905983,1.0,0.988764044944,1.00930232558,1.0,1.00694444444,0.998050682261,1.13859275053,0.993421052632,1.09554140127,1.06796116505,1.0,1.08936170213,1.04918032787,1.05705705706,1.01515151515,1.07874015748,1.06432748538,1.0,1.03571428571,1.03529411765,1.234,1.0,0.992424242424,1.04444444444,1.00970873786,1.0,1.0,1.2358276644,1.04819277108,1.10619469027,0.991869918699,1.0,1.00268817204,1.0,1.0,1.02,1.0824742268,1.00826446281,1.05714285714,1.0,1.0612244898,1.31213872832,1.0,1.0,1.11658031088,1.02870813397,1.0,1.01449275362,1.1,1.02487562189,1.68292682927,1.51176470588,1.03431372549,1.0,1.35018050542,1.01123595506,1.38356164384,1.02264150943,1.12601626016,1.05714285714,1.47413793103,1.140625,1.20202020202,1.0,1.6,1.13580246914,1.04347826087,1.3064516129
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,0.690476190476,1.0,0.909722222222,0.922222222222,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,7.0,95.0,10.0,4.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,84.0,56.0,306.0,555.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
