File Name, Data Type, RAxML Model, Baliphy Model
SF001.faa,Amino-Acids,LG,LG
SF003.faa,Amino-Acids,BLOSUM62,LG
SF004.faa,Amino-Acids,BLOSUM62F,WAG
SF005.faa,Amino-Acids,LG,LG
SF007.faa,Amino-Acids,BLOSUM62,LG
SF008.faa,Amino-Acids,LG,LG
SF009.faa,Amino-Acids,LGF,LG
SF011.faa,Amino-Acids,BLOSUM62F,WAG
SF012.faa,Amino-Acids,LGF,WAG
SF013.faa,Amino-Acids,WAG,WAG
SF015.faa,Amino-Acids,LG,LG
SF016.faa,Amino-Acids,WAG,WAG
SF017.faa,Amino-Acids,LGF,LG
SF018.faa,Amino-Acids,RTREVF,LG
SF019.faa,Amino-Acids,LG,LG
SF021.faa,Amino-Acids,BLOSUM62,LG
SF022.faa,Amino-Acids,RTREVF,LG
SF024.faa,Amino-Acids,BLOSUM62F,LG
SF025.faa,Amino-Acids,BLOSUM62,WAG
SF026.faa,Amino-Acids,LG,LG
SF027.faa,Amino-Acids,LG,LG
SF028.faa,Amino-Acids,BLOSUM62,LG
SF031.faa,Amino-Acids,LG,LG
SF032.faa,Amino-Acids,LGF,LG
SF034.faa,Amino-Acids,BLOSUM62F,WAG
SF038.faa,Amino-Acids,LG,LG
SF039.faa,Amino-Acids,LGF,LG
SF041.faa,Amino-Acids,WAGF,WAG
SF042.faa,Amino-Acids,BLOSUM62,LG
SF043.faa,Amino-Acids,BLOSUM62F,LG
SF045.faa,Amino-Acids,LG,LG
SF046.faa,Amino-Acids,LGF,LG
SF047.faa,Amino-Acids,LG,LG
SF049.faa,Amino-Acids,BLOSUM62,LG
SF051.faa,Amino-Acids,WAG,WAG
SF052.faa,Amino-Acids,PMB,LG
SF053.faa,Amino-Acids,LG,LG
SF054.faa,Amino-Acids,LGF,LG
SF055.faa,Amino-Acids,PMBF,LG
SF056.faa,Amino-Acids,BLOSUM62,LG
SF057.faa,Amino-Acids,LG,LG
SF058.faa,Amino-Acids,BLOSUM62,WAG
SF060.faa,Amino-Acids,WAGF,WAG
SF061.faa,Amino-Acids,CPREV,LG
SF063.faa,Amino-Acids,LG,LG
SF064.faa,Amino-Acids,LG,LG
SF065.faa,Amino-Acids,LG,LG
SF066.faa,Amino-Acids,RTREVF,LG
SF067.faa,Amino-Acids,BLOSUM62F,WAG
SF068.faa,Amino-Acids,LG,LG
SF070.faa,Amino-Acids,RTREV,LG
SF071.faa,Amino-Acids,LG,LG
SF072.faa,Amino-Acids,LG,LG
SF074.faa,Amino-Acids,LGF,LG
SF075.faa,Amino-Acids,LGF,WAG
