File Name, Data Type, RAxML Model, Baliphy Model
PFamSample1.fasta,Amino-Acids,WAG,WAG
PFamSample2.fasta,Amino-Acids,LG,LG
PFamSample3.fasta,Amino-Acids,LG,LG
PFamSample4.fasta,Amino-Acids,VTF,LG
PFamSample5.fasta,Amino-Acids,WAGF,LG
PFamSample6.fasta,Amino-Acids,WAG,WAG
PFamSample7.fasta,Amino-Acids,LG,LG
PFamSample8.fasta,Amino-Acids,LGF,LG
PFamSample9.fasta,Amino-Acids,JTTF,JTT
PFamSample10.fasta,Amino-Acids,LGF,LG
PFamSample11.fasta,Amino-Acids,LG,LG
PFamSample12.fasta,Amino-Acids,LG,LG
PFamSample13.fasta,Amino-Acids,LGF,LG
PFamSample14.fasta,Amino-Acids,LG,LG
PFamSample15.fasta,Amino-Acids,JTTF,LG
PFamSample16.fasta,Amino-Acids,JTTF,JTT
PFamSample17.fasta,Amino-Acids,LGF,LG
PFamSample18.fasta,Amino-Acids,LG,LG
PFamSample19.fasta,Amino-Acids,LGF,LG
PFamSample20.fasta,Amino-Acids,LG,LG
PFamSample21.fasta,Amino-Acids,LG,LG
PFamSample22.fasta,Amino-Acids,LGF,LG
PFamSample23.fasta,Amino-Acids,LG,LG
PFamSample24.fasta,Amino-Acids,LG,LG
PFamSample25.fasta,Amino-Acids,LG,LG
