File Name, Data Type, RAxML Model, Baliphy Model
AL00047241.faa,Amino-Acids,LGF,LG
AL00047305.faa,Amino-Acids,JTTF,JTT
AL00047861.faa,Amino-Acids,WAG,WAG
AL00048098.faa,Amino-Acids,LG,LG
AL00049599.faa,Amino-Acids,JTTDCMUT,JTT
AL00049879.faa,Amino-Acids,BLOSUM62F,WAG
AL00050021.faa,Amino-Acids,WAG,WAG
AL00050155.faa,Amino-Acids,LG,LG
AL00050331.faa,Amino-Acids,WAG,WAG
AL00050464.faa,Amino-Acids,WAG,WAG
AL00050465.faa,Amino-Acids,LG,LG
AL00050475.faa,Amino-Acids,LGF,LG
AL00050684.faa,Amino-Acids,PMB,WAG
AL00050685.faa,Amino-Acids,WAGF,WAG
AL00050692.faa,Amino-Acids,PMB,LG
AL00050715.faa,Amino-Acids,LG,LG
AL00050799.faa,Amino-Acids,LG,LG
AL00050815.faa,Amino-Acids,WAGF,WAG
AL00050847.faa,Amino-Acids,LGF,LG
AL00050876.faa,Amino-Acids,WAGF,WAG
AL00051306.faa,Amino-Acids,VT,WAG
AL00051352.faa,Amino-Acids,LGF,LG
AL00051366.faa,Amino-Acids,BLOSUM62F,LG
AL00051392.faa,Amino-Acids,LG,LG
AL00051395.faa,Amino-Acids,BLOSUM62,LG
AL00051412.faa,Amino-Acids,LG,LG
AL00051713.faa,Amino-Acids,LG,LG
AL00051735.faa,Amino-Acids,BLOSUM62,WAG
AL00051904.faa,Amino-Acids,LG,LG
AL00051906.faa,Amino-Acids,BLOSUM62,WAG
AL00051913.faa,Amino-Acids,VT,WAG
AL00051931.faa,Amino-Acids,LG,LG
AL00051934.faa,Amino-Acids,LG,LG
AL00051971.faa,Amino-Acids,WAG,WAG
AL00051984.faa,Amino-Acids,LG,LG
AL00052086.faa,Amino-Acids,LG,LG
AL00052113.faa,Amino-Acids,LG,LG
AL00052141.faa,Amino-Acids,BLOSUM62F,WAG
AL00052150.faa,Amino-Acids,BLOSUM62F,WAG
AL00052317.faa,Amino-Acids,LGF,LG
AL00052441.faa,Amino-Acids,LG,LG
AL00052787.faa,Amino-Acids,BLOSUM62,LG
AL00052799.faa,Amino-Acids,LGF,LG
AL00052821.faa,Amino-Acids,LG,LG
AL00053335.faa,Amino-Acids,BLOSUM62,LG
AL00053354.faa,Amino-Acids,BLOSUM62,LG
AL00053377.faa,Amino-Acids,LG,LG
AL00053473.faa,Amino-Acids,LGF,WAG
AL00053614.faa,Amino-Acids,BLOSUM62,LG
AL00053697.faa,Amino-Acids,LG,LG
AL00053701.faa,Amino-Acids,LG,LG
AL00054097.faa,Amino-Acids,LG,LG
AL00054253.faa,Amino-Acids,LG,LG
AL00054403.faa,Amino-Acids,WAGF,WAG
AL00054407.faa,Amino-Acids,WAG,WAG
AL00054790.faa,Amino-Acids,RTREV,LG
AL00054814.faa,Amino-Acids,LG,LG
AL00055186.faa,Amino-Acids,LG,LG
AL00055464.faa,Amino-Acids,BLOSUM62,LG
AL00055593.faa,Amino-Acids,LG,LG
AL00055594.faa,Amino-Acids,LGF,LG
AL00055637.faa,Amino-Acids,RTREV,LG
AL00055723.faa,Amino-Acids,LG,LG
