Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.5,0.889655172414,0.632624113475,0.230989956958,0.473758865248,0.572213069742,0.729935559461,0.935828877005,0.832568807339,0.551036843165,0.257756563246,0.642045454545,0.745350500715,0.585858585859,0.523404255319,0.329388560158,1.0,0.235129461162,0.53853339561,0.508130081301,0.905325443787,1.0,1.0,0.674585635359,0.632132132132,0.973607038123,0.671324960198,0.846474677259,0.931502423263,0.85604285236,0.644461362771,0.367682926829,0.802570694087,0.904811715481,0.893814801573,0.76,0.910800275166,0.649038461538,0.768707482993,0.754750593824,0.664772727273,0.923456790123,0.985489721886,0.881057268722,0.920179372197,0.697959183673,0.444351697273,0.316345556246,0.466905187835,0.847904191617,0.318944844125,1.0,0.533123028391,0.53488372093,0.418018018018,0.822335025381,0.623252858958,0.381944444444,0.958041958042,1.0,0.582894736842,0.475,0.655339805825,0.894268774704,0.9486260454,0.617283950617,0.529968454259,0.527011711371,0.857775318207,0.357070365359,0.789387755102,1.0,0.990675990676,0.871485943775,0.547550432277,0.0956072351421,0.584491587418,0.837931034483,0.802461899179,0.387535816619,0.925806451613,0.453191489362,0.667961165049,0.489530090684,0.977777777778
1-SPFN,0.484615384615,0.889655172414,0.608458390177,0.226282501757,0.488304093567,0.575055187638,0.721273516643,0.935828877005,0.80846325167,0.458535768135,0.239467849224,0.60752688172,0.709809264305,0.504347826087,0.541850220264,0.340468909276,1.0,0.271844660194,0.487320371936,0.508130081301,0.889534883721,1.0,1.0,0.662866449511,0.64373088685,0.97503671072,0.659426585578,0.785332596278,0.927606177606,0.845289256198,0.645690312738,0.359142346635,0.770864197531,0.904811715481,0.871687587169,0.76,0.906435417618,0.642857142857,0.798586572438,0.753855278766,0.653631284916,0.871794871795,0.978391356543,0.878477306003,0.915254237288,0.665369649805,0.400551793328,0.261025641026,0.467741935484,0.842857142857,0.307159353349,1.0,0.495601173021,0.496402877698,0.389261744966,0.808652246256,0.569355774811,0.321637426901,0.958041958042,1.0,0.552369077307,0.454545454545,0.65138721351,0.893385982231,0.9486260454,0.546176762661,0.525,0.46875,0.823154540627,0.309803346052,0.751651768364,1.0,0.990675990676,0.850980392157,0.453100158983,0.0874704491726,0.538772757923,0.822335025381,0.767807066741,0.377793296089,0.925806451613,0.406954528086,0.665377176015,0.451902587519,0.977777777778
SP-Score,0.492307692308,0.889655172414,0.620541251826,0.228636229358,0.481031479408,0.57363412869,0.725604538052,0.935828877005,0.820516029505,0.50478630565,0.248612206235,0.624786168133,0.72757988251,0.545103205973,0.532627237792,0.334928734717,1.0,0.253487060678,0.512926883773,0.508130081301,0.897430163754,1.0,1.0,0.668726042435,0.637931509491,0.974321874421,0.665375772888,0.815903636769,0.929554300435,0.850666054279,0.645075837755,0.363412636732,0.786717445809,0.904811715481,0.882751194371,0.76,0.908617846392,0.645947802198,0.783647027716,0.754302936295,0.659202006094,0.897625830959,0.981940539214,0.879767287363,0.917716804743,0.681664416739,0.422451745301,0.288685598636,0.46732356166,0.845380667237,0.313052098737,1.0,0.514362100706,0.515643299314,0.403639881492,0.815493635818,0.596304316885,0.351790935673,0.958041958042,1.0,0.567631907074,0.464772727273,0.653363509668,0.893827378467,0.9486260454,0.581730356639,0.527484227129,0.497880855686,0.840464929417,0.333436855705,0.770519761733,1.0,0.990675990676,0.861233167966,0.50032529563,0.0915388421573,0.56163217267,0.830133029932,0.78513448296,0.382664556354,0.925806451613,0.430073008724,0.666669170532,0.470716339102,0.977777777778
TC,0.0444444444444,0.733333333333,0.442105263158,0.0661764705882,0.195652173913,0.138157894737,0.24427480916,0.875,0.691823899371,0.0,0.0714285714286,0.411290322581,0.603846153846,0.243902439024,0.307692307692,0.106666666667,1.0,0.0538243626062,0.14,0.223404255319,0.76404494382,1.0,1.0,0.311926605505,0.0845070422535,0.854166666667,0.27380952381,0.433121019108,0.767857142857,0.521367521368,0.254777070064,0.0120481927711,0.494949494949,0.845679012346,0.737113402062,0.639344262295,0.377777777778,0.486111111111,0.190476190476,0.591836734694,0.476923076923,0.75,0.937062937063,0.72268907563,0.779220779221,0.48275862069,0.0693641618497,0.208633093525,0.223476297968,0.701388888889,0.0967741935484,1.0,0.229508196721,0.339622641509,0.1,0.595238095238,0.279411764706,0.262295081967,0.937062937063,1.0,0.122448979592,0.298701298701,0.372340425532,0.80055401662,0.827586206897,0.0857142857143,0.211764705882,0.140495867769,0.629268292683,0.0342465753425,0.345864661654,1.0,0.974683544304,0.76404494382,0.0,0.00653594771242,0.0920245398773,0.721393034826,0.376811594203,0.131818181818,0.746031746032,0.0215053763441,0.38202247191,0.00649350649351,0.955555555556
Modeler,0.5,0.889655172414,0.632624113475,0.230989956958,0.473758865248,0.572213069742,0.729935559461,0.935828877005,0.832568807339,0.551036843165,0.257756563246,0.642045454545,0.745350500715,0.585858585859,0.523404255319,0.329388560158,1.0,0.235129461162,0.53853339561,0.508130081301,0.905325443787,1.0,1.0,0.674585635359,0.632132132132,0.973607038123,0.671324960198,0.846474677259,0.931502423263,0.85604285236,0.644461362771,0.367682926829,0.802570694087,0.904811715481,0.893814801573,0.76,0.910800275166,0.649038461538,0.768707482993,0.754750593824,0.664772727273,0.923456790123,0.985489721886,0.881057268722,0.920179372197,0.697959183673,0.444351697273,0.316345556246,0.466905187835,0.847904191617,0.318944844125,1.0,0.533123028391,0.53488372093,0.418018018018,0.822335025381,0.623252858958,0.381944444444,0.958041958042,1.0,0.582894736842,0.475,0.655339805825,0.894268774704,0.9486260454,0.617283950617,0.529968454259,0.527011711371,0.857775318207,0.357070365359,0.789387755102,1.0,0.990675990676,0.871485943775,0.547550432277,0.0956072351421,0.584491587418,0.837931034483,0.802461899179,0.387535816619,0.925806451613,0.453191489362,0.667961165049,0.489530090684,0.977777777778
Compression,1.02395209581,1.0,1.03883495146,1.05988023952,0.960264900662,0.981481481481,1.04195804196,1.0,1.04938271605,1.51851851852,1.21848739496,1.07874015748,1.08540925267,1.26666666667,0.986394557823,0.916666666667,1.0,0.893693693694,1.11258278146,1.0,1.03333333333,1.0,1.0,1.07142857143,0.946666666667,1.0,1.06578947368,1.23876404494,1.02857142857,1.05982905983,0.994594594595,1.07386363636,1.09090909091,0.995824634656,1.06161137441,1.0,1.07272727273,1.02469135802,0.898148148148,1.00961538462,1.0,1.17777777778,1.02739726027,1.0,1.01282051282,1.06741573034,1.12558139535,1.38194444444,1.00639658849,1.00657894737,1.06369426752,1.0,1.2131147541,1.07575757576,1.14173228346,1.02325581395,1.25714285714,1.23529411765,1.0,1.0,1.09210526316,1.04819277108,1.00884955752,1.0027100271,1.0,1.3,1.07216494845,1.30578512397,1.12558139535,1.29931972789,1.1387283237,1.0,1.0,1.03333333333,1.275,1.09950248756,1.18823529412,1.02926829268,1.13483146067,1.03396226415,1.0,1.35353535354,1.0,1.24691358025,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
