Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.6805234795999999,0.513409961686,0.793103448276,0.563662374821,0.219310344828,0.531700288184,0.605092091008,1.0,0.750568181818,1.0,0.955357142857,0.957219251337,0.822222222222,0.665368331922,0.903946825922,0.22480620155,0.653409090909,0.869853645192,0.798319327731,0.865217391304,0.687022900763,0.569168961061,0.354005167959,0.998423541776,1.0,0.870070631816,0.433745988079,0.196743554953,0.640399556049,0.630060482469,0.511869436202,0.418098031001,1.0,0.520325203252,0.972222222222,0.918604651163,0.840954274354,1.0,0.562085601507,0.522865064132,1.0,0.506916996047,0.796507282571,0.63050863793,0.3891223733,0.821063944116,0.642642642643,0.973607038123,0.704474505723,0.831362075544,0.940683430045,0.90532158015,0.874752801582,0.67996839194,0.664704343276,0.498196031269,0.801768106086,0.938765432099,0.963519313305,0.935450104676,0.903409090909,0.928914285714,0.697115384615,0.865766576658,0.83611047706,0.792517006803,0.924673784104,0.554285714286,0.922352941176,0.984280532044,0.880116959064,0.531731200478,0.356302521008,0.954504906334,0.731800766284,0.521101844832,0.98606271777,0.419346539748,0.843025797989,0.824966078697,0.785628742515,0.478060046189,0.873600746269,1.0,0.471798677641,0.576023391813,0.509864294674,0.503649635036,0.483568075117,0.672564324949,0.682352941176,0.704191616766,0.444444444444,0.489865846571,0.62467172,0.990675990676,0.872053315708,0.671942263864,0.626417112299,1.0,0.704630788486,0.355638933411,0.707547169811,0.713253012048,0.898221343874,0.913669064748,0.933823529412,0.758208955224,0.515832482125,0.856346596803,0.90059982862,0.598683099781,0.896220755849,0.897872340426,0.443778110945,0.835192069393,1.0,1.0,0.50015824931,0.560689490065,0.952941176471,0.953218032322,0.669803921569,0.897435897436,0.704334365325,0.769076305221,0.231884057971,0.912310286678,0.561670132779,0.832405345212,0.588127594832,0.52652259332,0.294270833333,0.419156617252,0.9090472662,0.894623655914,0.606083086053,0.909657320872,0.586740723233,0.638452237001,0.977777777778,0.402394586153
1-SPFN,0.6842105263160001,0.515384615385,0.793103448276,0.537517053206,0.223471539002,0.539473684211,0.616445916115,1.0,0.764688856729,1.0,0.0795539033457,0.957219251337,0.824053452116,0.658234210085,0.874036579768,0.257206208426,0.618279569892,0.860205599892,0.776566757493,0.865217391304,0.396475770925,0.546506609118,0.418960244648,0.998423541776,1.0,0.871878332895,0.414306569343,0.234627831715,0.640921208531,0.584747403058,0.516660426806,0.42180896027,1.0,0.520325203252,0.973162120129,0.918604651163,0.827788649706,1.0,0.537698363731,0.506119319355,1.0,0.467600265164,0.754359310797,0.630706194264,0.323424657534,0.829533116178,0.654434250765,0.97503671072,0.705821025195,0.8030219274,0.938867438867,0.916694214876,0.869308876515,0.656369183829,0.633620152139,0.493448481239,0.806981519507,0.938765432099,0.939330543933,0.93479776848,0.908571428571,0.927430397079,0.690476190476,0.861836210501,0.827609579756,0.82332155477,0.924673784104,0.541899441341,0.913752913753,0.977190876351,0.88140556369,0.534789309476,0.308363636364,0.954504906334,0.743190661479,0.517180837723,0.98606271777,0.417948717949,0.858797327394,0.363201911589,0.780952380952,0.478060046189,0.857012125372,1.0,0.512007614585,0.577712609971,0.470730680143,0.496402877698,0.518456375839,0.667227533461,0.675540765391,0.68253047011,0.46783625731,0.459448103566,0.598384452592,0.990675990676,0.875912812569,0.662133499688,0.623085106383,1.0,0.701995012469,0.330154543303,0.717703349282,0.714113389626,0.897334649556,0.910394265233,0.187592319055,0.756703078451,0.526041666667,0.840779615371,0.890677966102,0.595766129032,0.890611028316,0.896441848115,0.434399765189,0.785853089778,1.0,0.972027972028,0.469604347088,0.629062583938,0.952941176471,0.954029511918,0.678855325914,0.0827423167849,0.680283592167,0.774780849629,0.225238813474,0.915397631134,0.418624061047,0.838474481211,0.559900819954,0.374301675978,0.293330670927,0.368392628097,0.860405389387,0.894623655914,0.624379059992,0.564796905222,0.579211385908,0.642922374429,0.977777777778,0.353937728938
SP-Score,0.682367002958,0.514397288535,0.793103448276,0.550589714014,0.221390941915,0.535586986197,0.610769003561,1.0,0.757628519274,1.0,0.517455523101,0.957219251337,0.823137837169,0.661801271004,0.888991702845,0.241006204988,0.635844330401,0.865029622542,0.787443042612,0.865217391304,0.541749335844,0.557837785089,0.386482706303,0.998423541776,1.0,0.870974482355,0.424026278711,0.215685693334,0.64066038229,0.607403942764,0.514264931504,0.419953495636,1.0,0.520325203252,0.972692171176,0.918604651163,0.83437146203,1.0,0.549891982619,0.514492191743,1.0,0.487258630606,0.775433296684,0.630607416097,0.356273515417,0.825298530147,0.648538446704,0.974321874421,0.705147765459,0.817192001472,0.939775434456,0.911007897513,0.872030839048,0.668168787885,0.649162247707,0.495822256254,0.804374812797,0.938765432099,0.951424928619,0.935123936578,0.90599025974,0.928172341397,0.693795787546,0.863801393579,0.831860028408,0.807919280787,0.924673784104,0.548092577813,0.918052927465,0.980735704197,0.880761261377,0.533260254977,0.332333078686,0.954504906334,0.737495713881,0.519141341277,0.98606271777,0.418647628848,0.850911562691,0.594083995143,0.783290561734,0.478060046189,0.86530643582,1.0,0.491903146113,0.576868000892,0.490297487409,0.500026256367,0.501012225478,0.669895929205,0.678946853284,0.693361043438,0.456140350877,0.474656975068,0.611528086296,0.990675990676,0.873983064139,0.667037881776,0.624751109341,1.0,0.703312900477,0.342896738357,0.712625259547,0.713683200837,0.897777996715,0.912031664991,0.560707924233,0.757456016837,0.520937074396,0.848563106087,0.895638897361,0.597224614406,0.893415892082,0.89715709427,0.439088938067,0.810522579586,1.0,0.986013986014,0.484881298199,0.594876037001,0.952941176471,0.95362377212,0.674329623741,0.49008910711,0.692308978746,0.771928577425,0.228561435723,0.913853958906,0.490147096913,0.835439913212,0.574014207393,0.450412134649,0.29380075213,0.393774622674,0.884726327793,0.894623655914,0.615231073023,0.737227113047,0.58297605457,0.640687305715,0.977777777778,0.378166157545
TC,0.4545454545454545,0.0888888888889,0.566666666667,0.3,0.0955882352941,0.257246376812,0.0789473684211,1.0,0.374045801527,1.0,0.0253623188406,0.90625,0.716981132075,0.372549019608,0.4,0.0714285714286,0.427419354839,0.566371681416,0.680769230769,0.731707317073,0.395604395604,0.004,0.0933333333333,0.875,1.0,0.225,0.0637583892617,0.0254957507082,0.183098591549,0.0461538461538,0.148387096774,0.0333333333333,1.0,0.244680851064,0.721428571429,0.775280898876,0.538461538462,1.0,0.0794871794872,0.0696202531646,1.0,0.188524590164,0.328947368421,0.0797101449275,0.00518134715026,0.559633027523,0.0985915492958,0.854166666667,0.327380952381,0.426751592357,0.767857142857,0.632478632479,0.470588235294,0.146496815287,0.129032258065,0.150602409639,0.529411764706,0.838383838384,0.901234567901,0.845360824742,0.852459016393,0.422222222222,0.583333333333,0.52731092437,0.461538461538,0.27380952381,0.795918367347,0.292307692308,0.71875,0.937062937063,0.739495798319,0.0585106382979,0.00358422939068,0.844155844156,0.597701149425,0.184971098266,0.84375,0.129496402878,0.567567567568,0.3769751693,0.618055555556,0.193548387097,0.532608695652,1.0,0.0961538461538,0.327868852459,0.119122257053,0.377358490566,0.15,0.0643274853801,0.261904761905,0.477941176471,0.377049180328,0.108829568789,0.0,0.986013986014,0.396153846154,0.15873015873,0.0585106382979,1.0,0.360544217687,0.0831168831169,0.61038961039,0.276595744681,0.797783933518,0.770114942529,0.0960698689956,0.3,0.105882352941,0.340909090909,0.681818181818,0.198347107438,0.405405405405,0.717073170732,0.143835616438,0.345864661654,1.0,0.962025316456,0.00845070422535,0.151219512195,0.910112359551,0.833333333333,0.277777777778,0.0457516339869,0.196721311475,0.441717791411,0.0377358490566,0.855721393035,0.0228136882129,0.579710144928,0.103194103194,0.0318181818182,0.0521739130435,0.063829787234,0.307692307692,0.666666666667,0.279569892473,0.134831460674,0.0512820512821,0.162337662338,0.955555555556,0.0
Modeler,0.6805234795996921,0.513409961686,0.793103448276,0.563662374821,0.219310344828,0.531700288184,0.605092091008,1.0,0.750568181818,1.0,0.955357142857,0.957219251337,0.822222222222,0.665368331922,0.903946825922,0.22480620155,0.653409090909,0.869853645192,0.798319327731,0.865217391304,0.687022900763,0.569168961061,0.354005167959,0.998423541776,1.0,0.870070631816,0.433745988079,0.196743554953,0.640399556049,0.630060482469,0.511869436202,0.418098031001,1.0,0.520325203252,0.972222222222,0.918604651163,0.840954274354,1.0,0.562085601507,0.522865064132,1.0,0.506916996047,0.796507282571,0.63050863793,0.3891223733,0.821063944116,0.642642642643,0.973607038123,0.704474505723,0.831362075544,0.940683430045,0.90532158015,0.874752801582,0.67996839194,0.664704343276,0.498196031269,0.801768106086,0.938765432099,0.963519313305,0.935450104676,0.903409090909,0.928914285714,0.697115384615,0.865766576658,0.83611047706,0.792517006803,0.924673784104,0.554285714286,0.922352941176,0.984280532044,0.880116959064,0.531731200478,0.356302521008,0.954504906334,0.731800766284,0.521101844832,0.98606271777,0.419346539748,0.843025797989,0.824966078697,0.785628742515,0.478060046189,0.873600746269,1.0,0.471798677641,0.576023391813,0.509864294674,0.503649635036,0.483568075117,0.672564324949,0.682352941176,0.704191616766,0.444444444444,0.489865846571,0.62467172,0.990675990676,0.872053315708,0.671942263864,0.626417112299,1.0,0.704630788486,0.355638933411,0.707547169811,0.713253012048,0.898221343874,0.913669064748,0.933823529412,0.758208955224,0.515832482125,0.856346596803,0.90059982862,0.598683099781,0.896220755849,0.897872340426,0.443778110945,0.835192069393,1.0,1.0,0.50015824931,0.560689490065,0.952941176471,0.953218032322,0.669803921569,0.897435897436,0.704334365325,0.769076305221,0.231884057971,0.912310286678,0.561670132779,0.832405345212,0.588127594832,0.52652259332,0.294270833333,0.419156617252,0.9090472662,0.894623655914,0.606083086053,0.909657320872,0.586740723233,0.638452237001,0.977777777778,0.402394586153
Compression,0.9932432432432432,0.994011976048,1.0,1.03883495146,1.05988023952,1.01324503311,0.993827160494,1.0,1.00699300699,1.0,3.58950617284,1.0,1.00617283951,1.0462962963,1.51851851852,0.890756302521,1.07874015748,1.0737704918,1.05693950178,1.0,1.36734693878,1.2091503268,0.8125,1.0,1.0,1.21428571429,1.3137254902,0.823423423423,1.09356725146,1.38461538462,0.952380952381,0.993377483444,1.0,1.0,1.03521126761,1.0,1.03846153846,1.0,1.40867579909,1.3306010929,1.0,1.2701754386,1.17105263158,1.14492753623,1.79487179487,1.0,0.946666666667,1.0,1.02631578947,1.14887640449,1.05306122449,1.0,1.11111111111,1.36216216216,1.28947368421,1.1875,1.02222222222,1.0,1.02505219207,1.01421800948,1.0,1.05454545455,1.02469135802,1.03483606557,1.14,0.898148148148,1.0,1.0,1.02222222222,1.02739726027,1.008,1.07281553398,1.30484330484,1.0,0.977528089888,0.990697674419,1.0,1.07638888889,0.959064327485,1.60554371002,1.00657894737,1.0,1.08737864078,1.0,0.914893617021,1.01639344262,1.27027027027,1.01515151515,0.92125984252,1.19298245614,1.0,1.15714285714,0.870588235294,1.382,1.78151260504,1.0,1.0,1.11111111111,1.04368932039,1.0,1.00657894737,1.33786848073,0.987951807229,0.982300884956,1.0027100271,1.0,2.37634408602,1.01428571429,0.938144329897,1.46,1.0824742268,1.06611570248,1.12857142857,1.01395348837,1.08163265306,1.21387283237,1.0,1.03797468354,2.07772020725,0.923444976077,1.0,1.00724637681,0.925,2.2736318408,1.33333333333,0.976470588235,1.09803921569,1.0,1.70397111913,0.988764044944,1.47260273973,1.5320754717,1.13414634146,1.47032967033,1.68103448276,1.0,0.979797979798,1.29257641921,1.42608695652,1.01234567901,1.0,1.48387096774
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
