Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.923611111111,0.834482758621,0.856060606061,0.460101867572,0.902255639098,0.885375494071,0.748527679623,0.957219251337,0.828125,0.780816640986,0.615384615385,0.670454545455,0.803116147309,0.847826086957,0.990990990991,0.801094890511,1.0,0.713567839196,0.64406779661,0.707920792079,0.959302325581,1.0,1.0,0.789897904352,0.702702702703,0.973607038123,0.756554307116,0.851808176101,0.931626701231,0.93752099429,0.957894736842,0.748534896111,0.932832080201,0.973273942094,0.952809798271,0.857954545455,0.937871174052,0.731707317073,0.853741496599,0.938836104513,0.738095238095,0.938271604938,0.992753623188,0.880706921944,0.965827338129,0.731800766284,0.615408320493,0.661904761905,0.89979338843,0.874074074074,0.781538461538,1.0,0.733944954128,0.809523809524,0.551578947368,0.70777027027,0.772554002541,1.0,0.972027972028,1.0,0.772070626003,0.930481283422,0.790229885057,0.918811881188,0.953405017921,0.758,0.817829457364,0.749211688039,0.917926565875,0.735606731621,0.913151364764,1.0,0.990675990676,0.905882352941,0.803904170364,0.857142857143,0.770229007634,0.91568296796,0.889786497403,0.848656294201,0.936559139785,0.650334075724,0.9795221843,0.725162337662,0.977777777778
1-SPFN,0.511538461538,0.834482758621,0.616643929059,0.190442726634,0.526315789474,0.618101545254,0.735745296671,0.957219251337,0.826280623608,0.67917574133,0.19512195122,0.634408602151,0.772479564033,0.847826086957,0.484581497797,0.44750254842,1.0,0.229773462783,0.449704142012,0.581300813008,0.959302325581,1.0,1.0,0.798045602606,0.715596330275,0.97503671072,0.701998262381,0.798599594619,0.925032175032,0.922644628099,0.520594965675,0.418403811793,0.919012345679,0.914225941423,0.922245467225,0.862857142857,0.937015061616,0.714285714286,0.886925795053,0.937722419929,0.692737430168,0.885780885781,0.986794717887,0.875549048316,0.958073148974,0.743190661479,0.500877853022,0.392051282051,0.520310633214,0.842857142857,0.586605080831,1.0,0.703812316716,0.489208633094,0.439597315436,0.697171381032,0.705745792223,0.0350877192982,0.972027972028,1.0,0.599750623441,0.832535885167,0.663449939686,0.916090819348,0.953405017921,0.752730883813,0.659375,0.598790322581,0.902814657461,0.487525682419,0.858142246405,1.0,0.990675990676,0.905882352941,0.720190779014,0.0567375886525,0.680377612947,0.918781725888,0.864834548514,0.418994413408,0.936559139785,0.66946885747,0.555125725338,0.679908675799,0.977777777778
SP-Score,0.717574786325,0.834482758621,0.73635226756,0.325272297103,0.714285714286,0.751738519663,0.742136488147,0.957219251337,0.827202811804,0.729996191158,0.405253283302,0.652431573803,0.787797855671,0.847826086957,0.737786244394,0.624298719465,1.0,0.47167065099,0.546885969311,0.644610802544,0.959302325581,1.0,1.0,0.793971753479,0.709149516489,0.974321874421,0.729276284748,0.82520388536,0.928329438132,0.930082811194,0.739244851259,0.583469353952,0.92592221294,0.943749941758,0.937527632748,0.860405844156,0.937443117834,0.722996515679,0.870333645826,0.938279262221,0.715416334131,0.91202624536,0.989774170538,0.87812798513,0.961950243552,0.737495713881,0.558143086758,0.526978021978,0.710052010822,0.858465608466,0.684071771185,1.0,0.718878635422,0.649366221309,0.495588131402,0.702470825651,0.739149897382,0.517543859649,0.972027972028,1.0,0.685910624722,0.881508584295,0.726839912372,0.917451350268,0.953405017921,0.755365441907,0.738602228682,0.67400100531,0.910370611668,0.61156620702,0.885646805585,1.0,0.990675990676,0.905882352941,0.762047474689,0.456940222898,0.72530331029,0.917232346924,0.877310522959,0.633825353804,0.936559139785,0.659901466597,0.767323954819,0.702535506731,0.977777777778
TC,0.0888888888889,0.6,0.578947368421,0.102941176471,0.38768115942,0.342105263158,0.282442748092,0.90625,0.723270440252,0.343137254902,0.0982142857143,0.451612903226,0.680769230769,0.634146341463,0.43956043956,0.36,1.0,0.1388101983,0.12,0.340425531915,0.910112359551,1.0,1.0,0.477064220183,0.239436619718,0.854166666667,0.416666666667,0.426751592357,0.754464285714,0.692307692308,0.00636942675159,0.132530120482,0.79797979798,0.882716049383,0.824742268041,0.786885245902,0.488888888889,0.625,0.488095238095,0.84693877551,0.538461538462,0.75,0.951048951049,0.72268907563,0.87012987013,0.597701149425,0.190751445087,0.381294964029,0.52144469526,0.715277777778,0.4,1.0,0.524590163934,0.377358490566,0.183333333333,0.238095238095,0.522058823529,0.0327868852459,0.958041958042,1.0,0.285714285714,0.753246753247,0.287234042553,0.83379501385,0.83908045977,0.328571428571,0.423529411765,0.231404958678,0.756097560976,0.212328767123,0.601503759398,1.0,0.974683544304,0.848314606742,0.277777777778,0.0196078431373,0.288343558282,0.860696517413,0.623188405797,0.2,0.793650793651,0.301075268817,0.14606741573,0.214285714286,0.955555555556
Modeler,0.923611111111,0.834482758621,0.856060606061,0.460101867572,0.902255639098,0.885375494071,0.748527679623,0.957219251337,0.828125,0.780816640986,0.615384615385,0.670454545455,0.803116147309,0.847826086957,0.990990990991,0.801094890511,1.0,0.713567839196,0.64406779661,0.707920792079,0.959302325581,1.0,1.0,0.789897904352,0.702702702703,0.973607038123,0.756554307116,0.851808176101,0.931626701231,0.93752099429,0.957894736842,0.748534896111,0.932832080201,0.973273942094,0.952809798271,0.857954545455,0.937871174052,0.731707317073,0.853741496599,0.938836104513,0.738095238095,0.938271604938,0.992753623188,0.880706921944,0.965827338129,0.731800766284,0.615408320493,0.661904761905,0.89979338843,0.874074074074,0.781538461538,1.0,0.733944954128,0.809523809524,0.551578947368,0.70777027027,0.772554002541,1.0,0.972027972028,1.0,0.772070626003,0.930481283422,0.790229885057,0.918811881188,0.953405017921,0.758,0.817829457364,0.749211688039,0.917926565875,0.735606731621,0.913151364764,1.0,0.990675990676,0.905882352941,0.803904170364,0.857142857143,0.770229007634,0.91568296796,0.889786497403,0.848656294201,0.936559139785,0.650334075724,0.9795221843,0.725162337662,0.977777777778
Compression,1.23952095808,1.0,1.3932038835,2.2874251497,1.48344370861,1.6975308642,1.11888111888,1.0,1.01234567901,1.36111111111,2.20168067227,1.07874015748,1.07473309609,1.0,1.5306122449,1.72916666667,1.0,1.71351351351,1.47682119205,1.23770491803,1.0,1.0,1.0,1.0,0.946666666667,1.0,1.22631578947,1.24719101124,1.04897959184,1.05982905983,2.12432432432,2.15909090909,1.0404040404,1.06889352818,1.09952606635,1.0,1.05454545455,1.04938271605,0.898148148148,1.00961538462,1.07246376812,1.2,1.03424657534,1.024,1.03846153846,0.977528089888,1.47906976744,1.63194444444,1.46908315565,1.06578947368,1.35031847134,1.0,1.13114754098,1.60606060606,1.34645669291,1.02325581395,1.31428571429,2.31764705882,1.0,1.0,1.40789473684,1.20481927711,1.33628318584,1.0054200542,1.0,1.02857142857,1.42268041237,1.52892561983,1.04186046512,1.78231292517,1.23121387283,1.0,1.0,1.0,1.4,2.3184079602,1.38823529412,1.0,1.10112359551,1.96226415094,1.0,1.0,1.34061135371,1.32716049383,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
