Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
1-SPFP,0.664591439689,0.519083969466,0.889655172414,0.621151271754,0.210743801653,0.501404494382,0.569550930997,0.849296951135,0.630651123116,1.0,0.168489405332,1.0,0.841517857143,0.710440596606,0.907585457181,0.257928118393,0.642045454545,0.857374721039,0.769863013699,0.618025751073,0.515267175573,0.584621503381,0.300884955752,0.992113564669,1.0,0.951616925763,0.334305555556,0.193181818182,0.622098557516,0.625270071731,0.536263736264,0.440051020408,1.0,0.538461538462,0.965910520357,0.905325443787,0.851077726976,1.0,0.506902102336,0.426119240009,1.0,0.356697517717,0.897231982175,0.58385996709,0.293779264214,0.846900269542,0.627627627628,0.973607038123,0.61834166523,0.839430894309,0.944480102696,0.879203395364,0.7534200304,0.642344045369,0.626668314385,0.453298307064,0.942281420765,0.846616541353,0.900627615063,0.887170474517,0.817142857143,0.922848664688,0.661904761905,0.871567865048,0.748853211009,0.77397260274,0.771055753262,0.584269662921,0.92380952381,0.977190876351,0.888567293777,0.556545755846,0.262956669499,0.977718360071,0.689795918367,0.416504381694,0.996515679443,0.320143884892,0.906318560772,0.888831539443,0.620882188721,0.810551558753,0.560465116279,0.910574712644,1.0,0.3115300844,0.780058651026,0.432061228769,0.414814814815,0.346469622332,0.579571201198,0.721753794266,0.803841676368,0.2,0.359369180509,0.546061059233,0.95337995338,0.922595065953,0.624605678233,0.701681772934,1.0,0.685929648241,0.34841427495,0.57,0.654609101517,0.896245059289,0.934289127838,0.237175216522,0.590909090909,0.551204819277,0.832695319297,0.914479254869,0.46991356383,0.830523780855,0.8864,0.588768385084,0.83863322141,1.0,0.990675990676,0.427092355726,0.57032088751,0.871485943775,0.95552407932,0.638071895425,0.164648910412,0.559292616568,0.600558659218,0.206310679612,0.900169204738,0.551815257353,0.837222222222,0.51660341556,0.35,0.253644044193,0.194059405941,0.883187222645,0.921505376344,0.59557195572,0.791505791506,0.510838398899,0.620089868097,0.977777777778,0.45415879017
1-SPFN,0.6609907120740001,0.523076923077,0.889655172414,0.633015006821,0.215038650738,0.521929824561,0.573951434879,0.848706176962,0.641968162084,1.0,0.183271375465,1.0,0.839643652561,0.694253643826,0.907717026263,0.270509977827,0.60752688172,0.857432706614,0.765667574932,0.626086956522,0.594713656388,0.594793633666,0.346585117227,0.991592222806,1.0,0.9513137665,0.351386861314,0.233818770227,0.629146919431,0.622405746607,0.548109322351,0.437447168216,1.0,0.569105691057,0.968265310412,0.889534883721,0.849967384214,1.0,0.512944544535,0.431566840662,1.0,0.381629101757,0.90378439971,0.590093998554,0.300821917808,0.852877307275,0.639143730887,0.97503671072,0.623284100782,0.837110742583,0.946911196911,0.890247933884,0.730592859482,0.647978642258,0.632373113855,0.462477665277,0.944216290212,0.834074074074,0.900627615063,0.880055788006,0.817142857143,0.922638064811,0.661904761905,0.870318380025,0.737686398554,0.798586572438,0.771055753262,0.581005586592,0.904428904429,0.977190876351,0.89897510981,0.568093824005,0.270109090909,0.978590544157,0.657587548638,0.429144720341,0.996515679443,0.319487179487,0.92004454343,0.878347958751,0.664277180406,0.804761904762,0.556581986143,0.906199954244,1.0,0.335114950945,0.780058651026,0.433880817014,0.402877697842,0.354026845638,0.591816443595,0.712146422629,0.801508995937,0.187134502924,0.383499886441,0.561608393693,0.95337995338,0.924789776499,0.617592014972,0.712393617021,1.0,0.680798004988,0.344019478543,0.545454545455,0.67671893848,0.895360315893,0.934289127838,0.262924667651,0.58093346574,0.571875,0.826140247902,0.915254237288,0.474966397849,0.822354694486,0.88263409453,0.58159671265,0.825106879129,1.0,0.990675990676,0.450055187638,0.642089712597,0.850980392157,0.957150964813,0.620826709062,0.160756501182,0.575045818462,0.579905596763,0.213675213675,0.900169204738,0.572671992369,0.845204711161,0.521321254971,0.371508379888,0.272763578275,0.198474313103,0.882689952191,0.921505376344,0.616736721437,0.793036750484,0.51959869342,0.651141552511,0.977777777778,0.440018315018
SP-Score,0.662791075882,0.521080446271,0.889655172414,0.627083139287,0.212891226195,0.511667159472,0.571751182938,0.849001564048,0.6363096426,1.0,0.175880390398,1.0,0.840580754852,0.702347120216,0.907651241722,0.26421904811,0.624786168133,0.857403713827,0.767765294315,0.622056353797,0.55499041598,0.589707568523,0.32373503649,0.991852893737,1.0,0.951465346131,0.342846208435,0.213500294204,0.625622738474,0.623837909169,0.542186529307,0.438749094312,1.0,0.553783614759,0.967087915384,0.897430163754,0.850522555595,1.0,0.509923323436,0.428843040335,1.0,0.369163309737,0.900508190942,0.586976982822,0.297300591011,0.849888788408,0.633385679257,0.974321874421,0.620812883006,0.838270818446,0.945695649803,0.884725664624,0.742006444941,0.645161343813,0.62952071412,0.45788798617,0.943248855489,0.840345307714,0.900627615063,0.883613131261,0.817142857143,0.92274336475,0.661904761905,0.870943122536,0.743269804782,0.786279587589,0.771055753262,0.582637624757,0.914119214119,0.977190876351,0.893771201793,0.562319789925,0.266532880204,0.978154452114,0.673691733503,0.422824551018,0.996515679443,0.31981553219,0.913181552101,0.883589749097,0.642579684564,0.807656731757,0.558523551211,0.908387333444,1.0,0.323322517672,0.780058651026,0.432971022892,0.408846256328,0.350248233985,0.585693822397,0.716950108448,0.802675336153,0.193567251462,0.371434533475,0.553834726463,0.95337995338,0.923692421226,0.621098846603,0.707037694978,1.0,0.683363826614,0.346216876747,0.557727272727,0.665664019999,0.895802687591,0.934289127838,0.250049942087,0.585921278324,0.561539909639,0.8294177836,0.914866746078,0.47243998084,0.82643923767,0.884517047265,0.585182548867,0.83187005027,1.0,0.990675990676,0.438573771682,0.606205300054,0.861233167966,0.956337522066,0.629449302243,0.162702705797,0.567169217515,0.590232127991,0.209992946643,0.900169204738,0.562243624861,0.841213466692,0.518962335266,0.360754189944,0.263203811234,0.196266859522,0.882938587418,0.921505376344,0.606154338578,0.792271270995,0.51521854616,0.635615710304,0.977777777778,0.447088552594
TC,0.4895104895104895,0.0888888888889,0.733333333333,0.378947368421,0.0735294117647,0.20652173913,0.144736842105,0.384615384615,0.175572519084,1.0,0.0253623188406,1.0,0.735849056604,0.264705882353,0.48,0.0,0.411290322581,0.424778761062,0.688461538462,0.439024390244,0.373626373626,0.0,0.0666666666667,0.46875,1.0,0.0,0.0402684563758,0.0254957507082,0.154929577465,0.0,0.270967741935,0.0466666666667,1.0,0.340425531915,0.685714285714,0.76404494382,0.384615384615,1.0,0.0307692307692,0.0158227848101,1.0,0.0614754098361,0.289473684211,0.108695652174,0.0,0.559633027523,0.0845070422535,0.854166666667,0.27380952381,0.503184713376,0.8125,0.623931623932,0.147058823529,0.261146496815,0.232258064516,0.126506024096,0.647058823529,0.616161616162,0.842592592593,0.752577319588,0.72131147541,0.488888888889,0.541666666667,0.52731092437,0.410256410256,0.190476190476,0.5,0.353846153846,0.78125,0.958041958042,0.747899159664,0.0904255319149,0.0,0.909090909091,0.471264367816,0.0751445086705,0.9375,0.0503597122302,0.735966735967,0.157142857143,0.390519187359,0.631944444444,0.290322580645,0.663043478261,1.0,0.0288461538462,0.524590163934,0.15987460815,0.207547169811,0.1,0.0350877192982,0.571428571429,0.544117647059,0.0819672131148,0.0759753593429,0.0,0.93006993007,0.596153846154,0.111111111111,0.18085106383,1.0,0.30612244898,0.114285714286,0.402597402597,0.308510638298,0.792243767313,0.793103448276,0.117903930131,0.0571428571429,0.247058823529,0.25,0.693181818182,0.00826446280992,0.324324324324,0.751219512195,0.219178082192,0.496240601504,1.0,0.974683544304,0.0225352112676,0.20487804878,0.76404494382,0.825757575758,0.222222222222,0.0915032679739,0.0327868852459,0.325153374233,0.0,0.850746268657,0.15969581749,0.579710144928,0.0638820638821,0.0681818181818,0.0565217391304,0.00607902735562,0.240384615385,0.746031746032,0.311827956989,0.584269662921,0.0512820512821,0.0584415584416,0.955555555556,0.078431372549
Modeler,0.6645914396887159,0.519083969466,0.889655172414,0.621151271754,0.210743801653,0.501404494382,0.569550930997,0.849296951135,0.630651123116,1.0,0.168489405332,1.0,0.841517857143,0.710440596606,0.907585457181,0.257928118393,0.642045454545,0.857374721039,0.769863013699,0.618025751073,0.515267175573,0.584621503381,0.300884955752,0.992113564669,1.0,0.951616925763,0.334305555556,0.193181818182,0.622098557516,0.625270071731,0.536263736264,0.440051020408,1.0,0.538461538462,0.965910520357,0.905325443787,0.851077726976,1.0,0.506902102336,0.426119240009,1.0,0.356697517717,0.897231982175,0.58385996709,0.293779264214,0.846900269542,0.627627627628,0.973607038123,0.61834166523,0.839430894309,0.944480102696,0.879203395364,0.7534200304,0.642344045369,0.626668314385,0.453298307064,0.942281420765,0.846616541353,0.900627615063,0.887170474517,0.817142857143,0.922848664688,0.661904761905,0.871567865048,0.748853211009,0.77397260274,0.771055753262,0.584269662921,0.92380952381,0.977190876351,0.888567293777,0.556545755846,0.262956669499,0.977718360071,0.689795918367,0.416504381694,0.996515679443,0.320143884892,0.906318560772,0.888831539443,0.620882188721,0.810551558753,0.560465116279,0.910574712644,1.0,0.3115300844,0.780058651026,0.432061228769,0.414814814815,0.346469622332,0.579571201198,0.721753794266,0.803841676368,0.2,0.359369180509,0.546061059233,0.95337995338,0.922595065953,0.624605678233,0.701681772934,1.0,0.685929648241,0.34841427495,0.57,0.654609101517,0.896245059289,0.934289127838,0.237175216522,0.590909090909,0.551204819277,0.832695319297,0.914479254869,0.46991356383,0.830523780855,0.8864,0.588768385084,0.83863322141,1.0,0.990675990676,0.427092355726,0.57032088751,0.871485943775,0.95552407932,0.638071895425,0.164648910412,0.559292616568,0.600558659218,0.206310679612,0.900169204738,0.551815257353,0.837222222222,0.51660341556,0.35,0.253644044193,0.194059405941,0.883187222645,0.921505376344,0.59557195572,0.791505791506,0.510838398899,0.620089868097,0.977777777778,0.45415879017
Compression,1.0067567567567568,0.988023952096,1.0,0.956310679612,0.910179640719,0.94701986755,0.969135802469,1.0,0.979020979021,1.0,0.864197530864,1.0,1.01234567901,1.0462962963,1.02777777778,0.932773109244,1.07874015748,1.00819672131,1.00355871886,0.977777777778,0.823129251701,0.862745098039,0.760416666667,1.03125,1.0,1.05357142857,0.856209150327,0.848648648649,0.923976608187,1.06153846154,0.982142857143,1.03973509934,1.0,0.94262295082,1.0,1.03333333333,1.0,1.0,0.874429223744,0.92349726776,1.0,0.743859649123,0.973684210526,1.0,0.931623931624,0.991071428571,0.946666666667,1.0,0.934210526316,1.00561797753,1.0,1.0,1.02777777778,1.06486486486,0.894736842105,0.965909090909,1.0,1.0303030303,0.993736951983,1.01895734597,1.0,1.0,1.0,1.00614754098,1.06,0.916666666667,1.0,1.0,1.06666666667,1.0,0.984,0.97572815534,0.897435897436,1.0,1.06741573034,0.893023255814,1.0,0.993055555556,0.966861598441,1.92857142857,0.929637526652,1.00657894737,1.00636942675,1.03883495146,1.0,0.76170212766,1.0,0.981981981982,1.0303030303,0.968503937008,0.959064327485,1.0,1.00714285714,1.02352941176,0.902,0.966386554622,1.0,0.977272727273,0.992592592593,0.970873786408,1.0,1.00657894737,0.972789115646,1.07228915663,0.920353982301,1.0027100271,1.0,0.846774193548,1.05714285714,0.927835051546,1.02,1.0,0.942148760331,0.985714285714,1.00930232558,1.00680272109,1.09248554913,1.0,1.0,0.930051813472,0.832535885167,1.03333333333,1.0,0.95,0.990049751244,0.878048780488,1.07058823529,0.941176470588,1.00487804878,0.927797833935,1.0,0.899543378995,0.894339622642,0.884146341463,0.843956043956,0.98275862069,1.0,0.939393939394,0.995633187773,1.01739130435,0.83950617284,1.0,1.08064516129
Average Pairwise P-Distance,0.860814458486,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.796428571429,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.840049276744,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.767871794872,0.770731707317,0.841256159581,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.766869800029,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.799456589325,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.858698839736,0.785150303873,0.787018255578,0.739221783702,0.763809825005,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.726479842386,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.784618248327,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.753557295982,0.794908485751,0.785458223694,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.663404796261,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.844925494354,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.869696407613,0.803832859116,0.5,0.867865318527
Maximum Pairwise P-Distance,0.925373134328,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,1.0,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.90756302521,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.96,0.878048780488,0.928229665072,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.939393939394,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.939393939394,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.942857142857,0.864864864865,0.882352941176,0.885496183206,0.935483870968,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.83950617284,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.914893617021,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.833333333333,0.957746478873,0.90625,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.798387096774,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.928205128205,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,1.0,0.923076923077,0.577777777778,1.0
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,166.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,70.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
