Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
tRNA-synt_2b,DefaultProbCons,0.489162770931,0.471334971335,0.480248871133,0.151162790698,0.489162770931,1.0556745182,0.813060615249,0.882352941176,5.0,467.0,493.0,326.0,0.0583847042407,0.340899357602,8.65217391304,2.0,0.489162770931,0.471334971335,0.151162790698,1.0556745182,22.2
MHC_II_N,DefaultProbCons,0.671237632355,0.648281642917,0.659759637636,0.210526315789,0.671237632355,1.0625,0.69157746224,0.935897435897,13.0,96.0,102.0,92.0,0.10786644476,0.132211538462,3.11320754717,2.0,0.671237632355,0.648281642917,0.210526315789,1.0625,3.61538461538
oxidored_q6,DefaultProbCons,0.985277024409,0.985658914729,0.985467969569,0.947368421053,0.985277024409,1.0,0.432541212615,0.606299212598,5.0,285.0,285.0,275.0,0.0229642884832,0.0694736842105,3.0,2.0,0.985277024409,0.985658914729,0.947368421053,1.0,1.4
Ald_Xan_dh_1,DefaultProbCons,0.952441613588,0.952846219201,0.952643916395,0.809045226131,0.952441613588,1.00487804878,0.566430042019,0.638709677419,6.0,205.0,206.0,193.0,0.102806155901,0.162601626016,7.40740740741,2.0,0.952441613588,0.952846219201,0.809045226131,1.00487804878,10.8333333333
kunitz,DefaultProbCons,0.961188118812,0.961188118812,0.961188118812,0.8,0.961188118812,1.0,0.621300680491,0.839285714286,10.0,64.0,64.0,60.0,0.0335604628061,0.0984375,1.53658536585,1.0,0.961188118812,0.961188118812,0.8,1.0,1.35
rep,DefaultProbCons,0.769620253165,0.771573604061,0.770596928613,0.52,0.769620253165,0.988636363636,0.696524216524,0.813333333333,4.0,88.0,87.0,87.0,0.157259275362,0.173295454545,4.35714285714,4.5,0.769620253165,0.771573604061,0.52,0.988636363636,4.0
cyt5,DefaultProbCons,0.769361702128,0.782006920415,0.775684311271,0.309523809524,0.769361702128,0.967741935484,0.497570671228,0.760563380282,6.0,93.0,90.0,83.0,0.0128688202229,0.123655913978,2.3,2.0,0.769361702128,0.782006920415,0.309523809524,0.967741935484,2.08333333333
blmb,DefaultProbCons,0.618747929778,0.608865710561,0.613806820169,0.225454545455,0.618747929778,1.0261627907,0.794135093584,0.895238095238,6.0,344.0,353.0,266.0,0.0963478015437,0.297480620155,8.18666666667,2.0,0.618747929778,0.608865710561,0.225454545455,1.0261627907,26.75
icd,DefaultProbCons,0.938168159491,0.93979739508,0.938982777286,0.840220385675,0.938168159491,0.997690531178,0.583461582685,0.735465116279,5.0,433.0,432.0,414.0,0.0758115888108,0.152424942263,5.32258064516,2.0,0.938168159491,0.93979739508,0.840220385675,0.997690531178,10.0
ccH,DefaultProbCons,0.947521865889,0.947521865889,0.947521865889,0.864406779661,0.947521865889,1.0,0.652770575865,0.741379310345,4.0,65.0,65.0,63.0,0.0448432425604,0.0846153846154,1.375,1.0,0.947521865889,0.947521865889,0.864406779661,1.0,0.875
sodcu,DefaultProbCons,0.893210283454,0.892621870883,0.892916077168,0.728915662651,0.893210283454,1.0,0.577504625952,0.75,7.0,169.0,169.0,155.0,0.0124338526956,0.0972104818259,2.875,2.0,0.893210283454,0.892621870883,0.728915662651,1.0,1.78571428571
thiored,DefaultProbCons,0.465231788079,0.470292887029,0.467762337554,0.104347826087,0.465231788079,0.962121212121,0.794302357561,0.931506849315,6.0,132.0,127.0,108.0,0.129001350302,0.27398989899,5.5641025641,4.0,0.465231788079,0.470292887029,0.104347826087,0.962121212121,8.41666666667
DEAD,DefaultProbCons,0.679867986799,0.68438538206,0.682126684429,0.526610644258,0.679867986799,0.997737556561,0.703921305539,0.848314606742,4.0,442.0,441.0,409.0,0.384274771591,0.35407239819,18.9696969697,6.0,0.679867986799,0.68438538206,0.526610644258,0.997737556561,7.25
dhfr,DefaultProbCons,0.857435897436,0.862745098039,0.860090497738,0.736559139785,0.857435897436,0.989417989418,0.640414891982,0.748427672956,4.0,189.0,187.0,186.0,0.0797698996164,0.0886243386243,3.04545454545,2.5,0.857435897436,0.862745098039,0.736559139785,0.989417989418,1.25
cytb,DefaultProbCons,0.9341117598,0.932556203164,0.933333981482,0.760869565217,0.9341117598,1.02,0.644403962918,0.733333333333,6.0,100.0,102.0,92.0,0.0586094196965,0.14,3.36,2.0,0.9341117598,0.932556203164,0.760869565217,1.02,4.16666666667
uce,DefaultProbCons,0.90604270786,0.915610651974,0.910826679917,0.578313253012,0.90604270786,1.04347826087,0.659930986623,0.803278688525,13.0,184.0,192.0,164.0,0.0549037087089,0.188127090301,4.20560747664,3.0,0.90604270786,0.915610651974,0.578313253012,1.04347826087,4.19230769231
int,DefaultProbCons,0.911519198664,0.912026726058,0.911772962361,0.752475247525,0.911519198664,1.01369863014,0.774687089415,0.826315789474,5.0,219.0,222.0,208.0,0.0634963122041,0.123287671233,4.35483870968,3.0,0.911519198664,0.912026726058,0.752475247525,1.01369863014,6.8
aadh,DefaultProbCons,0.889968859111,0.88787422331,0.888921541211,0.612244897959,0.889968859111,1.02398523985,0.617725309167,0.811209439528,8.0,542.0,555.0,501.0,0.113301344791,0.234086715867,7.68939393939,3.0,0.889968859111,0.88787422331,0.612244897959,1.02398523985,16.5
