,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.28056502679,0.463365539452,0.94505066251,0.88531527719,0.825484764543,0.759894459103,0.844949339883,0.881458966565,0.804340337582,0.36230558097,0.482352941176,0.746463547334,0.690047393365,0.629104958146,0.767113620325,0.654974946314,0.996603693483,0.972191930207,0.404255319149,0.634920634921,0.480463718334,0.99377593361,0.7128245476,0.844155844156,0.794520547945,0.84717376134,0.919792498005,0.45652173913,0.706018518519,0.957613814757,0.969055374593,0.898847881273,0.772779435391,0.820224719101,0.76008202324,0.716692189893,0.730023801428,0.979581151832,0.506796116505,0.72641509434,0.549295774648,0.912844036697,0.609853528628,0.644226044226,0.711764705882,0.855214723926,0.686930091185,0.89332096475,0.782973621103,0.626432906271,0.930990141449,0.239448751077,0.754966887417,0.766247379455,0.802958977808,0.796415441176,0.943763161154,0.580300824842,0.853841349157,0.536977491961,0.772027972028,0.591820368885,0.842352941176,0.407793209877,0.7584,0.623693379791,0.761115414407,0.369522563767,0.444893248702,0.65,0.633802816901,0.779537953795,0.881991051454,0.70652173913,0.601340033501,0.880390561432,0.720849933599,0.915014164306,0.931155192532,0.956175298805,0.970779220779,0.25877763329,0.713029576339,0.572404371585,0.666666666667,0.904836193448,0.928455284553,0.776339022955,0.415204678363,0.392261904762,0.52975495916,0.987086359968,0.835294117647,0.967741935484,0.883104125737,0.348226018397,0.73381294964,0.841537132988,0.919770773639,0.435897435897,0.892909896603,0.308997429306,0.789855072464,0.826552462527,0.908206923376,0.541639344262,0.801512287335,0.859504132231,0.828891082593,0.944532488114,0.786458333333,0.741538461538,0.633657698912,0.981291759465,0.842558983666,0.408712363869,0.781904118839,1.0,0.716594827586,0.956626506024,0.85453808752,0.936842105263,0.642446419237,0.981213872832,0.363894139887,0.78191238813,0.841201716738,0.644935543278,0.869835466179,0.713261648746,0.383429672447,0.935483870968,0.991414369634,0.894678899083,0.836231884058,0.894603404564,0.781639004149,0.853658536585,0.828034682081,0.66935483871,0.885512989872,0.504504504505,0.843879361325,0.853273137698,0.302122347066,0.991836734694,0.88487750967,0.570662768031,0.932584269663,0.698455949137,0.881102814474,0.929809358752,0.588607594937,0.699419383653,0.836759371221,0.79537470726,0.872458410351,0.331329325317,0.755346449957,0.714003944773
1-SPFN,0.235872235872,0.385917854149,0.93992248062,0.828514851485,0.756345177665,0.747404844291,0.796526772793,0.845481049563,0.769104084321,0.331380753138,0.476744186047,0.707946336429,0.606161532057,0.543986636971,0.757069229698,0.62585499316,0.993230378676,0.96902173913,0.37012987013,0.583717357911,0.428571428571,0.99377593361,0.651798561151,0.765706806283,0.761726078799,0.799736495389,0.882803523554,0.335616438356,0.647100424328,0.953125,0.959677419355,0.84926199262,0.735474006116,0.799270072993,0.71603348358,0.632432432432,0.606668550438,0.968928016572,0.422330097087,0.697463768116,0.491111111111,0.872807017544,0.554479418886,0.548765173713,0.611111111111,0.82,0.646946564885,0.8590544157,0.785800240674,0.574283948073,0.912988650694,0.193055555556,0.678571428571,0.720197044335,0.744853399875,0.731223628692,0.929486397462,0.499373695198,0.811757719715,0.486880466472,0.724885095207,0.509316770186,0.828703703704,0.308703271028,0.716012084592,0.573717948718,0.771877454831,0.330602691633,0.397627643115,0.593676814988,0.584415584416,0.665102308992,0.872717210847,0.654911838791,0.577789699571,0.836813611756,0.662112710417,0.895977808599,0.93006993007,0.93567251462,0.971567831032,0.218681318681,0.68509984639,0.479679450487,0.591304347826,0.884146341463,0.878461538462,0.724327292696,0.315555555556,0.323276919303,0.449653350941,0.984966442953,0.774545454545,0.959302325581,0.835501858736,0.273760330579,0.659127625202,0.814799331104,0.900841908326,0.389054726368,0.858359957401,0.190069576218,0.755894590846,0.773547094188,0.857825128582,0.467723669309,0.752440106477,0.840064620355,0.812580645161,0.915514592934,0.729468599034,0.702623906706,0.520941176471,0.979111111111,0.801813471503,0.33315926893,0.717916924985,1.0,0.643257883536,0.958937198068,0.824472243941,0.936842105263,0.608717186726,0.97,0.307262569832,0.738762794838,0.793522267206,0.579225934502,0.845115452931,0.673207036536,0.329197684036,0.922727272727,0.991414369634,0.863008849558,0.817280453258,0.881198715662,0.738242978445,0.823296951449,0.782252559727,0.645914396887,0.872451193059,0.405797101449,0.818233944954,0.827133479212,0.270240089336,0.991836734694,0.849964614296,0.534947464596,0.927374301676,0.648945147679,0.847513812155,0.909707503179,0.593112244898,0.604399845619,0.826268656716,0.767730997457,0.873265494912,0.268980477223,0.723177723178,0.636203866432
SP-Score,0.258218631331,0.424641696801,0.942486571565,0.856915064338,0.790914971104,0.753649651697,0.820738056338,0.863470008064,0.786722210952,0.346843167054,0.479548563611,0.727204941882,0.648104462711,0.586545797558,0.762091425011,0.640414969737,0.99491703608,0.970606834669,0.387192594639,0.609318996416,0.454517573453,0.99377593361,0.682311554376,0.804931325219,0.778123313372,0.823455128364,0.901298010779,0.396069088743,0.676559471423,0.955369407378,0.964366396974,0.874054936947,0.754126720754,0.809747396047,0.73805775341,0.674562311163,0.668346175933,0.974254584202,0.464563106796,0.711939431228,0.520203442879,0.892825527121,0.582166473757,0.596495608969,0.661437908497,0.837607361963,0.666938328035,0.876187690225,0.784386930889,0.600358427172,0.921989396071,0.216252153316,0.716769157994,0.743222211895,0.773906188841,0.763819534934,0.936624779308,0.53983726002,0.832799534436,0.511928979217,0.748456533617,0.550568569536,0.83552832244,0.358248240452,0.737206042296,0.598705664254,0.766496434619,0.3500626277,0.421260445908,0.621838407494,0.609109200658,0.722320131394,0.87735413115,0.680716788961,0.589564866536,0.858602086594,0.691481322008,0.905495986453,0.930612561301,0.945923906712,0.971173525905,0.238729475986,0.699064711365,0.526041911036,0.628985507246,0.894491267456,0.903458411507,0.750333157825,0.365380116959,0.357769412033,0.48970415505,0.98602640146,0.804919786096,0.963522130533,0.859302992236,0.310993174488,0.696470287421,0.828168232046,0.910306340982,0.412476081133,0.875634927002,0.249533502762,0.772874831655,0.800049778358,0.883016025979,0.504681506786,0.776976196906,0.849784376293,0.820735863877,0.930023540524,0.757963466184,0.722081184122,0.577299437692,0.980201435288,0.822186227584,0.370935816399,0.749910521912,1.0,0.679926355561,0.957781852046,0.83950516573,0.936842105263,0.625581802981,0.975606936416,0.335578354859,0.760337591484,0.817361991972,0.61208073889,0.857475459555,0.693234342641,0.356313678242,0.929105571848,0.991414369634,0.87884387432,0.826756168658,0.887901060113,0.759940991297,0.838477744017,0.805143620904,0.657634617798,0.878982091465,0.455150802977,0.831056653139,0.840203308455,0.286181218201,0.991836734694,0.867421061983,0.552805116313,0.929979285669,0.673700548408,0.864308313315,0.919758430966,0.590859919917,0.651909614636,0.831514013969,0.781552852358,0.872861952632,0.30015490127,0.739262086567,0.675103905603
TC,0.04941860465116279,0.0,0.8383458646616542,0.38333333333333336,0.52,0.2857142857142857,0.5757575757575758,0.7288135593220338,0.5240963855421686,0.043478260869565216,0.2857142857142857,0.532258064516129,0.30434782608695654,0.297029702970297,0.27586206896551724,0.40789473684210525,0.9779874213836478,0.9161490683229814,0.061068702290076333,0.25925925925925924,0.13953488372093023,0.9767441860465116,0.4012738853503185,0.5955882352941176,0.5619047619047619,0.6766917293233082,0.743859649122807,0.07446808510638298,0.49107142857142855,0.8981481481481481,0.7804878048780488,0.6351791530944625,0.18421052631578946,0.6263157894736842,0.30434782608695654,0.4186046511627907,0.011049723756906077,0.9483282674772037,0.2,0.36,0.24060150375939848,0.7674418604651163,0.30564784053156147,0.3613636363636364,0.34782608695652173,0.6708860759493671,0.2620689655172414,0.7231920199501247,0.3956043956043956,0.22910216718266255,0.7514792899408284,0.027972027972027972,0.3793103448275862,0.4685714285714286,0.4235294117647059,0.28205128205128205,0.7692307692307693,0.13513513513513514,0.5616438356164384,0.0,0.4745762711864407,0.20869565217391303,0.5102040816326531,0.007518796992481203,0.40476190476190477,0.3103448275862069,0.2845528455284553,0.1206896551724138,0.19948186528497408,0.27011494252873564,0.35294117647058826,0.3629032258064516,0.7281553398058253,0.38461538461538464,0.2743142144638404,0.6277372262773723,0.14659685863874344,0.7101449275362319,0.7954545454545454,0.8297872340425532,0.896551724137931,0.10101010101010101,0.3838383838383838,0.23219814241486067,0.3602150537634409,0.7876106194690266,0.7876106194690266,0.5632530120481928,0.22727272727272727,0.06426735218508997,0.25535714285714284,0.9626666666666667,0.6206896551724138,0.9,0.6813186813186813,0.07692307692307693,0.38095238095238093,0.5714285714285714,0.7717391304347826,0.0684931506849315,0.5277777777777778,0.0,0.47692307692307695,0.5714285714285714,0.6039603960396039,0.22028985507246376,0.6040609137055838,0.6484375,0.47564469914040114,0.8032786885245902,0.5135135135135135,0.5538461538461539,0.32608695652173914,0.926605504587156,0.5793357933579336,0.04032258064516129,0.4076086956521739,1.0,0.21505376344086022,0.8604651162790697,0.6007326007326007,0.8676470588235294,0.2025974025974026,0.8987341772151899,0.07575757575757576,0.4685714285714286,0.6210526315789474,0.2345679012345679,0.6067415730337079,0.3063063063063063,0.07668711656441718,0.8344370860927153,0.9667405764966741,0.746,0.5925925925925926,0.6285714285714286,0.5046728971962616,0.5358851674641149,0.5088757396449705,0.5230769230769231,0.6756756756756757,0.19480519480519481,0.6363636363636364,0.6434262948207171,0.0,0.9629629629629629,0.5606060606060606,0.21708185053380782,0.8191489361702128,0.29591836734693877,0.643979057591623,0.8465346534653465,0.3430232558139535,0.22058823529411764,0.5149253731343284,0.42857142857142855,0.7258064516129032,0.052083333333333336,0.5390946502057613,0.4636363636363636
Modeler,0.28056502679006334,0.463365539452496,0.9450506625097428,0.8853152771900127,0.8254847645429363,0.7598944591029023,0.8449493398833282,0.8814589665653495,0.8043403375818119,0.36230558096980786,0.4823529411764706,0.7464635473340587,0.6900473933649289,0.6291049581455248,0.7671136203246295,0.654974946313529,0.9966036934833369,0.9721919302071974,0.40425531914893614,0.6349206349206349,0.48046371833404894,0.9937759336099585,0.7128245476003147,0.8441558441558441,0.7945205479452054,0.8471737613398465,0.9197924980047885,0.45652173913043476,0.7060185185185185,0.957613814756672,0.9690553745928339,0.8988478812731888,0.7727794353913243,0.8202247191011236,0.760082023239918,0.7166921898928025,0.7300238014280857,0.9795811518324608,0.5067961165048543,0.7264150943396226,0.5492957746478874,0.9128440366972477,0.6098535286284953,0.6442260442260442,0.711764705882353,0.8552147239263803,0.6869300911854104,0.8933209647495362,0.7829736211031175,0.6264329062710722,0.9309901414487785,0.23944875107665806,0.7549668874172185,0.7662473794549266,0.8029589778076665,0.7964154411764706,0.9437631611544655,0.5803008248423096,0.853841349156777,0.5369774919614148,0.772027972027972,0.5918203688853247,0.8423529411764706,0.4077932098765432,0.7584,0.6236933797909407,0.7611154144074361,0.3695225637671681,0.4448932487016734,0.65,0.6338028169014085,0.7795379537953795,0.8819910514541387,0.7065217391304348,0.6013400335008375,0.8803905614320586,0.7208499335989376,0.9150141643059491,0.9311551925320887,0.9561752988047809,0.9707792207792207,0.258777633289987,0.7130295763389288,0.5724043715846995,0.6666666666666666,0.9048361934477379,0.9284552845528455,0.7763390229546793,0.4152046783625731,0.39226190476190476,0.5297549591598599,0.9870863599677159,0.8352941176470589,0.967741935483871,0.8831041257367387,0.34822601839684625,0.7338129496402878,0.8415371329879102,0.9197707736389685,0.4358974358974359,0.8929098966026587,0.3089974293059126,0.7898550724637681,0.8265524625267666,0.9082069233761182,0.5416393442622951,0.8015122873345936,0.859504132231405,0.8288910825929582,0.9445324881141046,0.7864583333333334,0.7415384615384616,0.6336576989124213,0.9812917594654789,0.8425589836660617,0.40871236386931453,0.7819041188386225,1.0,0.7165948275862069,0.9566265060240964,0.8545380875202593,0.9368421052631579,0.6424464192368008,0.9812138728323699,0.3638941398865784,0.7819123881300047,0.8412017167381974,0.6449355432780847,0.8698354661791591,0.7132616487455197,0.3834296724470135,0.9354838709677419,0.991414369633981,0.8946788990825688,0.836231884057971,0.8946034045635639,0.7816390041493776,0.8536585365853658,0.8280346820809249,0.6693548387096774,0.885512989872303,0.5045045045045045,0.84387936132466,0.8532731376975169,0.3021223470661673,0.9918367346938776,0.8848775096702892,0.5706627680311891,0.9325842696629213,0.698455949137148,0.8811028144744399,0.9298093587521664,0.5886075949367089,0.6994193836534167,0.8367593712212817,0.7953747072599532,0.8724584103512015,0.33132932531730125,0.7553464499572284,0.7140039447731755
Compression,1.2826552462526766,1.5104166666666667,1.0105263157894737,1.25,1.1363636363636365,1.043010752688172,1.1501154734411085,1.0615384615384615,1.0769230769230769,1.143939393939394,1.0158371040723981,1.0952380952380953,1.34,1.273972602739726,1.1176470588235294,1.090032154340836,1.0092879256965945,1.0056338028169014,1.099236641221374,1.1490196078431372,1.2357414448669202,1.0,1.1875,1.1689189189189189,1.0787878787878789,1.1433691756272402,1.0868347338935573,1.4466019417475728,1.1636904761904763,1.0086206896551724,1.069767441860465,1.1511254019292605,1.1333333333333333,1.0414746543778801,1.0408163265306123,1.25,1.546875,1.0179640718562875,1.2097902097902098,1.056,1.1542699724517906,1.1041666666666667,1.2006079027355623,1.3072289156626506,1.2745098039215685,1.0925925925925926,1.2215189873417722,1.0641592920353982,0.9895833333333334,1.2150837988826815,1.0555555555555556,1.2806539509536785,1.1666666666666667,1.0729166666666667,1.0982142857142858,1.2372881355932204,1.0381679389312977,1.2860892388451444,1.135135135135135,1.1294117647058823,1.1615384615384616,1.2834645669291338,1.0555555555555556,1.8175182481751824,1.1022727272727273,1.1258741258741258,0.9800664451827242,1.1939058171745152,1.1291448516579408,1.1477832512315271,1.1267605633802817,1.4140625,1.024024024024024,1.1243523316062176,1.1,1.1338028169014085,1.345,1.0810810810810811,1.0,1.0714285714285714,1.0,1.2323651452282158,1.0636363636363637,1.2777777777777777,1.238532110091743,1.0517241379310345,1.0873015873015872,1.1189320388349515,1.46875,1.3468085106382979,1.323873121869783,1.008,1.1967213114754098,1.0136986301369864,1.1122994652406417,1.4272300469483568,1.2391304347826086,1.0591133004926108,1.0310880829015545,1.22,1.125,2.049645390070922,1.0666666666666667,1.098360655737705,1.1714285714285715,1.2396088019559903,1.0973451327433628,1.0347222222222223,1.0496083550913837,1.0551724137931036,1.1272727272727272,1.103448275862069,1.2883895131086143,1.0,1.096774193548387,1.421383647798742,1.2474747474747474,1.0,1.100558659217877,1.0,1.096085409252669,1.0,1.0833333333333333,1.0365853658536586,1.2770700636942676,1.1475409836065573,1.118811881188119,1.3031496062992125,1.09,1.1742424242424243,1.2808022922636104,1.019736842105263,1.002212389380531,1.08206106870229,1.0449438202247192,1.1538461538461537,1.1929824561403508,1.1643835616438356,1.1373626373626373,1.0746268656716418,1.0060240963855422,1.2795698924731183,1.0530973451327434,1.0629770992366412,1.2784810126582278,1.0,1.1521739130434783,1.198051948051948,1.010204081632653,1.2233009708737863,1.078048780487805,1.0505747126436782,0.9646017699115044,1.3661971830985915,1.042857142857143,1.0864197530864197,1.0,1.3657407407407407,1.0708955223880596,1.219298245614035
Average Pairwise P-Distance,0.694646680942,0.682558760684,0.441052631579,0.59375,0.683712121212,0.499641577061,0.56351039261,0.646153846154,0.583544660468,0.718686868687,0.684389140271,0.652557319224,0.634,0.748858447489,0.521762551174,0.684887459807,0.430546955624,0.357746478873,0.681933842239,0.750980392157,0.738149556401,0.437379576108,0.655681818182,0.664414414414,0.610101010101,0.60752688172,0.529131652661,0.794498381877,0.730158730159,0.442528735632,0.523255813953,0.572347266881,0.621768707483,0.547619047619,0.526239067055,0.729166666667,0.547371031746,0.493013972056,0.727272727273,0.601333333333,0.714876033058,0.576388888889,0.747213779129,0.74297188755,0.725490196078,0.602880658436,0.693716094033,0.547935103245,0.527083333333,0.698324022346,0.456296296296,0.808356039964,0.532407407407,0.572916666667,0.610119047619,0.621973365617,0.49306037474,0.685826771654,0.556467181467,0.535294117647,0.593846153846,0.716535433071,0.588888888889,0.764801297648,0.671590909091,0.727272727273,0.589239571798,0.753462603878,0.694880744619,0.709359605911,0.727699530516,0.625426136364,0.543543543544,0.639032815199,0.698936170213,0.664788732394,0.58125,0.56036036036,0.561797752809,0.53869047619,0.462121212121,0.793222683264,0.656363636364,0.706228956229,0.68623853211,0.609195402299,0.535714285714,0.558656957929,0.807291666667,0.710070921986,0.785475792988,0.364266666667,0.587978142077,0.602739726027,0.555258467023,0.803599374022,0.685869565217,0.55632183908,0.411917098446,0.746666666667,0.473511904762,0.669227738377,0.549382716049,0.604918032787,0.6,0.742461287694,0.663716814159,0.584027777778,0.622454308094,0.649425287356,0.49696969697,0.624521072797,0.688514357054,0.449541284404,0.631182795699,0.662174303684,0.641414141414,0.235393258427,0.38363312665,0.426666666667,0.619217081851,0.621428571429,0.604532163743,0.496341463415,0.773885350318,0.654280510018,0.704620462046,0.673228346457,0.536111111111,0.591414141414,0.765616045845,0.453947368421,0.274557522124,0.544847328244,0.726966292135,0.563125763126,0.640616693248,0.578604044357,0.660989010989,0.753731343284,0.52380952381,0.763440860215,0.583087512291,0.632633587786,0.704360056259,0.422222222222,0.533860342556,0.750974025974,0.520408163265,0.668608414239,0.492195121951,0.495785440613,0.619469026549,0.620571916347,0.592380952381,0.627609427609,0.605902777778,0.68487654321,0.623756218905,0.730994152047
Maximum Pairwise P-Distance,0.826552462527,0.927083333333,0.638596491228,0.84375,0.840909090909,0.817204301075,0.789838337182,0.769230769231,0.769230769231,0.878787878788,0.923076923077,0.767195767196,0.76,0.849315068493,0.873949579832,0.852090032154,0.53560371517,0.605633802817,0.93893129771,0.878431372549,0.874524714829,0.485549132948,0.801136363636,0.777027027027,0.842424242424,0.666666666667,0.652661064426,0.893203883495,0.892857142857,0.5,0.651162790698,0.694533762058,0.866666666667,0.792626728111,0.836734693878,0.786764705882,0.822916666667,0.547904191617,0.818181818182,0.896,0.829201101928,0.6875,0.80547112462,0.819277108434,0.862745098039,0.679012345679,0.822784810127,0.637168141593,0.8125,0.821229050279,0.572222222222,0.942779291553,0.777777777778,0.833333333333,0.830357142857,0.805084745763,0.702290076336,0.902887139108,0.756756756757,0.894117647059,0.746153846154,0.795275590551,0.851851851852,0.897810218978,0.818181818182,0.846153846154,0.883720930233,0.872576177285,0.815008726003,0.87684729064,0.887323943662,0.7578125,0.726726726727,0.870466321244,0.795744680851,0.760563380282,0.875,0.797297297297,0.685393258427,0.642857142857,0.625,0.875518672199,0.781818181818,0.815656565657,0.885321100917,0.655172413793,0.611111111111,0.708737864078,0.875,0.836170212766,0.849749582638,0.477333333333,0.754098360656,0.835616438356,0.764705882353,0.840375586854,0.771739130435,0.714285714286,0.658031088083,0.866666666667,0.716666666667,0.808510638298,0.785185185185,0.754098360656,0.790476190476,0.765281173594,0.800884955752,0.743055555556,0.838120104439,0.758620689655,0.727272727273,0.816091954023,0.792134831461,0.559633027523,0.727598566308,0.911949685535,0.79797979798,0.325842696629,0.748603351955,0.533333333333,0.743772241993,0.685714285714,0.892543859649,0.573170731707,0.847133757962,0.808743169399,0.762376237624,0.842519685039,0.71,0.80303030303,0.879656160458,0.572368421053,0.349557522124,0.576335877863,0.910112359551,0.820512820513,0.833333333333,0.698630136986,0.807692307692,0.89552238806,0.765060240964,0.817204301075,0.734513274336,0.770992366412,0.919831223629,0.62962962963,0.724637681159,0.853896103896,0.724489795918,0.844660194175,0.678048780488,0.570114942529,0.871681415929,0.87323943662,0.757142857143,0.864197530864,0.682291666667,0.875,0.791044776119,0.80701754386
Number of Sequences,5,13,5,10,4,6,5,4,7,6,4,4,6,5,13,4,6,4,4,4,6,4,5,4,4,4,5,4,4,4,5,7,8,4,8,4,7,4,4,4,4,4,4,4,4,4,8,4,5,7,6,4,4,4,7,8,12,5,8,4,6,6,5,9,5,4,9,4,4,4,4,11,4,4,4,5,8,6,5,4,6,4,6,4,5,4,4,4,4,6,4,5,6,5,4,4,5,6,4,5,8,9,4,5,8,4,4,5,5,4,4,4,4,7,5,7,5,5,14,5,7,4,4,5,4,6,4,6,9,6,5,4,5,4,5,15,12,8,5,4,7,4,4,4,6,5,11,5,4,6,5,4,4,12,6,11,4,6,4,4
Reference Length,467,96,285,64,88,93,433,65,169,132,442,189,100,219,119,311,323,355,131,255,263,173,176,148,165,279,357,103,336,116,86,311,210,217,98,136,192,334,143,125,363,48,329,498,51,162,158,452,96,358,180,367,36,288,112,118,131,381,74,85,130,127,54,137,88,143,301,361,573,203,71,128,333,193,470,142,200,74,89,112,88,241,110,396,218,116,126,412,96,470,599,375,61,73,187,213,92,203,193,150,120,141,135,61,105,409,226,144,383,145,55,87,534,109,279,159,198,178,179,45,281,70,456,82,314,183,101,254,100,132,349,152,452,524,89,39,114,219,182,67,166,93,339,524,237,54,138,308,98,103,205,435,226,71,140,81,192,216,268,114
