Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.96282527881,1.0,0.960357559269,0.966426858513,0.891608391608,0.785776235906,0.934644670051,0.938596491228,0.885799404171,0.53605313093,0.753262158956,0.878819810327,0.811016144349,0.933181039406,0.799664241746,0.854910714286,1.0,0.99175371083,1.0,0.773740710157,0.883381924198,1.0,0.867432950192,0.916073968706,0.972789115646,0.925675675676,0.968018720749,0.903448275862,0.90377213241,0.981042654028,0.996683250415,0.957108072673,0.865444100751,0.969990319458,0.951384199865,0.848693259972,0.742371403662,0.987571206629,0.795774647887,0.992907801418,0.773898586866,0.914027149321,0.844731977819,0.799908214777,0.937888198758,0.931956257594,0.915220293725,0.948416289593,0.822754491018,0.703975799481,0.976020193521,0.986577181208,0.964788732394,0.944180522565,0.968363136176,0.945867568874,0.967936117936,0.978186775733,0.918013165769,0.802884615385,0.849264705882,0.909216909217,0.886746987952,0.690315714792,0.865478119935,0.83701188455,0.87308991475,0.651583710407,0.845335515548,0.862116991643,1.0,0.885840368381,0.914238592633,0.886850152905,0.846153846154,0.919088766693,0.84925093633,0.969387755102,0.996483001172,0.931034482759,0.961726384365,0.724137931034,0.824,0.766149870801,0.86568627451,0.937019969278,0.953301127214,0.937216828479,0.722352941176,0.712515489467,0.81144211239,0.992481203008,0.997286295794,0.984984984985,0.995269631031,0.6586695747,0.929173693086,0.940552995392,0.948275862069,0.87269681742,0.873454545455,0.716502115656,0.892550143266,0.940695296524,0.991173225451,0.774078478002,0.90780141844,0.941653160454,0.902529510961,0.99512195122,0.857142857143,0.836363636364,0.849856733524,0.985320284698,0.872123893805,0.847133757962,0.843418590143,1.0,0.834304932735,0.990361445783,0.91744233104,0.965789473684,0.947157726181,1.0,0.911214953271,0.889756545705,0.962732919255,0.861111111111,0.928998242531,0.844036697248,0.544600938967,0.986175115207,0.993673746046,0.978406552494,0.968882602546,0.920589292131,0.841868678761,0.863334634908,0.914788732394,0.812182741117,0.930688554492,0.913513513514,0.877948113208,0.916573556797,0.608749229821,0.991769547325,0.943161313605,0.748600508906,0.949720670391,0.853122251539,0.942254303165,0.949340144742,0.967901234568,0.850515463918,0.890322580645,0.872711670481,0.880952380952,0.894594594595,0.902745995423,0.845544554455
1-SPFN,0.212121212121,0.353227158424,0.957751937984,0.957623762376,0.647208121827,0.783737024221,0.852677279305,0.935860058309,0.881422924901,0.47280334728,0.527408637874,0.860681114551,0.711074104913,0.909799554566,0.796211171472,0.785909712722,0.996615189338,0.980434782609,0.37012987013,0.719662058372,0.348142474148,0.998962655602,0.814388489209,0.842931937173,0.80487804878,0.902503293808,0.950593642283,0.598173515982,0.83026874116,0.9703125,0.96935483871,0.942804428044,0.855613805155,0.914233576642,0.907276239536,0.833783783784,0.481209381181,0.987571206629,0.731391585761,0.507246376812,0.68962962963,0.885964912281,0.8299031477,0.729593972373,0.762626262626,0.902352941176,0.87213740458,0.934879571811,0.826714801444,0.671337317123,0.975199663724,0.204166666667,0.815476190476,0.783251231527,0.87835308796,0.825738396624,0.961205319019,0.599164926931,0.910926365796,0.486880466472,0.758371634931,0.905452035887,0.851851851852,0.568341121495,0.80664652568,0.790064102564,0.852788688138,0.337039204213,0.532748839608,0.724824355972,0.331168831169,0.866716726112,0.920309905921,0.730478589421,0.601931330472,0.904872389791,0.663820444011,0.922330097087,0.990675990676,0.894736842105,0.95938261576,0.184615384615,0.7910906298,0.678878076703,0.639855072464,0.92987804878,0.910769230769,0.79516749039,0.682222222222,0.42310522443,0.791350280621,0.992214765101,0.890909090909,0.953488372093,0.977695167286,0.623966942149,0.8901453958,0.853260869565,0.926099158092,0.518407960199,0.852680156195,0.642631246047,0.864077669903,0.921843687375,0.990080822924,0.737259343148,0.908606921029,0.938610662359,0.863225806452,0.940092165899,0.782608695652,0.804664723032,0.697882352941,0.984444444444,0.85103626943,0.486161879896,0.838189708617,1.0,0.719868446508,0.992753623188,0.886239249414,0.965789473684,0.58593363051,0.991428571429,0.155626496409,0.862038273253,0.941295546559,0.666556400926,0.938898756661,0.809201623816,0.4317617866,0.972727272727,0.993673746046,0.930265486726,0.970254957507,0.914020692116,0.856303069889,0.832141512985,0.886689419795,0.622568093385,0.88546637744,0.816425120773,0.85378440367,0.897520058352,0.551647124511,0.983673469388,0.924805378627,0.671996345363,0.949720670391,0.818565400844,0.937569060773,0.945315811785,0.5,0.63681976071,0.906268656716,0.862107940096,0.889916743756,0.538503253796,0.646191646192,0.750439367311
SP-Score,0.587473245466,0.676613579212,0.959054748627,0.962025310445,0.769408256718,0.784756630064,0.893660974678,0.937228274769,0.883611164536,0.504428239105,0.640335398415,0.869750462439,0.761045124631,0.921490296986,0.797937706609,0.820410213504,0.998307594669,0.986094246719,0.685064935065,0.746701384264,0.615762199173,0.999481327801,0.8409107197,0.879502952939,0.888833582213,0.914089484742,0.959306181516,0.750810895922,0.867020436785,0.975677577014,0.983019044562,0.949956250359,0.860528952953,0.94211194805,0.929330219701,0.841238521878,0.611790392421,0.987571206629,0.763583116824,0.750077089115,0.731764108248,0.899996030801,0.837317562759,0.764751093575,0.850257230692,0.917154599385,0.893678849153,0.941647930702,0.824734646231,0.687656558302,0.975609928623,0.595371923937,0.890132461435,0.863715877046,0.923358112068,0.885802982749,0.964570718478,0.788675851332,0.914469765782,0.644882540928,0.803818170407,0.907334472552,0.869299419902,0.629328418144,0.836062322807,0.813537993557,0.862939301444,0.49431145731,0.689042177578,0.793470673808,0.665584415584,0.876278547246,0.917274249277,0.808664371163,0.724042588313,0.911980578242,0.75653569017,0.945858926095,0.993579495924,0.912885662432,0.960554500062,0.454376657825,0.8075453149,0.722513973752,0.752770673487,0.933449009029,0.932035178992,0.866192159434,0.702287581699,0.567810356948,0.801396196505,0.992347984054,0.944097693351,0.969236678539,0.986482399159,0.641318258424,0.909659544443,0.896906932478,0.93718751008,0.69555238881,0.863067350825,0.679566680851,0.878313906585,0.931269491949,0.990627024187,0.755668910575,0.908204169734,0.940131911406,0.882877658706,0.967607058559,0.819875776398,0.820514179698,0.773869543233,0.984882364571,0.861580081618,0.666647818929,0.84080414938,1.0,0.777086689622,0.991557534486,0.901840790227,0.965789473684,0.766545678346,0.995714285714,0.53342072484,0.875897409479,0.952014232907,0.763833756019,0.933948499596,0.826619160532,0.488181362784,0.979451193967,0.993673746046,0.95433601961,0.969568780027,0.917304992123,0.849085874325,0.847738073946,0.900739076095,0.717375417251,0.908077465966,0.864969317143,0.865866258439,0.907046807574,0.580198177166,0.987721508356,0.933983346116,0.710298427135,0.949720670391,0.835843826192,0.939911681969,0.947327978264,0.733950617284,0.743667612314,0.898295618681,0.867409805288,0.885434562354,0.716548924195,0.774468820807,0.797991960883
TC,0.136627906977,0.0315789473684,0.87969924812,0.8,0.333333333333,0.357142857143,0.68870523416,0.830508474576,0.728915662651,0.208695652174,0.498599439776,0.763440860215,0.358695652174,0.722772277228,0.396551724138,0.6875,0.990566037736,0.944099378882,0.259541984733,0.452674897119,0.220930232558,0.994186046512,0.592356687898,0.654411764706,0.6,0.812030075188,0.845614035088,0.393617021277,0.776785714286,0.925925925926,0.80487804878,0.745928338762,0.489473684211,0.847368421053,0.623188405797,0.713178294574,0.0165745856354,0.969604863222,0.616666666667,0.05,0.488721804511,0.790697674419,0.691029900332,0.577272727273,0.521739130435,0.791139240506,0.565517241379,0.845386533666,0.516483516484,0.359133126935,0.89349112426,0.0314685314685,0.655172413793,0.571428571429,0.647058823529,0.504273504274,0.838461538462,0.253378378378,0.72602739726,0.015625,0.466101694915,0.669565217391,0.632653061224,0.240601503759,0.595238095238,0.594827586207,0.369918699187,0.183908045977,0.365284974093,0.494252873563,0.117647058824,0.532258064516,0.815533980583,0.615384615385,0.389027431421,0.795620437956,0.13612565445,0.782608695652,0.965909090909,0.755319148936,0.862068965517,0.121212121212,0.616161616162,0.486068111455,0.435483870968,0.83185840708,0.849557522124,0.650602409639,0.454545454545,0.18766066838,0.619642857143,0.978666666667,0.810344827586,0.842857142857,0.93956043956,0.369230769231,0.619047619048,0.671957671958,0.826086956522,0.253424657534,0.555555555556,0.142857142857,0.723076923077,0.75,0.920792079208,0.550724637681,0.786802030457,0.84375,0.624641833811,0.860655737705,0.540540540541,0.6,0.487922705314,0.935779816514,0.664206642066,0.137096774194,0.58152173913,1.0,0.301075268817,0.953488372093,0.710622710623,0.911764705882,0.249350649351,0.949367088608,0.0492424242424,0.662857142857,0.863157894737,0.329218106996,0.741573033708,0.540540540541,0.171779141104,0.927152317881,0.977827050998,0.86,0.83950617284,0.571428571429,0.495327102804,0.502392344498,0.698224852071,0.446153846154,0.716216216216,0.662337662338,0.689655172414,0.754980079681,0.0,0.944444444444,0.704545454545,0.402135231317,0.86170212766,0.479591836735,0.816753926702,0.878712871287,0.401162790698,0.264705882353,0.65671641791,0.532467532468,0.752688172043,0.395833333333,0.374485596708,0.609090909091
Modeler,0.96282527881,1.0,0.960357559269,0.966426858513,0.891608391608,0.785776235906,0.934644670051,0.938596491228,0.885799404171,0.53605313093,0.753262158956,0.878819810327,0.811016144349,0.933181039406,0.799664241746,0.854910714286,1.0,0.99175371083,1.0,0.773740710157,0.883381924198,1.0,0.867432950192,0.916073968706,0.972789115646,0.925675675676,0.968018720749,0.903448275862,0.90377213241,0.981042654028,0.996683250415,0.957108072673,0.865444100751,0.969990319458,0.951384199865,0.848693259972,0.742371403662,0.987571206629,0.795774647887,0.992907801418,0.773898586866,0.914027149321,0.844731977819,0.799908214777,0.937888198758,0.931956257594,0.915220293725,0.948416289593,0.822754491018,0.703975799481,0.976020193521,0.986577181208,0.964788732394,0.944180522565,0.968363136176,0.945867568874,0.967936117936,0.978186775733,0.918013165769,0.802884615385,0.849264705882,0.909216909217,0.886746987952,0.690315714792,0.865478119935,0.83701188455,0.87308991475,0.651583710407,0.845335515548,0.862116991643,1.0,0.885840368381,0.914238592633,0.886850152905,0.846153846154,0.919088766693,0.84925093633,0.969387755102,0.996483001172,0.931034482759,0.961726384365,0.724137931034,0.824,0.766149870801,0.86568627451,0.937019969278,0.953301127214,0.937216828479,0.722352941176,0.712515489467,0.81144211239,0.992481203008,0.997286295794,0.984984984985,0.995269631031,0.6586695747,0.929173693086,0.940552995392,0.948275862069,0.87269681742,0.873454545455,0.716502115656,0.892550143266,0.940695296524,0.991173225451,0.774078478002,0.90780141844,0.941653160454,0.902529510961,0.99512195122,0.857142857143,0.836363636364,0.849856733524,0.985320284698,0.872123893805,0.847133757962,0.843418590143,1.0,0.834304932735,0.990361445783,0.91744233104,0.965789473684,0.947157726181,1.0,0.911214953271,0.889756545705,0.962732919255,0.861111111111,0.928998242531,0.844036697248,0.544600938967,0.986175115207,0.993673746046,0.978406552494,0.968882602546,0.920589292131,0.841868678761,0.863334634908,0.914788732394,0.812182741117,0.930688554492,0.913513513514,0.877948113208,0.916573556797,0.608749229821,0.991769547325,0.943161313605,0.748600508906,0.949720670391,0.853122251539,0.942254303165,0.949340144742,0.967901234568,0.850515463918,0.890322580645,0.872711670481,0.880952380952,0.894594594595,0.902745995423,0.845544554455
Compression,2.46895074946,3.60416666667,1.00701754386,1.046875,1.51136363636,1.03225806452,1.21247113164,1.01538461538,1.02366863905,1.32575757576,1.28959276018,1.05291005291,1.4,1.11415525114,1.04201680672,1.09967845659,1.01547987616,1.02535211268,1.74045801527,1.12549019608,2.32699619772,1.00578034682,1.1875,1.17567567568,1.27878787879,1.06810035842,1.08683473389,1.61165048544,1.08630952381,1.02586206897,1.18604651163,1.11575562701,1.09523809524,1.10138248848,1.26530612245,1.03676470588,2.078125,1.0,1.15384615385,1.744,1.22865013774,1.08333333333,1.06079027356,1.19076305221,1.45098039216,1.1049382716,1.27215189873,1.04203539823,0.989583333333,1.19553072626,1.02222222222,2.29427792916,1.25,1.21875,1.33035714286,1.42372881356,1.03053435115,1.86614173228,1.06756756757,1.58823529412,1.30769230769,1.10236220472,1.09259259259,1.85401459854,1.18181818182,1.16083916084,1.21926910299,1.93351800554,1.64397905759,1.29556650246,1.87323943662,1.1328125,0.993993993994,1.31088082902,1.49361702128,1.06338028169,1.87,1.18918918919,1.01123595506,1.125,1.0,2.45228215768,1.17272727273,1.24747474747,1.51376146789,1.02586206897,1.07142857143,1.2645631068,1.13541666667,2.14042553191,1.09015025042,1.00266666667,1.31147540984,1.12328767123,1.03743315508,1.20657276995,1.19565217391,1.22167487685,1.05699481865,1.9,1.11666666667,1.41134751773,1.06666666667,1.11475409836,1.01904761905,1.15403422983,1.01327433628,1.02083333333,1.11227154047,1.13793103448,1.14545454545,1.10344827586,1.35580524345,1.0,1.06093189964,2.38364779874,1.08585858586,1.0,1.45251396648,1.0,1.14946619217,1.0,1.58333333333,1.06097560976,2.44267515924,1.08743169399,1.07920792079,1.6811023622,1.06,1.20454545455,1.47277936963,1.03947368421,1.0,1.11641221374,1.06741573034,1.28205128205,0.991228070175,1.1598173516,1.12087912088,1.4328358209,1.1265060241,1.23655913978,1.05604719764,1.06679389313,1.50632911392,1.01851851852,1.14492753623,1.3474025974,1.0,1.17475728155,1.0243902439,1.0091954023,1.42477876106,2.12676056338,0.978571428571,1.07407407407,0.984375,1.88425925926,1.50746268657,1.21052631579
Average Pairwise P-Distance,0.813060615249,0.69157746224,0.432541212615,0.621300680491,0.696524216524,0.497570671228,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.774687089415,0.546840027063,0.676688133147,0.428456546658,0.321474752932,0.674867493739,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.637616691285,0.596884675783,0.540818317462,0.821860771164,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.482811077208,0.769613204258,0.603161530548,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.596915099147,0.779268400873,0.574178324287,0.81766256597,0.666263277859,0.774494364128,0.673693334175,0.754471684433,0.77068656165,0.71772579895,0.727523894863,0.649837334514,0.538145283908,0.675947544238,0.704938332975,0.666731476643,0.616818569791,0.550970474549,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.693596967243,0.738523872717,0.724893232418,0.602234243589,0.527409429113,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.482047419162,0.844681223369,0.531445063548,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.639874226527,0.724493600477,0.444054946113,0.612811388951,0.803647499156,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.378913108719,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.688783219691,0.578133444705,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.729374418295
Maximum Pairwise P-Distance,0.882352941176,0.935897435897,0.606299212598,0.839285714286,0.813333333333,0.760563380282,0.735465116279,0.741379310345,0.75,0.931506849315,0.848314606742,0.748427672956,0.733333333333,0.826315789474,0.862068965517,0.811158798283,0.536507936508,0.544554455446,0.917525773196,0.905,0.865168539326,0.482352941176,0.785714285714,0.75,0.704545454545,0.64,0.631782945736,0.898550724638,0.837104072398,0.471698113208,0.6,0.649606299213,0.845161290323,0.78021978022,0.839285714286,0.786885245902,0.811320754717,0.541538461538,0.868686868687,0.869565217391,0.857142857143,0.615384615385,0.807272727273,0.798507462687,0.810810810811,0.65306122449,0.857142857143,0.59585492228,0.763888888889,0.848888888889,0.527950310559,0.938775510204,0.714285714286,0.730994152047,0.835443037975,0.8,0.691056910569,0.872340425532,0.716666666667,0.875,0.747572815534,0.864583333333,0.783783783784,0.936170212766,0.80701754386,0.865384615385,0.837209302326,0.867857142857,0.784126984127,0.84328358209,0.833333333333,0.758241758242,0.692567567568,0.827067669173,0.807692307692,0.765151515152,0.854166666667,0.739130434783,0.682352941176,0.642857142857,0.6,0.903846153846,0.835294117647,0.780068728522,0.818181818182,0.63963963964,0.579439252336,0.666666666667,0.871428571429,0.87044534413,0.841085271318,0.47311827957,0.745454545455,0.491525423729,0.761111111111,0.850649350649,0.793103448276,0.713333333333,0.633333333333,0.85046728972,0.712765957447,0.963855421687,0.775862068966,0.765957446809,0.783505154639,0.808362369338,0.775956284153,0.72131147541,0.843065693431,0.736363636364,0.571428571429,0.733333333333,0.757925072046,0.551401869159,0.7004048583,0.895833333333,0.7875,0.325842696629,0.833333333333,0.487804878049,0.742738589212,0.650793650794,0.854785478548,0.535211267606,0.905263157895,0.794117647059,0.757894736842,0.824175824176,0.688311688312,0.764150943396,0.8875,0.559440559441,0.33180778032,0.564835164835,0.898550724638,0.851851851852,0.847826086957,0.677777777778,0.775362318841,0.766666666667,0.701923076923,0.867647058824,0.717948717949,0.726635514019,0.922413793103,0.545454545455,0.673267326733,0.848214285714,0.682352941176,0.816091954023,0.648351648352,0.530303030303,0.806451612903,0.830188679245,0.732673267327,0.885245901639,0.653409090909,0.888,0.765625,0.804347826087
Number of Sequences,5.0,13.0,5.0,10.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,6.0,5.0,13.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,4.0,8.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,12.0,5.0,8.0,4.0,6.0,6.0,5.0,9.0,5.0,4.0,9.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,9.0,4.0,5.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,14.0,5.0,7.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,9.0,6.0,5.0,4.0,5.0,4.0,5.0,15.0,12.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,6.0,5.0,11.0,5.0,4.0,6.0,5.0,4.0,4.0,12.0,6.0,11.0,4.0,6.0,4.0,4.0
Reference Length,467.0,96.0,285.0,64.0,88.0,93.0,433.0,65.0,169.0,132.0,442.0,189.0,100.0,219.0,119.0,311.0,323.0,355.0,131.0,255.0,263.0,173.0,176.0,148.0,165.0,279.0,357.0,103.0,336.0,116.0,86.0,311.0,210.0,217.0,98.0,136.0,192.0,334.0,143.0,125.0,363.0,48.0,329.0,498.0,51.0,162.0,158.0,452.0,96.0,358.0,180.0,367.0,36.0,288.0,112.0,118.0,131.0,381.0,74.0,85.0,130.0,127.0,54.0,137.0,88.0,143.0,301.0,361.0,573.0,203.0,71.0,128.0,333.0,193.0,470.0,142.0,200.0,74.0,89.0,112.0,88.0,241.0,110.0,396.0,218.0,116.0,126.0,412.0,96.0,470.0,599.0,375.0,61.0,73.0,187.0,213.0,92.0,203.0,193.0,150.0,120.0,141.0,135.0,61.0,105.0,409.0,226.0,144.0,383.0,145.0,55.0,87.0,534.0,109.0,279.0,159.0,198.0,178.0,179.0,45.0,281.0,70.0,456.0,82.0,314.0,183.0,101.0,254.0,100.0,132.0,349.0,152.0,452.0,524.0,89.0,39.0,114.0,219.0,182.0,67.0,166.0,93.0,339.0,524.0,237.0,54.0,138.0,308.0,98.0,103.0,205.0,435.0,226.0,71.0,140.0,81.0,192.0,216.0,268.0,114.0
