,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.994145922637,0.994885416845,0.99135122691,0.988150833943,0.99311761977,0.987346783395,0.99233566045,0.992553563902,0.991328783194,0.991382304595
1-SPFN,0.994239298715,0.994906686773,0.991476937752,0.988883567673,0.993189921221,0.987827055226,0.992468239322,0.992716938473,0.991646704331,0.991473218634
SP-Score,0.994192610676,0.994896051809,0.991414082331,0.988517200808,0.993153770495,0.987586919311,0.992401949886,0.992635251187,0.991487743762,0.991427761614
TC,0.8308295231874592,0.8220338983050848,0.72680077871512,0.758732212160414,0.8027079303675049,0.710594315245478,0.7537265068049255,0.7858533419857235,0.7537072856221793,0.7682847896440129
Modeler,0.9941459226368509,0.9948854168451001,0.9913512269101736,0.9881508339434054,0.9931176197696034,0.9873467833949975,0.9923356604498536,0.9925535639018952,0.9913287831936285,0.991382304594759
Compression,0.9993485342019544,0.9993514915693904,0.9961759082217974,0.9974342527261065,0.9981012658227848,0.9980879541108987,0.9974473516273133,0.9974210186976145,0.9931077694235589,0.997444089456869
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1534,1541,1563,1555,1577,1566,1563,1547,1585,1561
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
