Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.433939393939,0.643671917436,0.96745447501,0.978304539976,0.779746835443,0.754237288136,0.912993039443,0.897959183673,0.894322284214,0.493528904228,0.53203568532,0.831622176591,0.924418604651,0.893474623536,0.85737682544,0.748663101604,0.999576898667,0.975701943844,0.404255319149,0.724579663731,0.590423572744,1.0,0.839568345324,0.868073878628,0.828244274809,0.941215323646,0.957762557078,0.775784753363,0.803127221038,0.971875,0.985460420032,0.933917488134,0.904202046593,0.909589041096,0.943769968051,0.808423913043,0.623265741729,0.987053340238,0.623794212219,0.698312236287,0.743875278396,0.934497816594,0.78007290401,0.755650319829,0.826086956522,0.81338028169,0.875823142051,0.929144385027,0.829181494662,0.719305331179,0.980276961813,0.290064102564,0.85119047619,0.857421875,0.938537185003,0.916524701874,0.96431190418,0.662077596996,0.921977367481,0.502976190476,0.859906604403,0.904335856848,0.802272727273,0.656859971711,0.733233979136,0.854166666667,0.845711759505,0.445157152021,0.612752721617,0.749124854142,0.717948717949,0.838172739042,0.910390324354,0.779336734694,0.599046610169,0.930359937402,0.918112930824,0.962603878116,1.0,0.92007797271,0.971567831032,0.302824858757,0.901990811639,0.738312428734,0.618715083799,0.966463414634,0.953560371517,0.875619152449,0.799126637555,0.613480392157,0.748331108144,0.987110633727,0.987819732034,0.976878612717,0.991635687732,0.600645855759,0.889256198347,0.862083333333,0.982242990654,0.763506625892,0.864874425186,0.656578134651,0.889972144847,0.942574257426,0.997428361499,0.698261357263,0.910856134157,0.947453516572,0.855325914149,0.949074074074,0.780487804878,0.806451612903,0.767220902613,0.985320284698,0.875701337937,0.658628081458,0.815064298836,1.0,0.801745399355,0.951807228916,0.896200548374,0.952631578947,0.654091131798,0.998571428571,0.511444356748,0.872923215088,0.95951417004,0.792075736325,0.924396219811,0.764784946237,0.457578253707,0.985227272727,0.995481247176,0.967867231638,0.96918767507,0.958259639193,0.831031159653,0.897844423618,0.880776959143,0.768292682927,0.900865800866,0.775,0.849210987726,0.898641204554,0.404825737265,0.991836734694,0.957074721781,0.726111845002,0.960893854749,0.885259631491,0.941694169417,0.954603309291,0.70136307311,0.735317149569,0.894675248683,0.897141255605,0.885635864593,0.671298770711,0.843674456084,0.83836589698
1-SPFN,0.439803439803,0.595976529757,0.967829457364,0.964356435644,0.781725888325,0.769896193772,0.911143270622,0.897959183673,0.897562582345,0.478661087866,0.544850498339,0.835913312693,0.926727726894,0.891982182628,0.875052235687,0.766073871409,0.999576898667,0.982065217391,0.37012987013,0.695084485407,0.613941018767,1.0,0.839568345324,0.861256544503,0.81425891182,0.938735177866,0.96399846802,0.7899543379,0.799151343706,0.971875,0.983870967742,0.943911439114,0.907164700743,0.908759124088,0.951062459755,0.804054054054,0.495055100311,0.987053340238,0.62783171521,0.599637681159,0.742222222222,0.938596491228,0.777239709443,0.741732942654,0.767676767677,0.815294117647,0.888358778626,0.92997323818,0.841155234657,0.733978982073,0.981925178646,0.251388888889,0.85119047619,0.865024630542,0.95258889582,0.908016877637,0.962547273393,0.662630480167,0.919239904988,0.492711370262,0.846355876559,0.906832298137,0.81712962963,0.678154205607,0.743202416918,0.854166666667,0.901649646504,0.406085430076,0.609592573491,0.751756440281,0.727272727273,0.85076027783,0.916436081904,0.769521410579,0.606759656652,0.919566898685,0.916321053916,0.963938973648,1.0,0.92007797271,0.971567831032,0.294505494505,0.904761904762,0.741270749857,0.642028985507,0.966463414634,0.947692307692,0.873695771554,0.813333333333,0.613931812607,0.740178276659,0.986845637584,0.98303030303,0.982558139535,0.991635687732,0.576446280992,0.869143780291,0.864966555184,0.983161833489,0.745273631841,0.867944621938,0.672359266287,0.886269070735,0.953907815631,0.997428361499,0.704983012458,0.9157054126,0.946688206785,0.867741935484,0.944700460829,0.772946859903,0.801749271137,0.76,0.984444444444,0.876079447323,0.641775456919,0.825170489771,1.0,0.817566260399,0.954106280193,0.894448788116,0.952631578947,0.661218424963,0.998571428571,0.517158818835,0.865153538051,0.95951417004,0.747270922924,0.938188277087,0.769959404601,0.45947063689,0.985227272727,0.995481247176,0.970265486726,0.980169971671,0.966464502319,0.844872632266,0.901392547986,0.897610921502,0.735408560311,0.902819956616,0.748792270531,0.833142201835,0.892414296134,0.421552205472,0.991836734694,0.958598726115,0.753312014619,0.960893854749,0.891983122363,0.945856353591,0.9537939805,0.72193877551,0.724816673099,0.912835820896,0.904492794575,0.895467160037,0.681127982646,0.857493857494,0.829525483304
SP-Score,0.436871416871,0.619824223597,0.967641966187,0.97133048781,0.780736361884,0.762066740954,0.912068155033,0.897959183673,0.89594243328,0.486094996047,0.53844309183,0.833767744642,0.925573165773,0.892728403082,0.866214530564,0.757368486507,0.999576898667,0.978883580618,0.387192594639,0.709832074569,0.602182295755,1.0,0.839568345324,0.864665211565,0.821251593315,0.939975250756,0.960880512549,0.782869545631,0.801139282372,0.971875,0.984665693887,0.938914463624,0.905683373668,0.909174082592,0.947416213903,0.806238983549,0.55916042102,0.987053340238,0.625812963715,0.648974958723,0.743048750309,0.936547153911,0.778656306726,0.748691631242,0.796881862099,0.814337199669,0.882090960338,0.929558811603,0.835168364659,0.726642156626,0.98110107023,0.270726495726,0.85119047619,0.861223252771,0.945563040412,0.912270789756,0.963429588786,0.662354038582,0.920608636234,0.497843780369,0.853131240481,0.905584077492,0.809701178451,0.667507088659,0.738218198027,0.854166666667,0.873680703005,0.425621291048,0.611172647554,0.750440647212,0.722610722611,0.844466508436,0.913413203129,0.774429072637,0.602903133411,0.924963418044,0.91721699237,0.963271425882,1.0,0.92007797271,0.971567831032,0.298665176631,0.9033763582,0.739791589296,0.630372034653,0.966463414634,0.950626339605,0.874657462002,0.806229985444,0.613706102382,0.744254692402,0.986978135656,0.985425017532,0.979718376126,0.991635687732,0.588546068375,0.879199989319,0.863524944259,0.982702412072,0.754390128866,0.866409523562,0.664468700469,0.888120607791,0.948241036529,0.997428361499,0.70162218486,0.913280773378,0.947070861679,0.861533924817,0.946887267452,0.776717332391,0.80410044202,0.763610451306,0.984882364571,0.87589039263,0.650201769188,0.820117394304,1.0,0.809655829877,0.952956754554,0.895324668245,0.952631578947,0.65765477838,0.998571428571,0.514301587792,0.869038376569,0.95951417004,0.769673329625,0.931292248449,0.767372175419,0.458524445298,0.985227272727,0.995481247176,0.969066359182,0.974678823371,0.962362070756,0.83795189596,0.899618485802,0.889193940322,0.751850621619,0.901842878741,0.761896135266,0.841176594781,0.895527750344,0.413188971369,0.991836734694,0.957836723948,0.73971192981,0.960893854749,0.888621376927,0.943775261504,0.954198644896,0.71165092431,0.730066911334,0.903755534789,0.90081702509,0.890551512315,0.676213376679,0.850584156789,0.833945690142
TC,0.127906976744,0.178947368421,0.902255639098,0.833333333333,0.52,0.321428571429,0.771349862259,0.779661016949,0.734939759036,0.165217391304,0.40056022409,0.709677419355,0.728260869565,0.732673267327,0.568965517241,0.638157894737,0.996855345912,0.944099378882,0.0534351145038,0.43621399177,0.27519379845,1.0,0.649681528662,0.713235294118,0.6,0.857142857143,0.870175438596,0.542553191489,0.64880952381,0.935185185185,0.878048780488,0.726384364821,0.647368421053,0.836842105263,0.710144927536,0.658914728682,0.0,0.966565349544,0.408333333333,0.21,0.537593984962,0.883720930233,0.604651162791,0.593181818182,0.478260869565,0.683544303797,0.579310344828,0.820448877805,0.527472527473,0.40866873065,0.905325443787,0.0699300699301,0.689655172414,0.72,0.811764705882,0.581196581197,0.846153846154,0.219594594595,0.753424657534,0.0,0.576271186441,0.721739130435,0.469387755102,0.308270676692,0.464285714286,0.706896551724,0.369918699187,0.152298850575,0.354922279793,0.505747126437,0.617647058824,0.548387096774,0.802588996764,0.601398601399,0.326683291771,0.839416058394,0.769633507853,0.797101449275,1.0,0.808510638298,0.908045977011,0.131313131313,0.717171717172,0.53560371517,0.290322580645,0.902654867257,0.867256637168,0.753012048193,0.670454545455,0.254498714653,0.573214285714,0.962666666667,0.931034482759,0.928571428571,0.967032967033,0.312820512821,0.72619047619,0.73544973545,0.940217391304,0.5,0.574074074074,0.142857142857,0.753846153846,0.803571428571,0.980198019802,0.475362318841,0.786802030457,0.8671875,0.587392550143,0.844262295082,0.540540540541,0.630769230769,0.567632850242,0.935779816514,0.675276752768,0.177419354839,0.538043478261,1.0,0.612903225806,0.860465116279,0.710622710623,0.911764705882,0.267532467532,0.987341772152,0.219696969697,0.668571428571,0.894736842105,0.452674897119,0.775280898876,0.441441441441,0.162576687117,0.940397350993,0.984478935698,0.926,0.913580246914,0.885714285714,0.411214953271,0.612440191388,0.692307692308,0.646153846154,0.743243243243,0.519480519481,0.652037617555,0.752988047809,0.0,0.962962962963,0.825757575758,0.462633451957,0.882978723404,0.683673469388,0.848167539267,0.898514851485,0.488372093023,0.397058823529,0.65671641791,0.571428571429,0.763440860215,0.395833333333,0.695473251029,0.718181818182
Modeler,0.433939393939,0.643671917436,0.96745447501,0.978304539976,0.779746835443,0.754237288136,0.912993039443,0.897959183673,0.894322284214,0.493528904228,0.53203568532,0.831622176591,0.924418604651,0.893474623536,0.85737682544,0.748663101604,0.999576898667,0.975701943844,0.404255319149,0.724579663731,0.590423572744,1.0,0.839568345324,0.868073878628,0.828244274809,0.941215323646,0.957762557078,0.775784753363,0.803127221038,0.971875,0.985460420032,0.933917488134,0.904202046593,0.909589041096,0.943769968051,0.808423913043,0.623265741729,0.987053340238,0.623794212219,0.698312236287,0.743875278396,0.934497816594,0.78007290401,0.755650319829,0.826086956522,0.81338028169,0.875823142051,0.929144385027,0.829181494662,0.719305331179,0.980276961813,0.290064102564,0.85119047619,0.857421875,0.938537185003,0.916524701874,0.96431190418,0.662077596996,0.921977367481,0.502976190476,0.859906604403,0.904335856848,0.802272727273,0.656859971711,0.733233979136,0.854166666667,0.845711759505,0.445157152021,0.612752721617,0.749124854142,0.717948717949,0.838172739042,0.910390324354,0.779336734694,0.599046610169,0.930359937402,0.918112930824,0.962603878116,1.0,0.92007797271,0.971567831032,0.302824858757,0.901990811639,0.738312428734,0.618715083799,0.966463414634,0.953560371517,0.875619152449,0.799126637555,0.613480392157,0.748331108144,0.987110633727,0.987819732034,0.976878612717,0.991635687732,0.600645855759,0.889256198347,0.862083333333,0.982242990654,0.763506625892,0.864874425186,0.656578134651,0.889972144847,0.942574257426,0.997428361499,0.698261357263,0.910856134157,0.947453516572,0.855325914149,0.949074074074,0.780487804878,0.806451612903,0.767220902613,0.985320284698,0.875701337937,0.658628081458,0.815064298836,1.0,0.801745399355,0.951807228916,0.896200548374,0.952631578947,0.654091131798,0.998571428571,0.511444356748,0.872923215088,0.95951417004,0.792075736325,0.924396219811,0.764784946237,0.457578253707,0.985227272727,0.995481247176,0.967867231638,0.96918767507,0.958259639193,0.831031159653,0.897844423618,0.880776959143,0.768292682927,0.900865800866,0.775,0.849210987726,0.898641204554,0.404825737265,0.991836734694,0.957074721781,0.726111845002,0.960893854749,0.885259631491,0.941694169417,0.954603309291,0.70136307311,0.735317149569,0.894675248683,0.897141255605,0.885635864593,0.671298770711,0.843674456084,0.83836589698
Compression,0.929336188437,1.10416666667,1.0,1.0625,0.988636363636,0.956989247312,1.00461893764,1.0,0.988165680473,1.03787878788,0.986425339367,0.989417989418,1.0,1.0,0.966386554622,0.974276527331,1.0,0.988732394366,1.09923664122,1.05490196078,0.942965779468,1.0,0.994318181818,1.01351351351,1.02424242424,1.0,0.994397759104,1.0,1.00595238095,1.0,1.01162790698,1.0,0.995238095238,1.0,0.959183673469,1.00735294118,1.65104166667,1.0,0.965034965035,1.216,0.997245179063,1.0,1.00911854103,1.03012048193,1.13725490196,0.993827160494,1.0,1.00663716814,0.96875,0.966480446927,1.0,1.13351498638,1.0,0.982638888889,0.955357142857,1.04237288136,1.01526717557,1.00787401575,1.0,1.01176470588,1.01538461538,1.0,0.944444444444,0.970802919708,1.0,1.0,0.843853820598,1.12188365651,0.987783595113,0.990147783251,0.985915492958,1.0,0.990990990991,1.0207253886,0.995744680851,1.04225352113,1.01,1.0,1.0,1.0,1.0,1.04979253112,0.981818181818,0.992424242424,0.93119266055,1.0,1.0,0.995145631068,1.0,0.991489361702,1.03505843072,1.00266666667,1.0,1.0,1.0,1.06103286385,1.0,0.995073891626,1.0,1.06,0.991666666667,0.921985815603,1.00740740741,1.0,1.0,1.0,0.991150442478,1.00694444444,0.971279373368,1.0,1.03636363636,1.02298850575,1.0074906367,1.0,0.992831541219,1.01886792453,1.0,1.0,0.882681564246,1.0,1.00355871886,1.0,0.984649122807,1.0,0.968152866242,1.0218579235,1.0,1.09448818898,1.0,1.01515151515,0.991404011461,1.0,1.0,0.99427480916,1.0,1.0,1.0,1.01369863014,0.945054945055,1.05970149254,0.981927710843,1.0,1.02654867257,1.02099236641,1.08438818565,1.0,1.0,1.0,1.0,1.0,1.0,1.00459770115,0.955752212389,1.01408450704,0.964285714286,0.962962962963,0.979166666667,0.986111111111,0.985074626866,1.0
Average Pairwise P-Distance,0.813060615249,0.69157746224,0.432541212615,0.621300680491,0.696524216524,0.497570671228,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.774687089415,0.546840027063,0.676688133147,0.428456546658,0.321474752932,0.674867493739,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.637616691285,0.596884675783,0.540818317462,0.821860771164,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.482811077208,0.769613204258,0.603161530548,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.596915099147,0.779268400873,0.574178324287,0.81766256597,0.666263277859,0.774494364128,0.673693334175,0.754471684433,0.77068656165,0.71772579895,0.727523894863,0.649837334514,0.538145283908,0.675947544238,0.704938332975,0.666731476643,0.616818569791,0.550970474549,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.693596967243,0.738523872717,0.724893232418,0.602234243589,0.527409429113,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.482047419162,0.844681223369,0.531445063548,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.639874226527,0.724493600477,0.444054946113,0.612811388951,0.803647499156,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.378913108719,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.688783219691,0.578133444705,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.729374418295
Maximum Pairwise P-Distance,0.882352941176,0.935897435897,0.606299212598,0.839285714286,0.813333333333,0.760563380282,0.735465116279,0.741379310345,0.75,0.931506849315,0.848314606742,0.748427672956,0.733333333333,0.826315789474,0.862068965517,0.811158798283,0.536507936508,0.544554455446,0.917525773196,0.905,0.865168539326,0.482352941176,0.785714285714,0.75,0.704545454545,0.64,0.631782945736,0.898550724638,0.837104072398,0.471698113208,0.6,0.649606299213,0.845161290323,0.78021978022,0.839285714286,0.786885245902,0.811320754717,0.541538461538,0.868686868687,0.869565217391,0.857142857143,0.615384615385,0.807272727273,0.798507462687,0.810810810811,0.65306122449,0.857142857143,0.59585492228,0.763888888889,0.848888888889,0.527950310559,0.938775510204,0.714285714286,0.730994152047,0.835443037975,0.8,0.691056910569,0.872340425532,0.716666666667,0.875,0.747572815534,0.864583333333,0.783783783784,0.936170212766,0.80701754386,0.865384615385,0.837209302326,0.867857142857,0.784126984127,0.84328358209,0.833333333333,0.758241758242,0.692567567568,0.827067669173,0.807692307692,0.765151515152,0.854166666667,0.739130434783,0.682352941176,0.642857142857,0.6,0.903846153846,0.835294117647,0.780068728522,0.818181818182,0.63963963964,0.579439252336,0.666666666667,0.871428571429,0.87044534413,0.841085271318,0.47311827957,0.745454545455,0.491525423729,0.761111111111,0.850649350649,0.793103448276,0.713333333333,0.633333333333,0.85046728972,0.712765957447,0.963855421687,0.775862068966,0.765957446809,0.783505154639,0.808362369338,0.775956284153,0.72131147541,0.843065693431,0.736363636364,0.571428571429,0.733333333333,0.757925072046,0.551401869159,0.7004048583,0.895833333333,0.7875,0.325842696629,0.833333333333,0.487804878049,0.742738589212,0.650793650794,0.854785478548,0.535211267606,0.905263157895,0.794117647059,0.757894736842,0.824175824176,0.688311688312,0.764150943396,0.8875,0.559440559441,0.33180778032,0.564835164835,0.898550724638,0.851851851852,0.847826086957,0.677777777778,0.775362318841,0.766666666667,0.701923076923,0.867647058824,0.717948717949,0.726635514019,0.922413793103,0.545454545455,0.673267326733,0.848214285714,0.682352941176,0.816091954023,0.648351648352,0.530303030303,0.806451612903,0.830188679245,0.732673267327,0.885245901639,0.653409090909,0.888,0.765625,0.804347826087
Number of Sequences,5.0,13.0,5.0,10.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,6.0,5.0,13.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,4.0,8.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,12.0,5.0,8.0,4.0,6.0,6.0,5.0,9.0,5.0,4.0,9.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,9.0,4.0,5.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,14.0,5.0,7.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,9.0,6.0,5.0,4.0,5.0,4.0,5.0,15.0,12.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,6.0,5.0,11.0,5.0,4.0,6.0,5.0,4.0,4.0,12.0,6.0,11.0,4.0,6.0,4.0,4.0
Reference Length,467.0,96.0,285.0,64.0,88.0,93.0,433.0,65.0,169.0,132.0,442.0,189.0,100.0,219.0,119.0,311.0,323.0,355.0,131.0,255.0,263.0,173.0,176.0,148.0,165.0,279.0,357.0,103.0,336.0,116.0,86.0,311.0,210.0,217.0,98.0,136.0,192.0,334.0,143.0,125.0,363.0,48.0,329.0,498.0,51.0,162.0,158.0,452.0,96.0,358.0,180.0,367.0,36.0,288.0,112.0,118.0,131.0,381.0,74.0,85.0,130.0,127.0,54.0,137.0,88.0,143.0,301.0,361.0,573.0,203.0,71.0,128.0,333.0,193.0,470.0,142.0,200.0,74.0,89.0,112.0,88.0,241.0,110.0,396.0,218.0,116.0,126.0,412.0,96.0,470.0,599.0,375.0,61.0,73.0,187.0,213.0,92.0,203.0,193.0,150.0,120.0,141.0,135.0,61.0,105.0,409.0,226.0,144.0,383.0,145.0,55.0,87.0,534.0,109.0,279.0,159.0,198.0,178.0,179.0,45.0,281.0,70.0,456.0,82.0,314.0,183.0,101.0,254.0,100.0,132.0,349.0,152.0,452.0,524.0,89.0,39.0,114.0,219.0,182.0,67.0,166.0,93.0,339.0,524.0,237.0,54.0,138.0,308.0,98.0,103.0,205.0,435.0,226.0,71.0,140.0,81.0,192.0,216.0,268.0,114.0
